Timestamp,vx,vy,vz,wx,wy,wz
0.686131,-3e-06,-9e-06,2e-06,-8e-06,2e-06,-2.4e-05
0.691042,3e-06,7e-06,0,-1.9e-05,3e-06,1.8e-05
0.696034,-1e-06,0,0,2e-05,3e-06,-0
0.701035,4e-06,1e-06,-8e-06,-1e-06,1.3e-05,-1.8e-05
0.706063,-7e-06,-1e-05,1.1e-05,-5e-06,-2.2e-05,-6e-06
0.711053,6e-06,7e-06,-1.1e-05,-7e-06,2.4e-05,1.2e-05
0.71604,3e-06,-4e-06,-4e-06,6e-06,9e-06,-1.2e-05
0.72105,3e-06,1.1e-05,8e-06,1.9e-05,-2.2e-05,3e-05
0.72604,4e-06,4e-06,-1.1e-05,-2.6e-05,2.7e-05,0
0.731029,-1.2e-05,-1.4e-05,1.1e-05,1.8e-05,-3.1e-05,-6e-06
0.736081,3e-06,9e-06,0,-1e-05,1.3e-05,-1.2e-05
0.741045,-2e-06,-1e-06,6e-06,9e-06,-1.6e-05,1.8e-05
0.746021,-1e-06,-3e-06,4e-06,7e-06,-4e-06,-6e-06
0.751027,3e-06,-2e-06,-5e-06,-2e-05,2.3e-05,-1.2e-05
0.756074,-1e-06,4e-06,-4e-06,3e-06,-9e-06,1.2e-05
0.761047,1e-06,-4e-06,-6e-06,-7e-06,1e-05,-1.2e-05
0.76605,2e-06,3e-06,-9e-06,7e-06,2.3e-05,1.2e-05
0.771044,3e-06,-3e-06,4e-06,-4e-06,9e-06,-1.2e-05
0.776043,-2e-06,8e-06,0,-3e-06,-1.8e-05,-0
0.781046,-6e-06,-3e-06,1.3e-05,2.1e-05,-3.6e-05,1.8e-05
0.786041,-2e-06,-2e-06,8e-06,-9e-06,-0,-6e-06
0.791106,-2e-06,8e-06,1.2e-05,-5e-06,-2.2e-05,1.8e-05
0.796063,3e-06,-8e-06,-1.2e-05,6e-06,2.8e-05,-1.8e-05
0.801065,5e-06,1.3e-05,-1.3e-05,-0,1e-05,3e-05
0.806088,-3e-06,-2e-05,-2e-06,-2e-06,1.1e-05,-4.8e-05
0.811053,3e-06,2e-06,-2e-06,-3e-06,5e-06,-1.8e-05
0.81605,-2e-06,-1e-06,-2e-06,-4e-06,-1e-06,1.8e-05
0.821046,2e-06,0,-2e-06,-2e-06,1.1e-05,0
0.826048,0,1e-05,0,-1e-06,-6e-06,2.4e-05
0.831049,3e-06,2e-06,4e-06,-3e-06,9e-06,0
0.836049,-1e-06,6e-06,4e-06,5e-06,-1.6e-05,1.8e-05
0.841048,-5e-06,-7e-06,2.1e-05,1e-06,-2.3e-05,-6e-06
0.846054,-3e-06,-8e-06,-8e-06,8e-06,-1.2e-05,-1.8e-05
0.851043,2e-06,-4e-06,-1.3e-05,2e-06,2.7e-05,-1.8e-05
0.856071,3e-06,5e-06,0,-1.2e-05,1e-06,6e-06
0.861046,2e-06,0,-8e-06,-1e-06,1.3e-05,0
0.866039,3e-06,8e-06,-4e-06,-6e-06,1e-05,1.8e-05
0.871045,-0,1e-06,4e-06,-5e-06,-3e-06,0
0.876088,-0,-2e-06,-0,1.2e-05,-1e-06,-0
0.881079,-1e-06,7e-06,8e-06,1e-06,-1.3e-05,1.8e-05
0.886086,-1e-06,-4e-06,-0,-1.9e-05,3e-06,-1.8e-05
0.891109,-4e-06,-8e-06,-2e-06,2.6e-05,-1.1e-05,-2.4e-05
0.896115,3e-06,3e-06,2e-06,-6e-06,1.4e-05,2.4e-05
0.901119,1e-06,5e-06,-8e-06,-3e-06,1e-06,1.2e-05
0.906126,-1e-06,-7e-06,-0,-0,0,-1.8e-05
0.911105,-0,-7e-06,-0,1e-06,6e-06,-6e-06
0.916094,-2e-06,-1e-06,4e-06,6e-06,-1e-05,-1.2e-05
0.921078,2e-06,-0,-4e-06,-7e-06,5e-06,-2.4e-05
0.926102,3e-06,1.2e-05,0,1e-06,6e-06,4.8e-05
0.931081,1e-06,1e-05,0,-2e-05,-3e-06,0
0.936086,-1e-06,-1e-05,-4e-06,1.4e-05,1.3e-05,-1.8e-05
0.941123,1e-06,7e-06,4e-06,5e-06,-1.6e-05,4.8e-05
0.94613,-1e-06,-1e-05,-4e-06,-5e-06,1.6e-05,-3.6e-05
0.951113,-5e-06,-9e-06,7e-06,1.1e-05,-2.7e-05,-3.6e-05
0.95612,4e-06,1.1e-05,0,0,-0,2.4e-05
0.96112,-2e-06,-7e-06,-8e-06,1e-05,6e-06,-1.2e-05
0.96613,2e-06,3e-06,2e-06,3e-06,-5e-06,2.4e-05
