Timestamp,x,y,z,q1,q2,q3,q4
0.668257,0.000321,-0.01717,0.233114,0.999887,-0.008723,0.009555,-0.00759
0.688238,0.000315,-0.017168,0.233113,0.999899,-0.008705,0.009125,-0.006586
0.708243,0.00032,-0.017164,0.233128,0.999884,-0.008702,0.009461,-0.008137
0.728245,0.00033,-0.017165,0.233122,0.999876,-0.00865,0.011133,-0.007008
0.748356,0.000337,-0.017165,0.233105,0.999858,-0.008829,0.012775,-0.006524
0.768275,0.000302,-0.017161,0.233136,0.999904,-0.008665,0.005948,-0.009008
0.788276,0.000321,-0.017166,0.233108,0.999891,-0.008808,0.009062,-0.007684
0.80828,0.000329,-0.017162,0.233126,0.999866,-0.008725,0.011312,-0.007952
0.828277,0.000321,-0.017164,0.233138,0.999889,-0.008774,0.008958,-0.008035
0.848317,0.000314,-0.017167,0.233144,0.999905,-0.008615,0.007276,-0.007926
0.868305,0.000327,-0.01716,0.233144,0.99986,-0.008783,0.011597,-0.008292
0.888298,0.00032,-0.017161,0.233141,0.999884,-0.008711,0.00986,-0.007672
0.908302,0.00032,-0.017161,0.233126,0.999885,-0.008696,0.009409,-0.008098
0.928295,0.000325,-0.017164,0.233118,0.999884,-0.008604,0.010032,-0.007565
0.948299,0.000322,-0.017161,0.233124,0.999869,-0.008818,0.009987,-0.009204
0.96829,0.000324,-0.017164,0.233112,0.999883,-0.008737,0.009533,-0.008133
0.988296,0.000325,-0.017164,0.233162,0.999869,-0.008833,0.011025,-0.007928
1.00828,0.000306,-0.017171,0.233136,0.999926,-0.008606,0.005866,-0.006231
1.02829,0.000324,-0.017165,0.233154,0.999884,-0.008659,0.009695,-0.007878
1.0483,0.000337,-0.017159,0.233121,0.999848,-0.008793,0.013054,-0.007557
1.0683,0.000322,-0.017162,0.233111,0.999884,-0.008684,0.010074,-0.007448
1.08829,0.000322,-0.017171,0.233152,0.99989,-0.008794,0.009923,-0.006607
1.10832,0.000321,-0.017167,0.233112,0.999892,-0.008709,0.009709,-0.006804
1.12831,0.000323,-0.017164,0.233104,0.999883,-0.008632,0.010193,-0.007513
1.14831,0.000317,-0.017163,0.233127,0.999891,-0.008587,0.008975,-0.008018
1.1683,0.00032,-0.017162,0.233112,0.999887,-0.008719,0.009319,-0.007921
1.18831,0.000327,-0.017171,0.233137,0.999884,-0.008812,0.010771,-0.006173
1.20829,0.000333,-0.01717,0.233101,0.999868,-0.008779,0.011844,-0.00686
