Timestamp,fx,fy,fz,mx,my,mz
0.657476,-0.07265,0.111754,-3.64675,-0.09084,0.361308,-0.002789
0.657956,-0.064113,0.107312,-3.83441,-0.090856,0.361276,-0.000806
0.658955,-0.062252,0.098163,-4.03159,-0.091069,0.361386,0.001061
0.659946,-0.059947,0.088132,-4.28021,-0.091286,0.36169,0.003204
0.66095,-0.067057,0.083392,-4.35348,-0.091158,0.361845,0.003994
0.661942,-0.074283,0.0866,-4.22795,-0.091308,0.362164,0.0026
0.662942,-0.076407,0.087321,-4.03015,-0.091154,0.362052,0.000516
0.663941,-0.077664,0.087688,-3.84304,-0.091163,0.362032,-0.001254
0.664947,-0.072857,0.101937,-3.59392,-0.090912,0.361679,-0.003609
0.665948,-0.0666,0.106766,-3.52203,-0.090718,0.361531,-0.004083
0.666943,-0.065762,0.106521,-3.64677,-0.090712,0.361545,-0.002903
0.667951,-0.064745,0.106845,-3.84397,-0.090698,0.361377,-0.001139
0.668949,-0.055556,0.101982,-4.04149,-0.090877,0.361437,0.000836
0.669947,-0.046359,0.096725,-4.28143,-0.090896,0.3616,0.003415
0.670947,-0.053469,0.091985,-4.3547,-0.090768,0.361755,0.004205
0.671943,-0.054066,0.091539,-4.21987,-0.090779,0.361929,0.003031
0.672944,-0.069266,0.09101,-4.0538,-0.090801,0.362201,0.001562
0.673943,-0.07071,0.100558,-3.84622,-0.090746,0.361992,-0.000292
0.674942,-0.065562,0.097597,-3.60655,-0.090777,0.361725,-0.002766
0.675947,-0.066384,0.106833,-3.52287,-0.090717,0.36153,-0.003762
0.676946,-0.058193,0.110115,-3.63702,-0.090683,0.361683,-0.002788
0.677944,-0.050328,0.10623,-3.83309,-0.090695,0.361465,-0.001454
0.678942,-0.057466,0.101598,-4.02041,-0.0904,0.361543,0.000202
0.679942,-0.048901,0.095875,-4.2699,-0.090261,0.361806,0.002448
0.680951,-0.040967,0.090857,-4.35308,-0.090287,0.361953,0.003231
0.681943,-0.056158,0.089936,-4.22943,-0.090149,0.362327,0.002365
0.682942,-0.057851,0.090792,-4.03331,-0.089994,0.362214,0.000924
0.68395,-0.066173,0.095302,-3.84648,-0.089977,0.362245,-0.000738
0.684955,-0.066565,0.095837,-3.5973,-0.090309,0.362209,-0.002772
0.685953,-0.05924,0.100644,-3.52487,-0.090435,0.362053,-0.003241
0.686947,-0.06509,0.105964,-3.63836,-0.090716,0.361731,-0.002255
0.687944,-0.062765,0.105575,-3.82492,-0.091029,0.361743,-0.00048
0.688948,-0.060943,0.097449,-4.02096,-0.091395,0.361565,0.001073
0.689946,-0.059746,0.088464,-4.26897,-0.091444,0.361591,0.002895
0.69095,-0.059744,0.087942,-4.34174,-0.091284,0.361698,0.003473
0.691947,-0.062066,0.08781,-4.22794,-0.09081,0.361792,0.002275
0.69295,-0.063927,0.096959,-4.03076,-0.090597,0.361683,0.000408
0.693945,-0.073364,0.09313,-3.8447,-0.090318,0.361719,-0.001155
0.694947,-0.075476,0.094108,-3.58621,-0.090165,0.361599,-0.003187
0.695951,-0.076524,0.103772,-3.5247,-0.08994,0.361315,-0.003559
0.696945,-0.067701,0.10752,-3.62928,-0.090064,0.361367,-0.002252
0.697943,-0.06608,0.099062,-3.83655,-0.090272,0.361289,-0.000391
0.698944,-0.064388,0.098206,-4.03268,-0.090427,0.361402,0.001051
0.699952,-0.054842,0.085124,-4.28071,-0.090821,0.361367,0.003091
0.700959,-0.054163,0.083422,-4.3524,-0.090829,0.361754,0.003347
0.701946,-0.054109,0.082555,-4.22742,-0.091003,0.36202,0.002166
0.702945,-0.063298,0.087418,-4.0299,-0.090825,0.36196,0.00019
0.70395,-0.071116,0.099665,-3.83361,-0.090754,0.362182,-0.001249
0.704949,-0.072817,0.100913,-3.59506,-0.090759,0.361966,-0.003294
0.705951,-0.065646,0.11375,-3.53365,-0.090667,0.361912,-0.003559
0.706945,-0.057546,0.110317,-3.63953,-0.090681,0.361681,-0.001825
0.707947,-0.056055,0.10913,-3.84689,-0.090677,0.361894,-7.5e-05
0.708948,-0.054194,0.099981,-4.04407,-0.09089,0.362003,0.001792
0.709945,-0.05254,0.090371,-4.28284,-0.090944,0.362215,0.003941
0.71095,-0.059712,0.077535,-4.34424,-0.091035,0.362269,0.004206
0.711946,-0.061135,0.085674,-4.22885,-0.090825,0.362359,0.002589
0.712946,-0.070136,0.081356,-4.0518,-0.09071,0.362488,0.000698
0.713944,-0.064516,0.086762,-3.84394,-0.090679,0.362227,-0.001265
0.714944,-0.066626,0.096996,-3.61443,-0.090621,0.361827,-0.003742
0.71595,-0.068146,0.098292,-3.52111,-0.090457,0.361537,-0.004626
0.716949,-0.067327,0.098935,-3.62644,-0.090446,0.361358,-0.003105
0.717951,-0.058983,0.103545,-3.82398,-0.090397,0.361142,-0.001233
0.718951,-0.050445,0.099102,-4.01164,-0.090413,0.36111,0.00075
0.71995,-0.055881,0.094394,-4.26162,-0.090436,0.361185,0.003322
0.720957,-0.061736,0.080451,-4.35481,-0.090693,0.361521,0.004202
0.721951,-0.061923,0.080275,-4.23993,-0.090862,0.3616,0.003015
0.722956,-0.069587,0.084493,-4.03261,-0.091009,0.361719,0.001372
0.723954,-0.078125,0.088935,-3.84495,-0.090993,0.361751,-0.000611
0.724953,-0.079625,0.090516,-3.59517,-0.091157,0.361436,-0.002964
0.725954,-0.07958,0.099398,-3.52219,-0.091259,0.361332,-0.003646
0.726951,-0.071677,0.095011,-3.64664,-0.091278,0.361294,-0.002574
0.727951,-0.063308,0.098862,-3.83325,-0.091236,0.361266,-0.001017
0.728953,-0.062468,0.098095,-4.03076,-0.09107,0.361386,0.00074
0.72996,-0.061183,0.096447,-4.2797,-0.090907,0.361702,0.002773
0.730964,-0.054116,0.091783,-4.35218,-0.090771,0.361757,0.003242
0.731964,-0.062242,0.086719,-4.22825,-0.090657,0.36208,0.002269
0.732951,-0.064326,0.086417,-4.03159,-0.09035,0.362256,0.0005
0.73396,-0.072648,0.090927,-3.84477,-0.090333,0.362287,-0.001162
0.734959,-0.074109,0.091484,-3.59613,-0.090344,0.362259,-0.003201
0.73597,-0.080108,0.096126,-3.5231,-0.090801,0.362196,-0.003665
0.73696,-0.071349,0.101657,-3.63748,-0.091071,0.361772,-0.002358
0.737956,-0.069729,0.093199,-3.84475,-0.091279,0.361693,-0.000497
0.738976,-0.061407,0.088689,-4.03157,-0.091296,0.361662,0.001165
0.739953,-0.058879,0.08811,-4.27967,-0.091607,0.361682,0.003209
0.740956,-0.058877,0.087589,-4.35243,-0.091446,0.361789,0.003786
0.741955,-0.060783,0.087855,-4.22824,-0.09113,0.361783,0.002601
0.742951,-0.062403,0.096313,-4.02097,-0.090922,0.361862,0.00074
