Timestamp,fx,fy,fz,mx,my,mz
0.614636,0.042641,0.184108,-3.28418,-0.353826,0.278964,0.000515
0.615625,0.051776,0.170755,-3.51226,-0.354063,0.279025,0.002568
0.616575,0.059969,0.173515,-3.69917,-0.353868,0.279285,0.004119
0.617579,0.051828,0.178073,-3.65758,-0.353682,0.279242,0.003619
0.618575,0.042849,0.182875,-3.49125,-0.353502,0.279186,0.001938
0.619576,0.040624,0.200115,-3.27391,-0.353073,0.279175,-2e-05
0.620576,0.031201,0.205798,-3.05614,-0.352889,0.278923,-0.001976
0.621576,0.036372,0.20218,-2.87096,-0.3526,0.278858,-0.003217
0.622583,0.043334,0.191066,-2.9231,-0.352671,0.27843,-0.002617
0.62358,0.037833,0.178783,-3.08845,-0.353073,0.278297,-0.001147
0.624579,0.046829,0.182972,-3.29585,-0.353187,0.278173,0.000718
0.625573,0.056011,0.17798,-3.52371,-0.353365,0.278237,0.002667
0.626577,0.049966,0.172567,-3.69955,-0.353398,0.278495,0.004014
0.627576,0.042025,0.177457,-3.64672,-0.353371,0.278353,0.003205
0.628573,0.032582,0.173499,-3.491,-0.353091,0.278393,0.001616
0.629573,0.031009,0.190317,-3.28352,-0.352825,0.278475,-0.000349
0.630572,0.029348,0.190543,-3.04611,-0.352676,0.278546,-0.002079
0.631574,0.03585,0.195331,-2.86102,-0.352649,0.278475,-0.003099
0.632575,0.043052,0.183525,-2.90306,-0.352725,0.278235,-0.002493
0.633605,0.04475,0.182798,-3.06884,-0.352881,0.278344,-0.001025
0.634579,0.046435,0.172558,-3.26633,-0.352941,0.278741,0.000836
0.635567,0.048313,0.1724,-3.50457,-0.353089,0.278669,0.002887
0.636568,0.057352,0.174942,-3.72045,-0.353215,0.278926,0.004096
0.637577,0.049652,0.17914,-3.65752,-0.353194,0.278971,0.003294
0.638567,0.033997,0.179235,-3.50071,-0.353211,0.279056,0.001497
0.639566,0.025923,0.192438,-3.30244,-0.353294,0.278991,-0.000577
0.640568,0.01711,0.189468,-3.06439,-0.353333,0.278823,-0.00241
0.64157,0.023396,0.194189,-2.87846,-0.353306,0.278753,-0.00375
0.642568,0.031512,0.19039,-2.93098,-0.353486,0.278607,-0.002935
0.643574,0.032728,0.181791,-3.08796,-0.353537,0.278621,-0.001035
0.644566,0.041917,0.176927,-3.28548,-0.353716,0.278681,0.000941
0.645576,0.043618,0.175678,-3.52402,-0.353711,0.278897,0.002986
0.646582,0.052228,0.178838,-3.70054,-0.353674,0.279056,0.004549
0.647575,0.044375,0.191065,-3.64864,-0.353435,0.279204,0.003951
0.648571,0.034892,0.18813,-3.49177,-0.353309,0.278957,0.002047
0.649573,0.025077,0.192656,-3.27347,-0.352973,0.278994,-0.000236
0.65057,0.022959,0.193505,-3.04532,-0.35282,0.278878,-0.002293
0.651571,0.028764,0.199609,-2.87958,-0.352782,0.278432,-0.003646
0.652575,0.036335,0.179842,-2.91144,-0.353076,0.278089,-0.002923
0.653577,0.037537,0.171506,-3.05634,-0.353286,0.278004,-0.001652
0.65457,0.031916,0.166101,-3.2642,-0.353317,0.278264,0.00031
0.655569,0.040448,0.161529,-3.48221,-0.353332,0.278237,0.002267
0.656569,0.049267,0.164628,-3.68991,-0.353294,0.2784,0.004126
0.657588,0.048501,0.181832,-3.64844,-0.353015,0.278311,0.003629
0.658572,0.040623,0.18546,-3.51306,-0.353001,0.278537,0.002242
0.659574,0.039157,0.185889,-3.29476,-0.353011,0.278514,0.000178
0.660571,0.029557,0.190482,-3.0773,-0.352675,0.278549,-0.001784
