Timestamp,x,y,z,q1,q2,q3,q4
0.86426,0.076832,-0.017991,0.231733,0.999969,-0.007801,0.001118,-0.000872
0.884248,0.076822,-0.017992,0.231704,0.999969,-0.007771,0.001409,-0.000411
0.904269,0.076838,-0.017991,0.231761,0.999969,-0.007808,0.000831,-0.000986
0.924296,0.076834,-0.017988,0.231735,0.999968,-0.007813,0.001054,-0.000959
0.944235,0.076829,-0.017991,0.231741,0.99997,-0.007677,0.000939,-0.000671
0.964244,0.076837,-0.017994,0.231749,0.999969,-0.007786,0.001069,-0.000626
0.984251,0.07684,-0.017992,0.23177,0.999969,-0.007799,0.000761,-0.000908
1.00425,0.076855,-0.017995,0.231807,0.999969,-0.007787,0.000608,-0.001315
1.02424,0.07683,-0.017987,0.231749,0.999968,-0.007843,0.000656,-0.001168
1.04425,0.076845,-0.017992,0.231784,0.999969,-0.007714,0.000634,-0.001123
1.06425,0.076828,-0.017987,0.23171,0.999969,-0.00777,0.001377,-0.000505
1.08425,0.076836,-0.017989,0.231759,0.999968,-0.007868,0.000795,-0.001087
1.10425,0.076852,-0.017991,0.231806,0.999969,-0.007776,0.000557,-0.001063
1.12425,0.076826,-0.017987,0.231721,0.99997,-0.007648,0.001217,-0.000751
1.14426,0.076836,-0.017992,0.231743,0.99997,-0.007669,0.001084,-0.000716
1.16425,0.076844,-0.01799,0.231772,0.999969,-0.007812,0.000715,-0.000781
1.18427,0.07683,-0.017991,0.231747,0.999969,-0.00781,0.000832,-0.00063
1.20426,0.076836,-0.017986,0.231751,0.999968,-0.007801,0.001216,-0.001243
1.22426,0.076844,-0.017992,0.231779,0.999969,-0.007739,0.000905,-0.001012
1.24432,0.076836,-0.017988,0.231755,0.999969,-0.007768,0.000826,-0.000744
1.26429,0.076836,-0.017988,0.231745,0.99997,-0.007658,0.001054,-0.00054
1.28425,0.076825,-0.01799,0.231724,0.99997,-0.007648,0.000884,-0.000567
1.30427,0.076827,-0.017987,0.231734,0.999969,-0.007808,0.000728,-0.000984
1.32425,0.076841,-0.017988,0.231759,0.999969,-0.007809,0.000812,-0.000996
1.34425,0.076845,-0.017989,0.231776,0.99997,-0.007703,0.00066,-0.000738
1.36427,0.076837,-0.017991,0.231757,0.99997,-0.007671,0.000653,-0.000464
1.38429,0.076831,-0.017988,0.231728,0.999971,-0.007566,0.001044,-0.00041
1.40427,0.076838,-0.017991,0.231761,0.999969,-0.00777,0.000943,-0.001185
1.42424,0.076834,-0.017986,0.231753,0.999969,-0.007743,0.000821,-0.001039
1.44424,0.076847,-0.017994,0.231784,0.999969,-0.007813,0.000682,-0.001064
1.46425,0.076832,-0.01799,0.231725,0.999968,-0.007825,0.00123,-0.000625
1.48424,0.076826,-0.017989,0.231723,0.999968,-0.007804,0.001026,-0.001066
1.50425,0.076834,-0.017988,0.231745,0.999969,-0.007757,0.000954,-0.00081
1.52426,0.076819,-0.017983,0.231706,0.999968,-0.007831,0.001057,-0.001397
1.54426,0.076989,-0.01815,0.232242,0.999961,-0.008026,-0.002654,-0.002379
1.56424,0.077025,-0.017909,0.232227,0.999968,-0.007276,-0.002633,0.002124
1.58426,0.077003,-0.017952,0.232047,0.999969,-0.007592,-0.0018,0.000425
1.60426,0.076865,-0.017984,0.23172,0.999967,-0.00806,0,-0.000866
1.62426,0.076891,-0.017991,0.231655,0.999968,-0.007927,0.000582,-0.001313
1.6443,0.076855,-0.017928,0.231561,0.999962,-0.008365,0.001168,-0.002025
1.66428,0.076862,-0.017958,0.231538,0.999966,-0.007994,0.001569,-0.001558
1.68428,0.07687,-0.017952,0.231573,0.999967,-0.007896,0.001356,-0.00108
1.70428,0.076878,-0.017961,0.23158,0.999971,-0.007553,0.001124,-0.000827
1.72429,0.076858,-0.017972,0.23152,0.999966,-0.007938,0.001778,-0.001195
1.74428,0.07689,-0.017987,0.231611,0.999967,-0.007901,0.001148,-0.001503
1.76428,0.076902,-0.017995,0.231656,0.999969,-0.00777,0.000779,-0.000874
1.78428,0.076911,-0.017994,0.231695,0.999965,-0.008055,0.000674,-0.002056
1.80426,0.076906,-0.017989,0.231671,0.999969,-0.007751,0.000732,-0.001017
1.82426,0.076905,-0.017994,0.231688,0.999969,-0.007823,0.000471,-0.000842
1.84426,0.076898,-0.017993,0.231644,0.999971,-0.007583,0.000911,-0.000363
1.86427,0.076885,-0.017985,0.231613,0.99997,-0.007733,0.000774,-0.000579
1.88426,0.07687,-0.017986,0.231568,0.999969,-0.007817,0.001093,-0.000564
1.90426,0.076869,-0.017978,0.231547,0.99997,-0.007604,0.001135,-0.00034
1.92427,0.076871,-0.017983,0.23157,0.999968,-0.007803,0.001073,-0.001163
1.94427,0.076891,-0.017994,0.231618,0.999968,-0.007868,0.000999,-0.000955
1.96429,0.076907,-0.017995,0.231678,0.99997,-0.007616,0.000761,-0.000863
1.98427,0.076901,-0.017988,0.231649,0.99997,-0.007659,0.000854,-0.000769
2.00428,0.076903,-0.017986,0.231658,0.999967,-0.007879,0.000736,-0.001842
