Timestamp,vx,vy,vz,wx,wy,wz
0.84788,6e-06,6e-06,-7e-06,-3.1e-05,2.4e-05,0
0.852811,1e-06,-2e-06,-4e-06,3.5e-05,-7e-06,-6e-06
0.85781,-0,0,6e-06,-3.2e-05,2e-06,0
0.862799,-1e-06,2e-06,-4e-06,1.6e-05,-1e-05,1.2e-05
0.867801,-1e-06,-2e-06,1e-05,1.2e-05,-8e-06,-1.2e-05
0.872797,1e-06,3e-06,-2e-06,-2.2e-05,8e-06,1.2e-05
0.877799,1e-06,2e-06,-1.3e-05,1.8e-05,1e-06,1.2e-05
0.882794,-1e-06,2e-06,8e-06,-2.9e-05,-3e-06,6e-06
0.887792,-1e-06,-7e-06,-0,-0,0,-4.2e-05
0.892791,-4e-06,-4e-06,-6e-06,2.3e-05,-1e-06,6e-06
0.8978,4e-06,6e-06,8e-06,-1e-05,-6e-06,3e-05
0.902843,0,1e-06,0,1e-05,-1e-06,-6e-06
0.907801,-1e-06,-4e-06,-0,-1.9e-05,3e-06,-1.8e-05
0.912792,2e-06,6e-06,-4e-06,-6e-06,1e-05,1.2e-05
0.917811,6e-06,5e-06,-8e-06,2.9e-05,3e-06,1.8e-05
0.922842,-1e-06,4e-06,4e-06,-1.3e-05,-8e-06,1.8e-05
0.927865,-4e-06,-9e-06,-4e-06,1.3e-05,7e-06,-2.4e-05
0.932813,9e-06,1.1e-05,1e-05,-1.7e-05,-1e-05,6e-06
0.937811,-1e-05,-9e-06,-2e-06,-1.2e-05,7e-06,-1.2e-05
0.942834,7e-06,1.1e-05,0,-0,0,6e-06
0.947816,-8e-06,-4e-06,0,1.7e-05,-1.5e-05,1.8e-05
0.952822,0,-6e-06,-8e-06,1e-05,6e-06,-1.2e-05
0.957819,-2e-06,-4e-06,8e-06,-2e-05,-4e-06,-6e-06
0.962818,-1e-06,-6e-06,-4e-06,5e-06,2.1e-05,-6e-06
0.967813,3e-06,7e-06,-4e-06,1.5e-05,-1.6e-05,6e-06
0.972818,8e-06,1e-05,8e-06,9e-06,-9e-06,6e-06
0.977817,1e-05,1.9e-05,-4e-06,-2.5e-05,1.3e-05,4.2e-05
0.982821,6e-06,8e-06,-0,-3e-06,-1.8e-05,6e-06
0.987813,1.2e-05,7e-06,-1.2e-05,-1e-06,4.7e-05,2.4e-05
0.992826,-1.6e-05,-1.6e-05,8e-06,2.3e-05,-4.1e-05,-4.2e-05
0.997816,-1.7e-05,-2e-05,2e-06,-4.4e-05,2e-06,-3.6e-05
1.00282,-4e-06,-7e-06,-2e-06,1.6e-05,2e-06,-6e-06
1.00782,-7e-06,-1.5e-05,-0,3e-06,1.8e-05,-1.2e-05
1.01282,1.6e-05,2.3e-05,-8e-06,-9e-06,9e-06,2.4e-05
1.01782,-3e-06,-3e-06,-0,1.6e-05,-2.1e-05,-0
1.02282,-0,3e-06,4e-06,-3.3e-05,2.5e-05,1.2e-05
1.02782,8e-06,2e-06,-1.2e-05,1.4e-05,1.5e-05,0
1.03281,-2e-06,6e-06,1e-05,-1e-06,-3e-05,-0
1.03782,3e-06,4e-06,-6e-06,-2.8e-05,1.8e-05,1.2e-05
1.04282,-3e-06,-6e-06,-1e-05,2.6e-05,8e-06,-2.4e-05
1.04781,0,-1e-06,4e-06,-2.6e-05,6e-06,0
1.05282,9e-06,1.3e-05,-7e-06,-2.1e-05,2.2e-05,1.8e-05
1.05782,-4e-06,-9e-06,6e-06,2.8e-05,-1.8e-05,-1.2e-05
1.06283,-1.6e-05,-2.1e-05,0,-2e-06,-1.2e-05,-3.6e-05
1.06781,-0,3e-06,4e-06,-5e-06,-3e-06,-6e-06
1.07281,-4e-06,-8e-06,-4e-06,5e-06,3e-06,-0
1.07783,0,1e-06,0,-9e-06,1e-06,-1.2e-05
1.08282,4e-06,7e-06,-6e-06,-1.2e-05,-2e-06,6e-06
1.08781,5e-06,7e-06,-0,0,-0,2.4e-05
1.09283,-5e-06,-7e-06,0,-0,0,-2.4e-05
1.09782,5e-06,9e-06,0,-9e-06,1e-06,1.2e-05
1.10282,4e-06,1e-05,8e-06,-1e-06,-7e-06,3e-05
1.10783,-2e-06,-5e-06,-2e-06,1.9e-05,-1e-05,-1.8e-05
1.11281,1e-06,4e-06,0,-2.8e-05,4e-06,0
1.11779,-3e-06,-0,2e-06,1.5e-05,-2e-05,1.8e-05
1.12279,-2e-06,-5e-06,-2e-06,-1e-06,1.7e-05,-6e-06
1.12781,-6e-06,-6e-06,-6e-06,-7e-06,-8e-06,-4.2e-05
1.13281,-1e-06,-9e-06,-2e-06,-3e-06,5e-06,-6e-06
1.13781,-1e-06,7e-06,1e-05,2e-06,-1.3e-05,3e-05
1.14283,7e-06,4e-06,-1.2e-05,4e-06,1.6e-05,-6e-06
1.14781,-5e-06,-2e-06,8e-06,-1e-06,-8e-06,1.2e-05
1.15281,4e-06,2e-06,-0,-0,0,-1.2e-05
1.15781,-1e-06,6e-06,-4e-06,-3.5e-05,-9e-06,0
1.16282,2e-06,-4e-06,2e-06,2.5e-05,1e-05,1.2e-05
1.16794,3e-06,1.2e-05,-4e-06,3e-06,-1.5e-05,2.4e-05
1.17281,-8e-06,-1.2e-05,1.6e-05,-2e-06,-1.5e-05,-3.6e-05
1.17782,4e-06,-0,-1e-05,2e-06,2.4e-05,0
1.18281,-1e-06,1e-05,1.2e-05,-1e-06,-4.2e-05,3e-05
1.18782,-0,-4e-06,-1.2e-05,-3.2e-05,3.4e-05,-5e-06
1.19281,-1e-06,-7e-06,-6e-06,1.8e-05,-1e-06,-2.4e-05
1.19781,-7e-06,6e-06,8e-06,-2.2e-05,-2.2e-05,2.4e-05
1.20281,3e-06,-1e-05,-6e-06,2.7e-05,1.1e-05,-3e-05
1.20781,4e-06,1.5e-05,4e-06,-1.9e-05,-1.3e-05,2.4e-05
1.21282,-7e-06,-8e-06,2e-06,1.1e-05,-1e-06,-6e-06
1.21781,4e-06,7e-06,2e-06,-1.6e-05,-2e-06,6e-06
1.22282,1.1e-05,1.5e-05,0,-2e-06,6e-06,1.2e-05
1.22782,-1e-05,-1.2e-05,-2e-06,-1e-06,-1e-06,-1.8e-05
1.23284,-6e-06,-1.3e-05,-6e-06,1e-05,-5e-06,-1.2e-05
1.23785,3e-06,5e-06,2e-06,-1.6e-05,1.5e-05,1.8e-05
1.24282,-4e-06,-7e-06,2e-06,1e-06,-1.7e-05,-4.2e-05
1.24782,0,1.1e-05,-4e-06,-8e-06,-8e-06,4.8e-05
1.25282,1e-06,-4e-06,4e-06,9e-06,7e-06,-1.8e-05
1.25779,-3e-06,-9e-06,-2e-06,-1e-06,1.7e-05,-1.8e-05
1.26281,5e-06,8e-06,0,1e-05,-1e-06,6e-06
1.2678,-0,-1e-06,-0,-1e-05,1e-06,6e-06
1.27279,4e-06,4e-06,-0,1.9e-05,-3e-06,1.2e-05
1.2778,6e-06,9e-06,-8e-06,1e-06,7e-06,1.8e-05
1.28281,-0,1e-06,6e-06,-2.3e-05,1e-06,-6e-06
1.2878,-9e-06,-1.4e-05,-8e-06,2.9e-05,3e-06,-1.2e-05
1.29279,1e-06,8e-06,1e-05,-1.9e-05,-2.2e-05,6e-06
1.29783,2e-06,2e-06,-4e-06,-1.5e-05,1.2e-05,1.2e-05
1.30281,-7e-06,-1e-05,6e-06,1.8e-05,-1.7e-05,-2.4e-05
1.30782,6e-06,3e-06,-6e-06,1.2e-05,7e-06,-6e-06
1.31282,-4e-06,-1e-06,2e-06,-2.7e-05,5e-06,6e-06
1.31782,3e-06,-4e-06,-4e-06,2.6e-05,-6e-06,-6e-06
1.32282,8e-06,2.3e-05,4e-06,-2.6e-05,6e-06,4.2e-05
1.32782,-5e-06,-1.5e-05,-1e-05,3.7e-05,1e-06,-1.8e-05
1.33281,-1.2e-05,-1.1e-05,8e-06,-5e-05,-1.2e-05,-3.6e-05
1.33782,1.2e-05,1.9e-05,4e-06,1.6e-05,6e-06,3e-05
1.34281,-1e-05,-2.1e-05,-0,1.6e-05,-2.1e-05,-4.2e-05
1.34783,5e-06,9e-06,-8e-06,-2.5e-05,3e-05,1.2e-05
1.35282,3e-06,9e-06,6e-06,4e-06,-1.6e-05,-0
1.35785,0,-3e-06,-4e-06,5e-06,3e-06,1.2e-05
1.36282,-3e-06,-2e-06,-4e-06,4e-06,-3e-06,-0
1.36782,-2e-06,-7e-06,-4e-06,5e-06,3e-06,-1.2e-05
1.37282,4e-06,1e-05,1.4e-05,-2e-06,-1e-05,1.8e-05
1.37783,-4e-06,-4e-06,-2e-06,-3e-06,5e-06,-6e-06
1.38282,7e-06,5e-06,-1.4e-05,-1.6e-05,1.9e-05,1.2e-05
1.38782,1e-06,6e-06,-4e-06,3.9e-05,-3.2e-05,1.2e-05
1.39282,-3e-06,-7e-06,1.7e-05,-3.2e-05,1.5e-05,-2.4e-05
1.39783,-1e-06,3e-06,-1.2e-05,1.3e-05,-9e-06,2.4e-05
1.40282,-2e-06,-5e-06,6e-06,1.7e-05,-1.1e-05,-6e-06
1.40782,-0.000708,0.000563,-0.000757,-0.002164,-0.004543,0.00058
1.41282,-0.001749,0.00565,-0.025213,-0.025889,-0.004233,0.005887
1.41787,-0.002321,0.002952,-0.04623,-0.008409,-0.011694,0.003671
1.42285,-0.001379,0.003016,-0.052067,-0.016089,-0.002418,0.002142
1.42784,0.000903,-0.000184,-0.05383,-0.005058,0.022593,-0.0004
1.43284,0.004908,0.001541,-0.045784,-0.005823,0.039916,0.003378
1.43784,0.008314,0.000927,-0.034365,0.009606,0.050711,0.004194
1.44285,0.004969,-0.000375,-0.021219,0.017046,0.027075,0.002842
1.44785,0.000705,-0.000923,-0.006721,0.018286,-0.004153,0.002657
1.45284,-0.002547,0.000668,0.007591,0.017598,-0.031117,0.005531
1.45784,-0.007134,-0.003463,0.018226,0.023009,-0.051389,-0.000986
1.46285,-0.00774,-0.000947,0.02882,0.019327,-0.059882,0.003496
1.46784,-0.010048,-0.000589,0.038845,0.013522,-0.073835,0.002543
1.47284,-0.009039,0.000957,0.039062,-0.007147,-0.061733,-0.000393
1.47785,-0.004648,0.001845,0.03907,-0.019519,-0.031063,-0.002494
1.48285,0.00326,0.003116,0.03699,-0.026169,0.02168,-0.001236
1.48787,0.00647,0.001217,0.0357,-0.028593,0.048745,-0.005755
1.49284,0.0085,0.000508,0.031898,-0.027891,0.064244,-0.007254
1.49786,0.009932,-0.001294,0.02295,-0.018286,0.075956,-0.00754
1.50285,0.00522,-0.002691,0.016933,-0.01217,0.049552,-0.008069
1.50785,0.000812,-0.001314,0.009839,-0.006077,0.015651,-0.003354
1.51289,-0.002212,-0.000208,0.004185,-0.005509,-0.008467,-0.001334
1.51788,-0.001935,-0.000468,-0.000352,0.00017,-0.009267,-0.00047
1.52287,-0.002449,0.000961,-0.002116,-0.002004,-0.016051,0.001833
1.52789,-0.003448,0.00087,-0.006611,-0.003803,-0.021702,0.00059
1.53287,-0.002202,0.000819,-0.011516,-0.004336,-0.014085,0.000228
1.53786,-0.002633,0.000798,-0.011211,-0.003931,-0.016896,0.000358
1.54291,-0.00284,0.000391,-0.009003,-0.001839,-0.017277,0.00026
1.54788,4e-06,-0.000454,-0.008837,0.000403,0.002389,-0.000646
1.55289,0.001221,-0.001469,-0.00881,0.003813,0.012244,-0.001538
1.55786,0.001157,-0.001318,-0.007465,0.004857,0.010804,-0.000966
1.56287,0.000855,-0.000767,-0.004611,0.004879,0.006667,0.000171
1.56785,0.000428,-0.00057,-0.003918,0.005615,0.002626,0.000589
1.57287,0.000336,-0.000355,-0.003013,0.005254,0.001497,0.000982
1.57789,-2.6e-05,0.000209,-0.001017,0.002335,-0.000561,0.001439
1.58287,-4.4e-05,0.000142,-0.000112,0.000494,9.2e-05,0.00068
1.58786,-0.000451,-0.000405,0.000731,0.000961,-0.001596,-0.000379
1.59286,-0.00087,-0.00061,0.001748,0.002341,-0.004778,-0.000462
1.59787,-0.001144,-0.000509,0.002893,0.003589,-0.0073,0.000193
1.60291,-0.001436,-0.000741,0.00355,0.003697,-0.008427,-0.000279
1.60786,-0.001232,-0.000492,0.003109,0.002683,-0.007879,-0.00015
1.61283,-0.001049,-0.000239,0.003,0.003181,-0.007933,0.000446
1.61781,-0.000804,-0.000191,0.00288,0.003706,-0.007051,0.000569
1.62283,-0.000383,-0.000279,0.001881,0.002785,-0.003782,0.000103
1.62781,0.000478,0.000179,0.000859,0.000867,0.002162,0.000679
1.63281,0.000959,0.000289,0.000116,-0.001337,0.006149,0.000222
1.63781,0.001466,0.000523,0.000202,-0.002272,0.009346,0.000473
1.64283,0.001515,0.000521,0.000418,-0.00237,0.00958,0.000447
1.64786,0.000927,0.000383,0.000182,-0.001268,0.005679,0.000453
1.65281,0.000611,0.000192,-6.4e-05,-0.000605,0.003655,0.000214
1.6578,0.00041,0.000335,-0.000243,-0.000769,0.002167,0.000468
1.66282,8.4e-05,0.000328,-0.000151,-0.001011,0.000391,0.000461
1.66783,-1.1e-05,7.5e-05,-7.2e-05,-0.000572,0.000118,-6e-06
1.6728,-5.4e-05,-9.3e-05,-1.7e-05,-1.3e-05,-0.000131,-0.000204
1.67783,-5.7e-05,-5.3e-05,8e-06,-2.7e-05,-0.000239,-0.000114
1.68282,-7.3e-05,-3.9e-05,2.1e-05,-4.5e-05,-0.000264,-9.6e-05
1.68782,-7.4e-05,-1e-06,8.7e-05,-0.000114,-0.000348,-1.8e-05
1.69284,-9.1e-05,5e-05,0.000284,-0.000417,-0.000581,-3e-05
1.69789,-4.1e-05,0.000146,0.000461,-0.000692,-0.000393,9.1e-05
1.70287,-4e-05,2.4e-05,0.000257,-0.000349,-0.000239,-5.4e-05
1.70788,-1.2e-05,1.3e-05,6.7e-05,-0.000154,-7.9e-05,-2.9e-05
1.71291,-0,9e-06,4e-06,-1.4e-05,1.6e-05,6e-06
1.71788,2.6e-05,4.3e-05,-1.5e-05,-2.2e-05,1.8e-05,7.2e-05
1.72288,8e-06,4.2e-05,-2.1e-05,-8e-05,-6.3e-05,6.1e-05
1.72791,2.9e-05,4.4e-05,-2.8e-05,-5.9e-05,6.7e-05,4.9e-05
1.73288,-5e-06,1.5e-05,3.1e-05,-5.4e-05,-4e-05,1.8e-05
1.73787,-4.1e-05,2.8e-05,0.000149,-0.000186,-0.000246,6e-06
1.74288,-4.8e-05,5.2e-05,0.000256,-0.000424,-0.000304,-2.9e-05
1.74788,6e-06,7.7e-05,0.000148,-0.000549,9.1e-05,1.6e-05
1.75287,1.6e-05,3.3e-05,4.3e-05,-0.000332,0.000155,-3.9e-05
1.75788,1.1e-05,7e-06,-2.8e-05,-0.000215,0.000121,-5.7e-05
1.76288,8e-06,1.4e-05,-2e-06,-0.000113,7.1e-05,-1.7e-05
1.76788,2.4e-05,4.4e-05,1.3e-05,-0.000231,0.000136,3.2e-05
1.77287,3.4e-05,6.4e-05,-4.7e-05,-0.000357,0.000228,1.6e-05
1.77787,2.3e-05,5e-05,-3e-06,-0.000337,0.00015,9e-06
1.78285,-0,4.6e-05,8.1e-05,-0.00033,2.7e-05,2e-06
