Timestamp,fx,fy,fz,mx,my,mz
0.852026,-0.302299,-0.450294,-3.77982,0.170385,0.450417,-0.008718
0.852372,-0.300398,-0.460466,-3.97814,0.170325,0.450814,-0.006536
0.853369,-0.298691,-0.461587,-4.18634,0.170329,0.451025,-0.004465
0.854366,-0.304929,-0.467723,-4.41584,0.170616,0.451485,-0.002207
0.855367,-0.298669,-0.463416,-4.41672,0.170972,0.451444,-0.002104
0.856364,-0.300259,-0.446231,-4.26258,0.171405,0.45144,-0.003151
0.85737,-0.30253,-0.437353,-4.04546,0.171776,0.451427,-0.005005
0.858363,-0.303799,-0.426713,-3.83758,0.171678,0.45093,-0.006853
0.859365,-0.312417,-0.42948,-3.61864,0.171481,0.450667,-0.00902
0.860364,-0.311677,-0.436148,-3.62726,0.170953,0.450181,-0.009231
0.861369,-0.295882,-0.444008,-3.76098,0.170593,0.449895,-0.008268
0.862373,-0.299999,-0.449924,-3.97731,0.170078,0.450241,-0.006628
0.863365,-0.29836,-0.459269,-4.204,0.169865,0.450355,-0.005108
0.86437,-0.297285,-0.460856,-4.42176,0.170027,0.450667,-0.003371
0.865365,-0.305152,-0.458142,-4.40156,0.170361,0.451103,-0.003576
0.866363,-0.306266,-0.442469,-4.25759,0.170784,0.451479,-0.004637
0.867378,-0.308576,-0.442345,-4.0831,0.171256,0.451566,-0.005783
0.868381,-0.310705,-0.441,-3.87796,0.171575,0.45136,-0.006896
0.869373,-0.311927,-0.431256,-3.64087,0.171631,0.451146,-0.008404
0.870372,-0.311817,-0.437638,-3.62137,0.171425,0.450662,-0.007952
0.871375,-0.296042,-0.444611,-3.73567,0.17107,0.450184,-0.006649
0.872374,-0.301137,-0.456752,-3.95132,0.170511,0.449959,-0.005218
0.873374,-0.291768,-0.461148,-4.15587,0.170014,0.449825,-0.004207
0.874375,-0.296758,-0.466839,-4.39186,0.169662,0.450084,-0.002907
0.875368,-0.311476,-0.460667,-4.41047,0.169858,0.450669,-0.003679
0.876365,-0.312458,-0.452888,-4.27375,0.169905,0.450848,-0.005599
0.877363,-0.314718,-0.454281,-4.07739,0.170364,0.451311,-0.007375
0.878363,-0.316975,-0.445667,-3.87234,0.170895,0.451396,-0.008599
0.879366,-0.312208,-0.449427,-3.63687,0.171341,0.451423,-0.009801
0.880364,-0.31226,-0.457165,-3.62975,0.171447,0.451326,-0.008726
0.881365,-0.304185,-0.459838,-3.74656,0.17144,0.450906,-0.006678
0.882362,-0.295022,-0.463943,-3.95501,0.171268,0.450777,-0.004388
0.883366,-0.292985,-0.472001,-4.15188,0.170902,0.450598,-0.002514
0.884368,-0.297776,-0.467482,-4.39828,0.170462,0.450383,-0.000998
0.885364,-0.304186,-0.464384,-4.41576,0.170159,0.450621,-0.001867
0.886365,-0.305382,-0.456672,-4.2782,0.170204,0.450801,-0.004108
0.887366,-0.314714,-0.444274,-4.06869,0.170435,0.450933,-0.006824
0.888364,-0.323227,-0.44059,-3.8701,0.170445,0.451153,-0.009121
0.88937,-0.317125,-0.436567,-3.64205,0.170464,0.451268,-0.011071
0.890364,-0.310241,-0.441178,-3.63473,0.170757,0.45141,-0.010215
0.891373,-0.302806,-0.453702,-3.76246,0.171002,0.451375,-0.008082
0.892365,-0.300539,-0.461957,-3.97225,0.170796,0.451295,-0.005258
0.893363,-0.306595,-0.466875,-4.1711,0.17093,0.451463,-0.002967
0.894363,-0.304952,-0.466212,-4.38908,0.170787,0.451199,-0.000896
0.895366,-0.298034,-0.452942,-4.39846,0.170885,0.450965,-0.001219
0.896362,-0.298839,-0.444072,-4.26143,0.170778,0.450856,-0.003133
0.897363,-0.314953,-0.44283,-4.0411,0.170605,0.450647,-0.005834
0.898365,-0.316681,-0.441574,-3.85117,0.170442,0.450341,-0.00856
0.89937,-0.32436,-0.437092,-3.63178,0.170135,0.450361,-0.010833
0.900365,-0.316879,-0.440836,-3.6211,0.169952,0.450209,-0.010928
0.901365,-0.314523,-0.441855,-3.76639,0.169632,0.450406,-0.009442
0.902364,-0.298906,-0.450705,-3.96584,0.169751,0.450421,-0.006938
0.903364,-0.298098,-0.460097,-4.17564,0.170018,0.450637,-0.004447
0.904369,-0.296617,-0.46079,-4.40601,0.170188,0.45076,-0.001752
0.905364,-0.304534,-0.456558,-4.40767,0.170535,0.450819,-0.001329
0.906363,-0.313452,-0.443659,-4.2532,0.170933,0.450864,-0.002484
0.907377,-0.308038,-0.438713,-4.08692,0.171123,0.450706,-0.004164
0.908372,-0.309698,-0.429232,-3.87851,0.171177,0.450498,-0.00634
0.909364,-0.312046,-0.428186,-3.63744,0.17117,0.450284,-0.009348
0.910363,-0.311907,-0.435951,-3.61435,0.170793,0.450083,-0.010181
0.911369,-0.303199,-0.448788,-3.73763,0.170393,0.450035,-0.009321
0.912364,-0.301143,-0.457734,-3.95392,0.170021,0.450049,-0.007788
0.913365,-0.299411,-0.459613,-4.15119,0.170019,0.450449,-0.006032
0.914365,-0.304131,-0.466525,-4.40124,0.169981,0.451092,-0.003466
0.915375,-0.297575,-0.454941,-4.43423,0.17055,0.451345,-0.002858
0.916378,-0.306237,-0.442998,-4.28174,0.171103,0.451676,-0.003378
0.917413,-0.301476,-0.446887,-4.07662,0.17155,0.451707,-0.004606
0.918391,-0.303974,-0.437581,-3.88166,0.172086,0.451604,-0.005837
0.919386,-0.31274,-0.43219,-3.6434,0.172106,0.45144,-0.007774
0.920374,-0.297777,-0.439677,-3.62203,0.171739,0.451137,-0.007965
0.92137,-0.289022,-0.444154,-3.7451,0.171398,0.451092,-0.007209
0.922372,-0.286542,-0.443316,-3.94963,0.170774,0.450722,-0.006083
0.923392,-0.291788,-0.457307,-4.15465,0.170362,0.450973,-0.004973
0.924377,-0.296803,-0.462239,-4.40157,0.170016,0.451043,-0.003358
0.925376,-0.296737,-0.454766,-4.42077,0.170069,0.451239,-0.003803
0.926364,-0.312309,-0.437454,-4.28654,0.170335,0.45124,-0.004864
0.927373,-0.313937,-0.438381,-4.08062,0.170638,0.451602,-0.006306
0.928366,-0.316065,-0.437036,-3.87548,0.170957,0.451397,-0.007419
0.929363,-0.311298,-0.440797,-3.64001,0.171403,0.451423,-0.008621
0.930363,-0.312256,-0.447157,-3.62105,0.171518,0.450947,-0.008175
0.931367,-0.311443,-0.446643,-3.75672,0.171529,0.450772,-0.006681
0.932363,-0.295383,-0.446597,-3.96383,0.17139,0.450596,-0.004924
0.933365,-0.293778,-0.45479,-4.15903,0.171022,0.450419,-0.003692
0.934362,-0.298832,-0.458699,-4.4048,0.170523,0.450201,-0.002392
0.935366,-0.305717,-0.454089,-4.41212,0.17023,0.450059,-0.003248
0.936364,-0.313346,-0.441768,-4.26529,0.170143,0.45019,-0.005047
0.937363,-0.315182,-0.433378,-4.05718,0.17035,0.450269,-0.007229
0.938366,-0.323504,-0.428868,-3.87035,0.170367,0.4503,-0.008891
0.939389,-0.318039,-0.424688,-3.64452,0.170709,0.450422,-0.010205
0.940378,-0.318113,-0.441546,-3.62669,0.17075,0.45051,-0.00934
0.941375,-0.302411,-0.442536,-3.7543,0.17092,0.450709,-0.007204
0.942384,-0.293711,-0.455401,-3.97336,0.170847,0.450677,-0.004821
0.943377,-0.299742,-0.461077,-4.16127,0.170974,0.451034,-0.002845
0.944376,-0.298034,-0.452942,-4.39846,0.170885,0.450965,-0.001219
0.945366,-0.291554,-0.44919,-4.40752,0.171076,0.451018,-0.001765
0.946365,-0.300338,-0.444184,-4.2603,0.171098,0.450866,-0.00378
0.947369,-0.315908,-0.426974,-4.06063,0.171038,0.450854,-0.006389
0.94837,-0.309658,-0.431109,-3.85191,0.17084,0.45087,-0.008569
0.949365,-0.318894,-0.434607,-3.65461,0.17096,0.450807,-0.01044
0.950365,-0.310467,-0.430973,-3.61312,0.170667,0.450934,-0.010615
0.951374,-0.30286,-0.452414,-3.74924,0.170689,0.45099,-0.009026
0.952366,-0.300937,-0.453467,-3.95828,0.170694,0.4512,-0.006634
0.953371,-0.299641,-0.454858,-4.14653,0.170856,0.451508,-0.004549
0.954365,-0.291101,-0.459822,-4.40696,0.171001,0.451583,-0.001989
0.955368,-0.298367,-0.456011,-4.41849,0.171185,0.451734,-0.001573
0.956376,-0.307114,-0.44215,-4.29406,0.171431,0.451495,-0.002748
0.957369,-0.308821,-0.44103,-4.08585,0.171427,0.451284,-0.004819
0.958378,-0.310769,-0.439218,-3.88775,0.171428,0.450884,-0.006896
0.959368,-0.311154,-0.429298,-3.63721,0.171002,0.450564,-0.009349
0.960411,-0.317688,-0.431762,-3.61493,0.170498,0.450126,-0.009747
0.961366,-0.308765,-0.444533,-3.73905,0.170098,0.450077,-0.008565
0.962365,-0.307407,-0.461419,-3.9457,0.169831,0.449996,-0.006921
0.963371,-0.312176,-0.466914,-4.15218,0.169479,0.450249,-0.005274
0.964369,-0.310475,-0.468162,-4.39073,0.169484,0.450465,-0.003229
0.965365,-0.311462,-0.460932,-4.42255,0.170018,0.450767,-0.00305
0.966366,-0.313885,-0.444546,-4.28921,0.170767,0.450963,-0.004122
0.967368,-0.316203,-0.444028,-4.0723,0.171079,0.450947,-0.005871
0.968371,-0.318723,-0.443842,-3.86662,0.17155,0.45103,-0.007312
0.969364,-0.321053,-0.433052,-3.62894,0.171773,0.450537,-0.00914
0.97038,-0.31294,-0.436329,-3.60869,0.171432,0.450284,-0.008902
0.971371,-0.304257,-0.448407,-3.74291,0.171039,0.450047,-0.007727
0.972367,-0.301521,-0.448526,-3.94943,0.170568,0.449964,-0.005965
0.973371,-0.291984,-0.461216,-4.15503,0.170014,0.449826,-0.004528
0.974364,-0.296495,-0.458411,-4.39248,0.169722,0.450086,-0.00269
0.975376,-0.303282,-0.456735,-4.4215,0.169731,0.450711,-0.003257
0.976373,-0.3049,-0.448799,-4.287,0.170099,0.450896,-0.004541
0.977365,-0.314024,-0.445718,-4.07969,0.170426,0.451312,-0.006516
0.978369,-0.316021,-0.438683,-3.88396,0.170945,0.451778,-0.008075
0.979368,-0.31147,-0.442511,-3.64766,0.17139,0.451805,-0.009598
0.980366,-0.305276,-0.445677,-3.62934,0.171693,0.451568,-0.009049
0.981365,-0.304248,-0.445095,-3.76585,0.171705,0.451392,-0.007234
0.982372,-0.294883,-0.448868,-3.96306,0.171374,0.451165,-0.005252
0.983372,-0.292147,-0.448986,-4.16957,0.170903,0.451081,-0.00349
0.984377,-0.297397,-0.453098,-4.39624,0.170562,0.450959,-0.001856
0.985374,-0.297418,-0.452963,-4.41451,0.170403,0.450864,-0.002511
0.986373,-0.298399,-0.445183,-4.27779,0.17045,0.451043,-0.004431
0.987376,-0.314063,-0.444695,-4.07855,0.170272,0.451025,-0.006831
0.988372,-0.3161,-0.436636,-3.88168,0.170638,0.451204,-0.008704
