Timestamp,X_obj,Y_obj
0.0131521,-0.0411619,0.00190507,-4.31753
0.0300059,-0.0411619,0.00190508,-4.31753
0.050098,-0.0411618,0.00190505,-4.31753
0.0700561,-0.0411617,0.00190502,-4.31753
0.0900242,-0.0411616,0.001905,-4.31753
0.11083,-0.0411615,0.00190498,-4.31753
0.13007,-0.0411614,0.00190496,-4.31753
0.150183,-0.0411613,0.00190494,-4.31753
0.170039,-0.0411612,0.00190492,-4.31753
0.190032,-0.0411612,0.00190491,-4.31753
0.210265,-0.0411722,0.00190405,-4.31753
0.230077,-0.0416809,0.00181955,-4.30571
0.250081,-0.0426623,0.0016803,-4.30453
0.270121,-0.0433274,0.00147115,-4.29877
0.290031,-0.0434894,0.00118511,-4.29363
0.310043,-0.0433928,0.000863701,-4.28901
0.330037,-0.0430869,0.000565284,-4.26143
0.350126,-0.043183,0.000201331,-4.28047
0.370137,-0.0430793,-0.000114279,-4.27649
0.390039,-0.0429704,-0.000443973,-4.27227
0.410034,-0.0428628,-0.000769875,-4.26797
0.43017,-0.0425508,-0.00100388,-4.23764
0.450102,-0.0426532,-0.001407,-4.25908
0.470066,-0.0425557,-0.00170191,-4.25471
0.490061,-0.0424534,-0.00200637,-4.25003
0.51009,-0.0423564,-0.00228965,-4.2455
0.530197,-0.0422542,-0.00258116,-4.2407
0.550085,-0.0421521,-0.00286563,-4.23586
0.570033,-0.0420499,-0.00314274,-4.23102
0.590217,-0.0419474,-0.00341194,-4.22619
0.610172,-0.0418549,-0.00364724,-4.22187
0.630132,-0.0417566,-0.00388792,-4.21736
0.650051,-0.0416526,-0.0041328,-4.21268
0.670047,-0.0413681,-0.00424783,-4.1856
0.690009,-0.0414474,-0.00458418,-4.20392
0.710065,-0.0413355,-0.00481208,-4.19944
0.730001,-0.0413964,-0.00513567,-4.21609
0.750278,-0.0412809,-0.00533426,-4.2115
0.770073,-0.0411636,-0.00552205,-4.20713
0.790089,-0.0410443,-0.00569881,-4.20302
0.810507,-0.040929,-0.00585629,-4.19936
0.830083,-0.0408055,-0.00601089,-4.19581
0.850041,-0.0405516,-0.00602459,-4.17633
0.870089,-0.0404372,-0.00614773,-4.17434
0.89008,-0.0402081,-0.00612718,-4.15795
0.910288,-0.0400974,-0.00622672,-4.15739
0.930088,-0.0400688,-0.00645997,-4.17039
0.950043,-0.0400265,-0.00667928,-4.18233
0.970344,-0.0398851,-0.0067493,-4.18152
0.990092,-0.0396787,-0.00666179,-4.17027
1.01016,-0.0394878,-0.00655919,-4.16099
1.03011,-0.0394085,-0.00673333,-4.17251
1.05009,-0.0392665,-0.00675077,-4.17439
1.07054,-0.0391199,-0.0067568,-4.17679
1.0906,-0.0389662,-0.00660767,-4.17206
1.11007,-0.0388741,-0.00688294,-4.18862
1.13011,-0.0387172,-0.00685427,-4.1915
1.15046,-0.038559,-0.00681267,-4.19485
1.17006,-0.0383996,-0.00675793,-4.19868
1.19007,-0.0382677,-0.0065438,-4.19962
1.21008,-0.0381163,-0.00646209,-4.20521
1.2301,-0.0379797,-0.00637684,-4.21064
1.25011,-0.0378272,-0.00626896,-4.21715
1.27021,-0.0376744,-0.00614734,-4.22409
1.29044,-0.037638,-0.00590053,-4.23024
1.31005,-0.0373675,-0.00609197,-4.23353
1.33046,-0.0373047,-0.00578604,-4.24308
