Timestamp,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.00758839,-5.93471e-05,13.2308,-0.623416,19.576,-0.0292515,0.0377934,-1.40438e-05
0.00781313,-5.56703e-05,13.2307,-0.623413,19.576,-0.0292499,0.0378011,-1.40194e-05
0.00867991,-7.03945e-05,13.2308,-0.623425,19.576,-0.0292566,0.0377696,-1.41194e-05
0.00972517,-7.03945e-05,13.2308,-0.623425,19.576,-0.0292566,0.0377696,-1.41194e-05
0.0105976,-6.1487e-05,13.2308,-0.623416,19.576,-0.0292516,0.0377927,-1.4464e-05
0.0125769,-6.30345e-05,13.2308,-0.623417,19.576,-0.0292533,0.0377848,-1.40698e-05
0.0129996,-6.14996e-05,13.2308,-0.623415,19.576,-0.0292516,0.0377925,-1.44662e-05
0.0139883,-6.30348e-05,13.2308,-0.623417,19.576,-0.0292533,0.0377844,-1.40698e-05
0.0146356,-6.14884e-05,13.2308,-0.623414,19.576,-0.0292517,0.0377921,-1.44643e-05
0.0157492,-6.3031e-05,13.2308,-0.623416,19.576,-0.0292534,0.0377841,-1.40692e-05
0.0170291,-6.14914e-05,13.2308,-0.623414,19.576,-0.0292517,0.0377918,-1.44648e-05
0.0179478,-5.93477e-05,13.2308,-0.623411,19.576,-0.0292518,0.0377915,-1.4044e-05
0.0188102,-6.14901e-05,13.2308,-0.623413,19.576,-0.0292518,0.0377915,-1.44646e-05
0.0199401,-6.30293e-05,13.2308,-0.623414,19.576,-0.0292535,0.0377835,-1.40689e-05
0.0208933,-6.14876e-05,13.2308,-0.623412,19.576,-0.0292518,0.0377912,-1.44642e-05
0.0220325,-5.93449e-05,13.2308,-0.62341,19.576,-0.0292519,0.0377909,-1.40435e-05
0.0231047,-6.14895e-05,13.2308,-0.623411,19.576,-0.0292518,0.0377909,-1.44645e-05
0.0314342,-7.98811e-05,13.2309,-0.623426,19.5761,-0.0292602,0.0377513,-1.45874e-05
0.0341521,-5.78039e-05,13.2308,-0.623405,19.576,-0.0292503,0.0377977,-1.4439e-05
0.0349707,-6.67124e-05,13.2308,-0.623413,19.576,-0.0292554,0.037774,-1.40945e-05
0.0361273,-7.25418e-05,13.2309,-0.623418,19.576,-0.029257,0.0377662,-1.45413e-05
0.0373728,-7.40807e-05,13.2309,-0.623419,19.5761,-0.0292587,0.0377582,-1.41456e-05
0.0387042,-6.51777e-05,13.2308,-0.62341,19.576,-0.0292537,0.0377813,-1.4491e-05
0.0387859,-5.78187e-05,13.2308,-0.623403,19.576,-0.0292504,0.0377968,-1.44415e-05
0.0405507,-5.93505e-05,13.2308,-0.623404,19.576,-0.0292522,0.0377888,-1.40445e-05
0.0414702,-6.5176e-05,13.2308,-0.623409,19.576,-0.0292538,0.037781,-1.44907e-05
0.0426738,-7.25191e-05,13.2309,-0.623415,19.576,-0.0292572,0.0377652,-1.45375e-05
0.0437523,-6.66969e-05,13.2309,-0.62341,19.576,-0.0292556,0.0377727,-1.40919e-05
0.0445318,-6.66969e-05,13.2309,-0.62341,19.576,-0.0292556,0.0377727,-1.40919e-05
0.0457419,-6.14879e-05,13.2308,-0.623404,19.576,-0.0292522,0.0377881,-1.44644e-05
0.0465753,-6.14879e-05,13.2308,-0.623404,19.576,-0.0292522,0.0377881,-1.44644e-05
0.0475595,-5.93475e-05,13.2308,-0.623402,19.576,-0.0292523,0.0377879,-1.4044e-05
0.0486952,-6.51732e-05,13.2308,-0.623407,19.576,-0.0292539,0.0377801,-1.44903e-05
0.0489731,-6.51732e-05,13.2308,-0.623407,19.576,-0.0292539,0.0377801,-1.44903e-05
0.0502006,-5.78141e-05,13.2308,-0.6234,19.576,-0.0292506,0.0377955,-1.44408e-05
0.0511332,-5.93476e-05,13.2308,-0.623401,19.576,-0.0292524,0.0377875,-1.40441e-05
0.0516862,-5.93476e-05,13.2308,-0.623401,19.576,-0.0292524,0.0377875,-1.40441e-05
0.0527534,-6.30203e-05,13.2308,-0.623404,19.576,-0.0292541,0.0377795,-1.40675e-05
0.0540067,-6.30203e-05,13.2308,-0.623404,19.576,-0.0292541,0.0377795,-1.40675e-05
0.0560915,-6.14852e-05,13.2308,-0.623402,19.576,-0.0292524,0.0377871,-1.4464e-05
0.0568819,-6.3022e-05,13.2308,-0.623403,19.576,-0.0292541,0.0377792,-1.40678e-05
0.0578127,-6.30211e-05,13.2308,-0.623402,19.576,-0.0292542,0.0377789,-1.40676e-05
0.0586579,-6.14865e-05,13.2308,-0.6234,19.576,-0.0292525,0.0377865,-1.44643e-05
0.0600838,-6.14865e-05,13.2308,-0.6234,19.576,-0.0292525,0.0377865,-1.44643e-05
0.0607214,-5.93387e-05,13.2308,-0.623398,19.576,-0.0292525,0.0377863,-1.40426e-05
0.063045,-6.30183e-05,13.2308,-0.6234,19.576,-0.0292542,0.0377782,-1.40671e-05
0.0636705,-6.14862e-05,13.2308,-0.623398,19.576,-0.0292526,0.0377859,-1.44642e-05
0.0647185,-5.93353e-05,13.2308,-0.623396,19.576,-0.0292526,0.0377856,-1.4042e-05
0.0657428,-6.38349e-05,13.2308,-0.623399,19.576,-0.0292543,0.0377777,-1.42263e-05
0.0669063,-5.95321e-05,13.2308,-0.623395,19.576,-0.0292527,0.0377852,-1.40823e-05
0.0678125,-5.58549e-05,13.2308,-0.623392,19.576,-0.0292511,0.0377929,-1.40578e-05
0.0691653,-5.58549e-05,13.2308,-0.623392,19.576,-0.0292511,0.0377929,-1.40578e-05
0.0695871,-6.88432e-05,13.2309,-0.623403,19.576,-0.029256,0.0377694,-1.45133e-05
0.070791,-5.93331e-05,13.2308,-0.623393,19.576,-0.0292528,0.0377845,-1.40417e-05
0.071802,-6.14855e-05,13.2308,-0.623395,19.576,-0.0292528,0.0377845,-1.44641e-05
0.0728801,-5.9344e-05,13.2308,-0.623392,19.576,-0.0292528,0.0377843,-1.40436e-05
0.0742575,-6.14863e-05,13.2308,-0.623394,19.576,-0.0292528,0.0377842,-1.44643e-05
0.0748701,-6.30196e-05,13.2309,-0.623395,19.576,-0.0292545,0.0377762,-1.40675e-05
0.0760006,-6.30196e-05,13.2309,-0.623395,19.576,-0.0292545,0.0377762,-1.40675e-05
0.0778105,-6.14813e-05,13.2308,-0.623393,19.576,-0.0292529,0.0377839,-1.44634e-05
0.0779781,-6.88418e-05,13.2309,-0.623399,19.576,-0.0292562,0.0377682,-1.45131e-05
0.0787985,-6.67001e-05,13.2309,-0.623397,19.576,-0.0292563,0.0377679,-1.40926e-05
0.0801034,-6.14838e-05,13.2308,-0.623392,19.576,-0.0292529,0.0377833,-1.44638e-05
0.0810784,-6.30256e-05,13.2309,-0.623393,19.576,-0.0292547,0.0377753,-1.40686e-05
0.0821205,-6.14874e-05,13.2308,-0.623391,19.576,-0.029253,0.037783,-1.44645e-05
0.0830517,-5.93408e-05,13.2308,-0.623388,19.576,-0.0292531,0.0377827,-1.40432e-05
0.083747,-6.51556e-05,13.2309,-0.623393,19.576,-0.0292547,0.0377749,-1.44874e-05
0.0848705,-5.93367e-05,13.2308,-0.623388,19.576,-0.0292531,0.0377824,-1.40425e-05
0.0856848,-6.66977e-05,13.2309,-0.623394,19.576,-0.0292565,0.0377667,-1.40923e-05
0.0877688,-5.5662e-05,13.2308,-0.623383,19.576,-0.0292515,0.0377898,-1.40184e-05
0.0882214,-6.14796e-05,13.2308,-0.623388,19.576,-0.0292531,0.0377821,-1.44631e-05
0.0887673,-6.14796e-05,13.2308,-0.623388,19.576,-0.0292531,0.0377821,-1.44631e-05
0.0901156,-6.14796e-05,13.2308,-0.623388,19.576,-0.0292531,0.0377821,-1.44631e-05
0.091192,-6.30238e-05,13.2309,-0.62339,19.576,-0.0292548,0.0377741,-1.40684e-05
0.0923004,-5.56648e-05,13.2308,-0.623383,19.576,-0.0292515,0.0377895,-1.40189e-05
0.0931073,-5.56648e-05,13.2308,-0.623383,19.576,-0.0292515,0.0377895,-1.40189e-05
0.0937018,-6.88347e-05,13.2309,-0.623394,19.576,-0.0292565,0.037766,-1.45119e-05
0.0953308,-5.77933e-05,13.2308,-0.623383,19.576,-0.0292516,0.0377891,-1.44374e-05
0.0961668,-6.67005e-05,13.2309,-0.623391,19.576,-0.0292566,0.0377654,-1.40928e-05
0.096773,-6.14845e-05,13.2309,-0.623385,19.576,-0.0292533,0.0377808,-1.4464e-05
0.0979594,-5.78022e-05,13.2308,-0.623382,19.576,-0.0292516,0.0377886,-1.4439e-05
0.0993465,-6.51519e-05,13.2309,-0.623388,19.576,-0.029255,0.0377728,-1.44869e-05
0.100833,-6.51519e-05,13.2309,-0.623388,19.576,-0.029255,0.0377728,-1.44869e-05
0.101724,-5.9334e-05,13.2309,-0.623382,19.576,-0.0292534,0.0377802,-1.40421e-05
0.101946,-5.9334e-05,13.2309,-0.623382,19.576,-0.0292534,0.0377802,-1.40421e-05
0.103783,-6.14738e-05,13.2309,-0.623383,19.576,-0.0292534,0.0377802,-1.44622e-05
0.105923,-6.14778e-05,13.2309,-0.623383,19.576,-0.0292534,0.0377799,-1.44629e-05
0.10703,-5.93339e-05,13.2309,-0.62338,19.576,-0.0292535,0.0377796,-1.40421e-05
0.107735,-6.51552e-05,13.2309,-0.623385,19.576,-0.0292551,0.0377719,-1.44875e-05
0.109739,-5.77962e-05,13.2308,-0.623378,19.576,-0.0292518,0.0377873,-1.4438e-05
0.109789,-6.51553e-05,13.2309,-0.623385,19.576,-0.0292552,0.0377716,-1.44875e-05
0.110828,-5.77963e-05,13.2308,-0.623378,19.576,-0.0292519,0.037787,-1.44381e-05
0.111709,-5.93362e-05,13.2309,-0.623379,19.576,-0.0292536,0.037779,-1.40425e-05
0.113028,-6.148e-05,13.2309,-0.62338,19.576,-0.0292536,0.037779,-1.44634e-05
0.114329,-6.30137e-05,13.2309,-0.623381,19.576,-0.0292553,0.037771,-1.40667e-05
0.115655,-6.51515e-05,13.2309,-0.623383,19.576,-0.0292553,0.0377709,-1.44869e-05
0.116445,-6.66897e-05,13.2309,-0.623384,19.576,-0.029257,0.0377629,-1.4091e-05
0.116935,-6.30153e-05,13.2309,-0.62338,19.576,-0.0292554,0.0377704,-1.4067e-05
0.117844,-6.30153e-05,13.2309,-0.62338,19.576,-0.0292554,0.0377704,-1.4067e-05
0.118676,-6.14795e-05,13.2309,-0.623378,19.576,-0.0292537,0.037778,-1.44633e-05
0.119709,-5.93345e-05,13.2309,-0.623376,19.576,-0.0292538,0.0377778,-1.40422e-05
0.1206,-5.56579e-05,13.2309,-0.623372,19.576,-0.0292521,0.0377855,-1.40178e-05
0.121676,-6.30135e-05,13.2309,-0.623378,19.576,-0.0292555,0.0377697,-1.40667e-05
0.122676,-6.30089e-05,13.2309,-0.623377,19.576,-0.0292555,0.0377694,-1.40659e-05
0.12379,-5.56499e-05,13.2309,-0.62337,19.576,-0.0292522,0.0377848,-1.40165e-05
0.124776,-5.56499e-05,13.2309,-0.62337,19.576,-0.0292522,0.0377848,-1.40165e-05
