Timestamp,X_hat,Y_hat
0.00783523,-0.038798,0.0012215,-0.820692
0.00873939,-0.038798,0.00122131,-0.820692
0.00979344,-0.038798,0.00122123,-0.820692
0.0108859,-0.038798,0.0012212,-0.820692
0.0118475,-0.038798,0.00122119,-0.820692
0.0127379,-0.0387979,0.0012219,-0.820692
0.0137834,-0.038798,0.00122146,-0.820692
0.0147079,-0.0387979,0.001222,-0.820692
0.0159931,-0.0387979,0.00122149,-0.820692
0.017272,-0.0387979,0.0012213,-0.820692
0.0180641,-0.0387979,0.00122194,-0.820692
0.019041,-0.0387979,0.00122147,-0.820692
0.0199905,-0.0387979,0.001222,-0.820692
0.0207733,-0.0387979,0.00122149,-0.820692
0.0221654,-0.0387979,0.00122201,-0.820692
0.0231176,-0.0387979,0.00122149,-0.820692
0.0245255,-0.0387979,0.00122201,-0.820692
0.0247876,-0.0387979,0.00122149,-0.820692
0.0258264,-0.0387979,0.00122201,-0.820692
0.0271374,-0.0387979,0.00122149,-0.820692
0.0281568,-0.0387979,0.00122201,-0.820692
0.0294175,-0.0387979,0.0012222,-0.820692
0.0314559,-0.0387979,0.00122132,-0.820692
0.032469,-0.0387979,0.00122123,-0.820692
0.0329282,-0.0387978,0.0012219,-0.820692
0.0348784,-0.0387978,0.00122226,-0.820692
0.0358037,-0.0387979,0.00122158,-0.820692
0.0373895,-0.0387979,0.00122204,-0.820692
0.038736,-0.0387986,0.0012217,-0.806126
0.0387963,-0.0387989,0.00122228,-0.800562
0.0405666,-0.038799,0.0012225,-0.798437
0.0415424,-0.038799,0.00122259,-0.797625
0.042733,-0.0387991,0.00122191,-0.797315
0.0431988,-0.0387991,0.00122165,-0.797197
0.0444889,-0.038799,0.00122226,-0.797151
0.0456527,-0.038799,0.00122178,-0.797134
0.0457655,-0.0387991,0.0012216,-0.797128
0.0473783,-0.038799,0.00122224,-0.797125
0.0478925,-0.038799,0.00122177,-0.797124
0.0492281,-0.0387991,0.00122159,-0.797124
0.0499838,-0.0387991,0.00122152,-0.797124
0.0509262,-0.038799,0.00122221,-0.797124
0.0520344,-0.0387991,0.00122176,-0.797124
0.052955,-0.0387991,0.00122159,-0.797124
0.053963,-0.038799,0.00122224,-0.797124
0.0563375,-0.038799,0.00122257,-0.797124
0.0567281,-0.038799,0.0012219,-0.797124
0.057914,-0.038799,0.00122235,-0.797124
0.0588336,-0.038799,0.00122181,-0.797124
0.0600959,-0.038799,0.00122232,-0.797124
0.0619318,-0.038799,0.00122251,-0.797124
0.0631129,-0.038799,0.00122258,-0.797124
0.064385,-0.038799,0.00122261,-0.797124
0.0649605,-0.038799,0.00122262,-0.797124
0.0657976,-0.038799,0.00122226,-0.797124
0.0667517,-0.038799,0.00122251,-0.797124
0.0678765,-0.038799,0.00122186,-0.797124
0.0687867,-0.038799,0.00122161,-0.797124
0.0698362,-0.038799,0.00122224,-0.797124
0.0709726,-0.038799,0.00122248,-0.797124
0.0718481,-0.038799,0.00122185,-0.797124
0.0731629,-0.038799,0.00122233,-0.797124
0.0740617,-0.038799,0.0012218,-0.797124
0.0751412,-0.038799,0.00122231,-0.797124
0.0759646,-0.038799,0.00122179,-0.797124
0.0767654,-0.038799,0.00122159,-0.797124
0.0778227,-0.038799,0.00122151,-0.797124
0.0790911,-0.038799,0.00122148,-0.797124
0.080294,-0.0387989,0.00122218,-0.797124
0.0810892,-0.0387989,0.00122245,-0.797124
0.0818717,-0.0387989,0.00122255,-0.797124
0.0829436,-0.038799,0.00122188,-0.797124
0.0839879,-0.0387989,0.00122233,-0.797124
0.0848797,-0.038799,0.00122179,-0.797124
0.0860182,-0.0387989,0.0012223,-0.797124
0.0874967,-0.0387989,0.00122249,-0.797124
0.088186,-0.0387989,0.00122256,-0.797124
0.0888194,-0.0387989,0.00122259,-0.797124
0.09033,-0.0387989,0.0012226,-0.797124
0.0915603,-0.0387989,0.00122261,-0.797124
0.0917864,-0.0387989,0.00122261,-0.797124
0.0931589,-0.0387989,0.00122261,-0.797124
0.0941178,-0.0387989,0.00122261,-0.797124
0.0954328,-0.0387989,0.00122261,-0.797124
0.096285,-0.0387989,0.00122261,-0.797124
0.0973171,-0.0387989,0.00122189,-0.797124
0.0980762,-0.0387989,0.00122233,-0.797124
0.0993787,-0.0387989,0.00122179,-0.797124
0.100853,-0.0387989,0.00122229,-0.797124
0.101226,-0.0387989,0.00122248,-0.797124
0.102366,-0.0387989,0.00122256,-0.797124
0.102941,-0.0387989,0.00122187,-0.797124
0.105122,-0.0387989,0.00122232,-0.797124
0.105992,-0.0387989,0.00122178,-0.797124
0.106294,-0.0387989,0.00122158,-0.797124
0.107374,-0.0387989,0.0012215,-0.797124
0.107931,-0.0387989,0.00122147,-0.797124
0.109195,-0.0387989,0.00122217,-0.797124
0.109895,-0.0387989,0.00122243,-0.797124
0.110842,-0.0387989,0.00122182,-0.797124
0.112022,-0.0387989,0.0012223,-0.797124
0.113502,-0.0387989,0.00122177,-0.797124
0.11436,-0.0387989,0.00122228,-0.797124
0.115679,-0.0387989,0.00122176,-0.797124
0.116106,-0.0387989,0.00122228,-0.797124
0.116945,-0.0387988,0.00122247,-0.797124
0.118088,-0.0387989,0.00122183,-0.797124
0.119414,-0.0387988,0.0012223,-0.797124
0.119861,-0.0387989,0.00122177,-0.797124
0.120852,-0.0387988,0.00122228,-0.797124
0.121961,-0.0387989,0.00122176,-0.797124
0.122777,-0.0387988,0.00122227,-0.797124
0.12385,-0.0387988,0.00122175,-0.797124
0.124854,-0.0387988,0.00122227,-0.797124
0.126141,-0.0387988,0.00122247,-0.797124
0.127013,-0.0387988,0.00122254,-0.797124
0.127925,-0.0387988,0.00122185,-0.797124
0.129002,-0.0387988,0.00122159,-0.797124
0.129825,-0.0387988,0.00122149,-0.797124
0.130778,-0.0387988,0.00122217,-0.797124
0.131982,-0.0387988,0.00122243,-0.797124
0.132956,-0.0387988,0.00122252,-0.797124
0.133903,-0.0387988,0.00122185,-0.797124
0.134848,-0.0387989,0.00122159,-0.797124
0.135803,-0.0387988,0.00122149,-0.797124
0.136795,-0.0387988,0.00122216,-0.797124
0.13783,-0.0387988,0.00122242,-0.797124
0.138903,-0.0387988,0.00122252,-0.797124
0.140315,-0.0387988,0.00122219,-0.797124
0.140853,-0.0387988,0.00122245,-0.797124
0.1419,-0.0387988,0.00122255,-0.797124
0.142955,-0.0387988,0.00122185,-0.797124
0.143842,-0.0387988,0.00122159,-0.797124
0.144785,-0.0387988,0.0012222,-0.797124
0.145972,-0.0387988,0.00122243,-0.797124
0.14683,-0.0387988,0.00122252,-0.797124
0.147946,-0.0387988,0.00122184,-0.797124
0.148928,-0.0387988,0.00122229,-0.797124
0.149853,-0.0387988,0.00122175,-0.797124
0.150972,-0.0387988,0.00122226,-0.797124
0.152098,-0.0387988,0.00122174,-0.797124
0.153085,-0.0387987,0.00122225,-0.797124
0.154041,-0.0387987,0.00122245,-0.797124
0.155505,-0.0387988,0.00122181,-0.797124
0.155932,-0.0387988,0.00122157,-0.797124
0.157238,-0.0387987,0.00122218,-0.797124
0.158191,-0.0387988,0.00122171,-0.797124
0.159374,-0.0387987,0.00122224,-0.797124
0.159872,-0.0387988,0.00122173,-0.797124
0.161317,-0.0387987,0.00122224,-0.797124
0.162246,-0.0387987,0.00122173,-0.797124
0.162997,-0.0387988,0.00122153,-0.797124
0.164193,-0.0387987,0.00122217,-0.797124
0.164958,-0.0387987,0.00122241,-0.797124
0.165856,-0.0387987,0.00122179,-0.797124
0.166818,-0.0387987,0.00122227,-0.797124
0.168028,-0.0387987,0.00122174,-0.797124
0.168983,-0.0387987,0.00122224,-0.797124
0.170157,-0.0387987,0.00122173,-0.797124
0.170987,-0.0387987,0.00122224,-0.797124
0.171807,-0.0387987,0.00122172,-0.797124
0.17326,-0.0387987,0.00122224,-0.797124
0.174056,-0.0387987,0.00122172,-0.797124
0.174863,-0.0387987,0.00122224,-0.797124
0.176,-0.0387987,0.00122172,-0.797124
0.177359,-0.0387987,0.00122224,-0.797124
0.177793,-0.0387981,0.00122151,-0.811463
0.17921,-0.0387979,0.00122123,-0.816941
0.180669,-0.0387978,0.00122184,-0.819033
0.181031,-0.0387977,0.00122136,-0.819832
0.182525,-0.0387977,0.00122118,-0.820137
0.18326,-0.0387977,0.00122111,-0.820254
0.183872,-0.0387977,0.00122179,-0.820298
0.184886,-0.0387977,0.00122134,-0.820316
0.185848,-0.0387977,0.00122117,-0.820322
0.186839,-0.0387977,0.00122181,-0.820324
0.187805,-0.0387977,0.00122135,-0.820325
0.188885,-0.0387977,0.00122188,-0.820326
0.189721,-0.0387977,0.00122137,-0.820326
0.190776,-0.0387977,0.00122189,-0.820326
0.191825,-0.0387977,0.00122137,-0.820326
0.193134,-0.0387977,0.00122189,-0.820326
0.194085,-0.0387977,0.00122137,-0.820326
0.194723,-0.0387976,0.00122189,-0.820326
0.195798,-0.0387977,0.00122137,-0.820326
0.196753,-0.0387976,0.00122189,-0.820326
0.197803,-0.0387977,0.00122137,-0.820326
0.198805,-0.0387976,0.00122188,-0.820326
0.199821,-0.0387977,0.00122137,-0.820326
0.200838,-0.0387976,0.00122188,-0.820326
0.201919,-0.0387977,0.00122137,-0.820326
0.202915,-0.0387976,0.00122188,-0.820326
0.20377,-0.0387976,0.00122208,-0.820326
0.204803,-0.0387976,0.00122144,-0.820326
0.205789,-0.0387976,0.00122191,-0.820326
0.206791,-0.0387976,0.00122137,-0.820326
0.207874,-0.0387976,0.00122188,-0.820326
0.209117,-0.0387976,0.00122136,-0.820326
0.209941,-0.0387976,0.00122116,-0.820326
0.210938,-0.0387976,0.00122182,-0.820326
0.211812,-0.0387976,0.00122133,-0.820326
0.212932,-0.0387976,0.00122187,-0.820326
0.213887,-0.0387976,0.00122136,-0.820326
0.214853,-0.0387976,0.00122187,-0.820326
0.215797,-0.0387976,0.00122136,-0.820326
0.217464,-0.0387976,0.00122187,-0.820326
0.21781,-0.0387975,0.00122136,-0.820542
0.218819,-0.0387974,0.00122188,-0.820625
0.219817,-0.0387974,0.00122137,-0.820656
0.220949,-0.0387974,0.00122188,-0.820668
0.222132,-0.0387974,0.00122137,-0.820673
0.22275,-0.0387974,0.00122188,-0.820674
0.224055,-0.0387974,0.00122137,-0.820675
0.224921,-0.0387974,0.00122188,-0.820675
0.225778,-0.0387974,0.00122137,-0.820675
0.22676,-0.0387974,0.00122188,-0.820675
0.227837,-0.0387974,0.00122137,-0.820675
0.228829,-0.0387974,0.00122188,-0.820675
0.229783,-0.0387974,0.00122136,-0.820675
0.230822,-0.0387974,0.00122188,-0.820675
0.231829,-0.0387974,0.00122136,-0.820675
0.232886,-0.0387974,0.00122188,-0.820675
0.233752,-0.0387974,0.00122136,-0.820675
0.234911,-0.0387973,0.00122187,-0.820675
0.235831,-0.0387974,0.00122136,-0.820675
0.237137,-0.0387973,0.00122187,-0.820675
0.237828,-0.0387974,0.00122136,-0.820675
0.238782,-0.0387973,0.00122187,-0.820675
0.239777,-0.0387974,0.00122136,-0.820675
0.240781,-0.0387973,0.00122187,-0.820675
0.241803,-0.0387974,0.00122136,-0.820675
0.243038,-0.0387973,0.00122187,-0.820675
0.244027,-0.0387974,0.00122135,-0.820675
0.244792,-0.0387973,0.00122187,-0.820675
0.245872,-0.0387973,0.00122135,-0.820675
0.246832,-0.0387973,0.00122187,-0.820675
0.247814,-0.0387973,0.00122135,-0.820675
