Timestamp,X_obj,Y_obj
0.0133627,-0.0429691,0.000216272,-4.22819
0.0332693,-0.0430635,-0.000142592,-4.24628
0.0533353,-0.0427425,-0.000392337,-4.21852
0.0732794,-0.0430579,-0.000817307,-4.26219
0.0937957,-0.0429486,-0.00112813,-4.25822
0.113353,-0.0426302,-0.00135035,-4.22968
0.133292,-0.0427353,-0.00171764,-4.24998
0.153271,-0.0424188,-0.00191723,-4.22122
0.173288,-0.0423208,-0.00217059,-4.21724
0.193304,-0.0424197,-0.00253492,-4.23707
0.213269,-0.0421071,-0.00270081,-4.20852
0.233373,-0.041997,-0.00296236,-4.20406
0.253296,-0.0418865,-0.00321664,-4.19964
0.273259,-0.0415858,-0.00334577,-4.17246
0.293284,-0.0416701,-0.00369005,-4.19124
0.313285,-0.0413768,-0.00379751,-4.16514
0.333226,-0.0414512,-0.00413133,-4.18319
0.353286,-0.0413377,-0.0043444,-4.17926
0.373296,-0.0413886,-0.00467782,-4.19575
0.393288,-0.0411076,-0.00474225,-4.1719
0.413262,-0.0409908,-0.0049265,-4.16853
0.433249,-0.0408786,-0.00509214,-4.16554
0.453382,-0.0407591,-0.00525632,-4.16264
0.473263,-0.040638,-0.00540979,-4.16002
0.493322,-0.0405214,-0.00554556,-4.15781
0.513314,-0.0405143,-0.0058179,-4.17158
0.533268,-0.0402708,-0.00579837,-4.15412
0.553264,-0.0401426,-0.00590756,-4.15281
0.573267,-0.0399198,-0.00586165,-4.13812
0.593256,-0.0398868,-0.006087,-4.15135
0.613246,-0.0396777,-0.00601594,-4.13878
0.633286,-0.0396236,-0.00622066,-4.15142
0.653831,-0.0395494,-0.00641608,-4.1631
0.673263,-0.0393997,-0.00645553,-4.16351
0.693231,-0.039203,-0.00633453,-4.15485
0.71332,-0.0390577,-0.00634827,-4.1569
0.733261,-0.0389167,-0.00635126,-4.15927
0.753253,-0.0387697,-0.00634231,-4.16216
0.77326,-0.0386233,-0.00632076,-4.16549
0.793258,-0.0384764,-0.00628673,-4.16926
0.813256,-0.0383191,-0.00638995,-4.17855
0.833271,-0.0381878,-0.00618376,-4.17788
0.853261,-0.0380386,-0.00611194,-4.18297
0.873291,-0.0379369,-0.00587947,-4.18547
0.893258,-0.0377974,-0.00578195,-4.1922
0.913497,-0.0375965,-0.0058248,-4.20042
0.933343,-0.037447,-0.00570213,-4.20711
0.953262,-0.0372983,-0.00556664,-4.21416
0.973278,-0.0371509,-0.00541847,-4.22154
0.993242,-0.037005,-0.0052577,-4.22921
1.01326,-0.0368828,-0.00511126,-4.23592
1.03335,-0.0367494,-0.00493556,-4.24366
1.05331,-0.0364717,-0.00487923,-4.24717
1.07327,-0.0364765,-0.00452716,-4.26027
1.09345,-0.0361947,-0.00445638,-4.26181
1.11439,-0.0363988,-0.00396017,-4.28402
1.13342,-0.036303,-0.0037572,-4.29226
1.15362,-0.0360138,-0.00363971,-4.2925
1.17328,-0.035904,-0.00337708,-4.30105
1.19345,-0.0359982,-0.00298095,-4.32123
1.21333,-0.0357046,-0.00282164,-4.31765
1.23328,-0.0354046,-0.00264356,-4.31145
1.25342,-0.0355323,-0.00221276,-4.33405
1.27327,-0.0354602,-0.00190082,-4.342
1.29333,-0.0356261,-0.00148043,-4.36823
1.31325,-0.0353431,-0.00125324,-4.35579
1.33329,-0.0353019,-0.000935725,-4.36151
1.35326,-0.0350266,-0.000676839,-4.34441
1.37325,-0.0352477,-0.00024933,-4.37183
1.39326,-0.0352379,8.36888e-05,-4.37583
1.41326,-0.0349887,0.000375524,-4.35368
1.43324,-0.0352519,0.000804926,-4.38227
1.45325,-0.0352748,0.0011548,-4.38435
1.47319,-0.0353088,0.00150464,-4.38572
1.49334,-0.0353514,0.00183703,-4.38641
1.51325,-0.0351458,0.00209167,-4.35693
1.5333,-0.0354528,0.00243018,-4.38614
1.55339,-0.0355194,0.00274308,-4.38526
1.57323,-0.035603,0.00308937,-4.38364
1.59333,-0.0356957,0.00343274,-4.38133
1.61338,-0.0357758,0.00370448,-4.37901
1.63327,-0.0358777,0.00402292,-4.37582
1.65325,-0.0359744,0.00430395,-4.37256
1.67327,-0.0363054,0.00459346,-4.40124
1.69324,-0.0360111,0.00497652,-4.33072
1.71399,-0.0365116,0.00513308,-4.39272
1.73345,-0.0364423,0.00547321,-4.35456
1.75323,-0.0363888,0.00580763,-4.31649
1.77324,-0.0366943,0.00601856,-4.34379
1.79327,-0.0368326,0.00630095,-4.33763
1.81326,-0.0369712,0.00657441,-4.33132
1.83325,-0.0372384,0.00674459,-4.35673
1.85329,-0.0372394,0.00708079,-4.31868
1.8732,-0.0374727,0.00720764,-4.34349
1.89326,-0.0374948,0.00753956,-4.30623
1.91325,-0.0376257,0.00776729,-4.29972
1.93329,-0.0377495,0.0079866,-4.29337
1.95333,-0.0378644,0.00819708,-4.28712
1.97332,-0.0379376,0.00853433,-4.2525
1.99324,-0.0380567,0.00873182,-4.24705
2.01327,-0.0381814,0.00877378,-4.26895
2.03329,-0.0382739,0.00864588,-4.31639
2.05325,-0.0383746,0.00911347,-4.2575
2.07318,-0.0384329,0.00910238,-4.27755
2.09323,-0.0385513,0.00941145,-4.24693
2.11323,-0.038691,0.00972023,-4.21794
2.13324,-0.0387236,0.00968536,-4.23678
2.15328,-0.0388053,0.00981019,-4.23195
2.17317,-0.0388002,0.0097497,-4.2489
2.19327,-0.0389591,0.0100307,-4.22304
2.21326,-0.039034,0.0101325,-4.21877
2.23326,-0.0392193,0.0104119,-4.19549
2.25325,-0.0390516,0.0101266,-4.22919
2.27333,-0.039242,0.010393,-4.20712
2.29329,-0.0391659,0.0102706,-4.2205
2.31323,-0.0395164,0.010715,-4.18489
2.33325,-0.0394361,0.0105807,-4.19761
2.35337,-0.039504,0.0106311,-4.19475
2.37322,-0.0395731,0.0106745,-4.1921
2.39366,-0.0396399,0.0107092,-4.18978
2.41332,-0.0397122,0.0107387,-4.18757
2.43327,-0.0399624,0.0109559,-4.17512
2.45325,-0.0398644,0.0107775,-4.1838
2.47321,-0.0401258,0.0109812,-4.17347
2.49337,-0.0400246,0.0107895,-4.18098
2.51329,-0.0401119,0.0107859,-4.17987
2.53325,-0.0400141,0.010583,-4.18551
2.55323,-0.040299,0.0107599,-4.17832
2.57328,-0.040399,0.0107377,-4.17788
2.59378,-0.0405037,0.0107095,-4.17766
2.61337,-0.0406132,0.0106755,-4.17766
2.63325,-0.0407277,0.0106357,-4.17788
2.65326,-0.0410184,0.0107811,-4.17551
2.67338,-0.0407777,0.0103602,-4.18117
2.69329,-0.0412597,0.0106749,-4.17788
2.71325,-0.0413837,0.0106157,-4.17928
2.73325,-0.0413543,0.0103644,-4.18202
2.7532,-0.0414908,0.0102965,-4.18343
2.77324,-0.0416393,0.0102203,-4.18511
2.79323,-0.0417924,0.0101393,-4.187
2.81323,-0.0419419,0.010058,-4.18897
2.83321,-0.0422445,0.0101444,-4.19145
2.85325,-0.0422602,0.00987804,-4.19359
2.87325,-0.0424035,0.00979423,-4.19583
2.89323,-0.0425571,0.00970381,-4.19832
2.91323,-0.0427308,0.00960414,-4.20117
2.93329,-0.0429072,0.00950259,-4.20413
2.95322,-0.043086,0.00939792,-4.20724
2.9732,-0.0433693,0.00945251,-4.21144
2.99323,-0.0435451,0.00933826,-4.21494
3.01323,-0.0436226,0.00906754,-4.21736
3.03327,-0.0438067,0.00894806,-4.22111
3.05333,-0.0439913,0.00882483,-4.22502
3.07323,-0.0440131,0.00840823,-4.22636
3.09318,-0.0444262,0.00871599,-4.23442
3.1132,-0.044604,0.00857914,-4.23875
3.13322,-0.0447175,0.00830274,-4.24172
3.15329,-0.0448988,0.00816169,-4.24622
3.17325,-0.0450264,0.00788789,-4.24922
3.19324,-0.0452472,0.0078767,-4.25525
3.21339,-0.0454224,0.00772545,-4.25998
3.23326,-0.0456227,0.00769731,-4.26635
3.25362,-0.0457562,0.0074211,-4.26932
3.27361,-0.0459146,0.00726834,-4.2739
3.2932,-0.0460859,0.00709636,-4.27896
3.3132,-0.0462453,0.00692955,-4.28375
3.33328,-0.046393,0.0067683,-4.28827
3.35322,-0.0465445,0.00659564,-4.29298
3.37323,-0.0466985,0.00650814,-4.30051
3.39322,-0.0468344,0.00624124,-4.30223
3.41322,-0.0469724,0.00606002,-4.30672
3.43324,-0.0471054,0.00587626,-4.31109
3.45324,-0.0472377,0.00562119,-4.31163
3.47337,-0.0473321,0.00553988,-4.31856
3.49322,-0.0474388,0.00536867,-4.32203
3.51323,-0.0475463,0.00518554,-4.3255
3.53348,-0.0476537,0.00499021,-4.32894
3.55322,-0.0477505,0.00480251,-4.33199
3.57321,-0.0478468,0.00460281,-4.33497
3.5932,-0.0479375,0.0044008,-4.33771
3.61332,-0.0480072,0.00422849,-4.34691
3.63359,-0.0480974,0.00400217,-4.34233
3.65323,-0.0481704,0.00379565,-4.34427
3.67322,-0.0482365,0.00358744,-4.34589
3.69322,-0.0482941,0.00338857,-4.34712
3.7132,-0.048349,0.003178,-4.34809
3.73321,-0.048398,0.00296638,-4.34873
3.75322,-0.0484413,0.00275384,-4.34903
