Timestamp,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.00437323,-2.11969e-05,14.2981,-0.573758,19.5962,-0.0161752,0.0192877,-3.03329e-05
0.00514086,-1.53963e-05,14.298,-0.573752,19.5961,-0.016172,0.0193036,-3.02399e-05
0.00575343,-2.11967e-05,14.2981,-0.573757,19.5962,-0.0161752,0.0192874,-3.03328e-05
0.00662005,-1.90817e-05,14.2981,-0.573755,19.5962,-0.0161753,0.0192871,-2.99169e-05
0.00769031,-1.82932e-05,14.298,-0.573754,19.5962,-0.0161737,0.019295,-3.02859e-05
0.00869256,-1.53958e-05,14.298,-0.573751,19.5961,-0.0161721,0.019303,-3.02398e-05
0.00962747,-1.82932e-05,14.298,-0.573753,19.5962,-0.0161737,0.0192947,-3.0286e-05
0.0107057,-1.90812e-05,14.2981,-0.573753,19.5962,-0.0161754,0.0192865,-2.99169e-05
0.0117276,-1.82891e-05,14.298,-0.573752,19.5962,-0.0161738,0.0192944,-3.02853e-05
0.0127593,-1.53917e-05,14.298,-0.573749,19.5961,-0.0161722,0.0193023,-3.02392e-05
0.0136753,-1.82915e-05,14.298,-0.573751,19.5962,-0.0161738,0.0192941,-3.02857e-05
0.0146604,-1.82915e-05,14.298,-0.573751,19.5962,-0.0161738,0.0192941,-3.02857e-05
0.0156535,-1.3281e-05,14.298,-0.573746,19.5961,-0.0161723,0.0193017,-2.9824e-05
0.01682,-1.82878e-05,14.298,-0.573751,19.5962,-0.0161739,0.0192937,-3.02851e-05
0.0177069,-1.61856e-05,14.298,-0.573748,19.5962,-0.0161739,0.0192935,-2.9871e-05
0.0186518,-1.03852e-05,14.298,-0.573743,19.5961,-0.0161707,0.0193094,-2.97781e-05
0.0196629,-1.53894e-05,14.298,-0.573747,19.5961,-0.0161723,0.0193014,-3.02389e-05
0.0207223,-1.53894e-05,14.298,-0.573747,19.5961,-0.0161723,0.0193014,-3.02389e-05
0.0216187,-1.32816e-05,14.298,-0.573745,19.5961,-0.0161724,0.0193011,-2.98241e-05
0.02268,-1.32816e-05,14.298,-0.573745,19.5961,-0.0161724,0.0193011,-2.98241e-05
0.0236625,-1.53883e-05,14.298,-0.573746,19.5961,-0.0161724,0.019301,-3.02387e-05
0.0246776,-1.61824e-05,14.298,-0.573747,19.5962,-0.016174,0.0192928,-2.98706e-05
0.0257744,-1.82838e-05,14.298,-0.573748,19.5962,-0.016174,0.0192928,-3.02845e-05
0.0266537,-1.61842e-05,14.298,-0.573746,19.5962,-0.016174,0.0192925,-2.98709e-05
0.0277301,-1.82872e-05,14.298,-0.573747,19.5962,-0.016174,0.0192925,-3.0285e-05
0.0286225,-1.53898e-05,14.298,-0.573745,19.5961,-0.0161724,0.0193004,-3.02389e-05
0.0296463,-1.82871e-05,14.2981,-0.573747,19.5962,-0.0161741,0.0192922,-3.0285e-05
0.0306446,-1.90804e-05,14.2981,-0.573747,19.5962,-0.0161757,0.0192839,-2.99169e-05
0.0318307,-1.328e-05,14.298,-0.573742,19.5961,-0.0161725,0.0192998,-2.9824e-05
0.0326049,-1.53878e-05,14.298,-0.573743,19.5961,-0.0161725,0.0192998,-3.02386e-05
0.0336413,-1.61873e-05,14.2981,-0.573744,19.5962,-0.0161742,0.0192916,-2.98714e-05
0.0346675,-1.32843e-05,14.298,-0.573741,19.5961,-0.0161726,0.0192995,-2.98246e-05
0.035695,-1.61811e-05,14.2981,-0.573743,19.5962,-0.0161742,0.0192912,-2.98705e-05
0.0366253,-2.11876e-05,14.2981,-0.573747,19.5962,-0.0161758,0.0192833,-3.03315e-05
0.0376335,-1.61819e-05,14.2981,-0.573742,19.5962,-0.0161743,0.0192909,-2.98706e-05
0.0386475,-1.8282e-05,14.2981,-0.573744,19.5962,-0.0161743,0.0192909,-3.02843e-05
0.0396158,-1.61842e-05,14.2981,-0.573741,19.5962,-0.0161743,0.0192906,-2.98709e-05
0.0406064,-1.82872e-05,14.2981,-0.573743,19.5962,-0.0161743,0.0192906,-3.02851e-05
0.0417061,-1.61839e-05,14.2981,-0.573741,19.5962,-0.0161743,0.0192903,-2.98709e-05
0.042672,-1.82857e-05,14.2981,-0.573742,19.5962,-0.0161743,0.0192903,-3.02849e-05
0.0436487,-1.53882e-05,14.298,-0.573739,19.5961,-0.0161727,0.0192982,-3.02387e-05
0.0446181,-1.82854e-05,14.2981,-0.573741,19.5962,-0.0161744,0.0192899,-3.02849e-05
0.0456389,-1.32798e-05,14.298,-0.573736,19.5961,-0.0161728,0.0192976,-2.9824e-05
0.0466473,-1.82826e-05,14.2981,-0.573741,19.5962,-0.0161744,0.0192896,-3.02845e-05
0.0475972,-1.53851e-05,14.298,-0.573738,19.5961,-0.0161728,0.0192975,-3.02383e-05
0.0487626,-1.82829e-05,14.2981,-0.57374,19.5962,-0.0161745,0.0192893,-3.02845e-05
0.0496701,-1.82829e-05,14.2981,-0.57374,19.5962,-0.0161745,0.0192893,-3.02845e-05
0.0506366,-1.32766e-05,14.298,-0.573735,19.5961,-0.0161729,0.019297,-2.98235e-05
0.0516222,-1.82831e-05,14.2981,-0.573739,19.5962,-0.0161745,0.019289,-3.02845e-05
0.0526545,-1.61814e-05,14.2981,-0.573737,19.5962,-0.0161745,0.0192887,-2.98706e-05
