Timestamp,X_obj,Y_obj
0.018328,-0.0357286,0.00187115,-1.59688
0.0383101,-0.0357286,0.00187115,-1.59688
0.0583119,-0.0357286,0.00187115,-1.59688
0.078416,-0.0357286,0.00187115,-1.59688
0.0985188,-0.0357286,0.00187115,-1.59688
0.118325,-0.0357286,0.00187115,-1.59688
0.138498,-0.0357286,0.00187115,-1.59688
0.158314,-0.0357287,0.00187111,-1.59812
0.17846,-0.0357287,0.00187111,-1.59812
0.198302,-0.0357287,0.00187111,-1.59812
0.218304,-0.0357286,0.00187114,-1.59718
0.23839,-0.0357286,0.00187114,-1.59718
0.258293,-0.0357286,0.00187114,-1.59718
0.278421,-0.0357286,0.00187114,-1.59718
0.298356,-0.0357286,0.00187115,-1.59688
0.318315,-0.0357286,0.00187115,-1.59688
0.338435,-0.0357286,0.00187115,-1.59688
0.358333,-0.0357286,0.00187115,-1.5968
0.3785,-0.0357286,0.00187115,-1.5968
0.398307,-0.0357286,0.00187115,-1.5968
0.418317,-0.0357286,0.00187114,-1.59703
0.438334,-0.0357286,0.00187114,-1.59703
0.458347,-0.0357286,0.00187114,-1.59703
0.478328,-0.0357286,0.00187114,-1.59703
0.498414,-0.0357287,0.00187112,-1.5977
0.518365,-0.0357287,0.00187112,-1.5977
0.538786,-0.0357287,0.00187112,-1.5977
0.55835,-0.0357286,0.00187114,-1.59703
0.578396,-0.0357286,0.00187114,-1.59703
0.598353,-0.0357286,0.00187114,-1.59703
0.618383,-0.0358246,0.00187397,-1.59876
0.638654,-0.0358246,0.00187397,-1.59876
0.658503,-0.0358246,0.00187397,-1.59876
0.678292,-0.0358289,0.0018734,-1.6047
0.698303,-0.0358289,0.0018734,-1.6047
0.718353,-0.0358289,0.0018734,-1.6047
0.738567,-0.0358289,0.0018734,-1.6047
0.758275,-0.0358174,0.00187418,-1.59466
0.778416,-0.0358174,0.00187418,-1.59466
0.798362,-0.0358174,0.00187418,-1.59466
0.818289,-0.0358213,0.00187455,-1.58966
0.83833,-0.0358213,0.00187455,-1.58966
0.858347,-0.0358213,0.00187455,-1.58966
0.878483,-0.0358235,0.00187326,-1.60181
0.898326,-0.0358235,0.00187326,-1.60181
0.918317,-0.0358235,0.00187326,-1.60181
0.938282,-0.0358251,0.00187441,-1.59974
0.958289,-0.0358251,0.00187441,-1.59974
0.978286,-0.0358251,0.00187441,-1.59974
0.998301,-0.0358251,0.00187441,-1.59974
1.01836,-0.0358247,0.00187385,-1.60185
1.03828,-0.0358247,0.00187385,-1.60185
1.05829,-0.0358247,0.00187385,-1.60185
1.07829,-0.0358206,0.00187407,-1.58857
1.09827,-0.0358206,0.00187407,-1.58857
1.11829,-0.0358206,0.00187407,-1.58857
1.1383,-0.0358206,0.00187407,-1.58857
