Timestamp,X_hat,Y_hat
0.00807126,-0.0686289,0.0131647,0
0.00849419,-0.0683082,0.0130765,0
0.00918351,-0.0680218,0.0129953,0
0.0101605,-0.0677558,0.0129148,0
0.0111661,-0.0674998,0.0128397,0
0.01217,-0.067252,0.0127642,0
0.0131759,-0.0670097,0.0126934,0
0.0142121,-0.0667739,0.012622,0
0.0151984,-0.0665428,0.012555,0
0.0161663,-0.0663178,0.0124874,0
0.0171852,-0.0660973,0.0124241,0
0.0181657,-0.0658826,0.0123601,0
0.0191672,-0.0656579,0.0123146,0
0.0201809,-0.0654437,0.0122604,0
0.0211928,-0.0652382,0.0122053,0
0.0221825,-0.0650402,0.012147,0
0.0231474,-0.064847,0.0120922,0
0.0241738,-0.0646594,0.0120363,0
0.0251818,-0.064476,0.0119845,0
0.0261881,-0.0642978,0.0119318,0
0.0272162,-0.0641234,0.0118831,0
0.0281777,-0.063954,0.0118334,0
0.0291791,-0.0637881,0.0117876,0
0.0301464,-0.063627,0.0117408,0
0.0315641,-0.0634691,0.0116977,0
0.0324313,-0.0633022,0.0116671,0
0.0333835,-0.0631431,0.0116329,0
0.0341837,-0.0629928,0.0115926,0
0.0351527,-0.0628473,0.0115537,0
0.0361538,-0.0627068,0.011513,0
0.0371678,-0.0625694,0.0114758,0
0.0381922,-0.0624362,0.0114373,0
0.039161,-0.0624057,0.0114169,0
0.0401901,-0.0622221,0.0113706,0
0.0410977,-0.0620712,0.0113353,0
0.0422797,-0.0619394,0.0113001,0
0.0431741,-0.0618173,0.0112688,0
0.0441922,-0.0617014,0.0112365,0
0.0451787,-0.0615755,0.0112205,0
0.0461487,-0.0614581,0.0111963,0
0.047238,-0.0613472,0.0111705,0
0.0481652,-0.0612414,0.0111413,0
0.0491794,-0.0611383,0.0111146,0
0.0502557,-0.0610386,0.0110864,0
0.0514329,-0.060941,0.0110612,0
0.0526747,-0.0608465,0.0110346,0
0.0536883,-0.0607538,0.0110111,0
0.0541698,-0.060664,0.0109861,0
0.055172,-0.0606504,0.0109718,0
0.0561949,-0.0605227,0.0109425,0
0.0571471,-0.0604908,0.0109282,0
0.0581847,-0.0603472,0.0109131,0
0.0591968,-0.0602366,0.0108989,0
0.0601657,-0.0602158,0.0108852,0
0.0611807,-0.0600944,0.0108613,0
0.0622932,-0.060048,0.0108522,0
0.0631663,-0.0599353,0.0108261,0
0.0642542,-0.0598494,0.0108031,0
0.0651725,-0.059774,0.0107848,0
0.066178,-0.0597452,0.0107778,0
0.0671804,-0.0596049,0.0107377,0
0.0682013,-0.0595031,0.0107244,0
0.0691939,-0.0594642,0.0107193,0
0.0701957,-0.0594194,0.0107158,0
0.071176,-0.0593666,0.0107064,0
0.0721602,-0.0592675,0.0106763,0
0.0731519,-0.0592376,0.0106724,0
0.0741675,-0.0591517,0.0106461,0
0.0751775,-0.059127,0.0106438,0
0.076164,-0.0591176,0.0106429,0
0.0771733,-0.0591034,0.0106285,0
0.0782362,-0.0590177,0.0106104,0
0.0791521,-0.0589105,0.0105845,0
0.0802168,-0.0588797,0.0105798,0
0.0811708,-0.0588276,0.0105848,0
0.0821924,-0.0587895,0.0105673,0
0.0832409,-0.0587008,0.0105523,0
0.0841933,-0.0586782,0.0105536,0
0.0851793,-0.0586084,0.0105362,0
0.086184,-0.0585565,0.0105211,0
0.0871851,-0.0585129,0.010511,0
0.0881697,-0.0584737,0.0105,0
0.0891816,-0.0584359,0.0104917,0
0.0904264,-0.0583999,0.0104818,0
0.0911509,-0.0583644,0.0104744,0
0.0921745,-0.0583303,0.0104651,0
0.0931756,-0.0582965,0.0104582,0
0.0941654,-0.0582641,0.0104495,0
0.0951548,-0.0582198,0.0104552,0
0.0961521,-0.0582109,0.0104637,0
0.0971469,-0.058229,0.0104626,0
0.0981847,-0.0581775,0.0104548,0
0.099211,-0.0581049,0.0104378,0
0.100145,-0.0580591,0.0104248,0
0.10116,-0.0580244,0.0104169,0
0.102117,-0.0579948,0.0104082,0
0.10352,-0.0579667,0.0104023,0
0.104541,-0.0579405,0.0103949,0
0.10521,-0.0579527,0.0103882,0
0.106225,-0.0579071,0.0103811,0
0.10732,-0.0578897,0.0103784,0
0.108234,-0.0578385,0.0103839,0
0.109169,-0.0578267,0.010395,0
0.110136,-0.0578222,0.0103993,0
0.111166,-0.0577658,0.0103819,0
0.112185,-0.0577312,0.0103701,0
0.113249,-0.057718,0.0103656,0
0.114227,-0.0576868,0.0103571,0
0.115166,-0.0576748,0.0103538,0
0.116269,-0.0576924,0.0103486,0
0.11718,-0.0576547,0.0103431,0
0.118315,-0.0576247,0.0103409,0
0.119243,-0.0576021,0.0103358,0
0.120234,-0.0576161,0.0103301,0
0.121223,-0.057613,0.0103226,0
0.122188,-0.0575544,0.0103334,0
0.123173,-0.0575499,0.0103334,0
0.124203,-0.0575388,0.0103305,0
0.125178,-0.0575243,0.0103248,0
0.126221,-0.0575073,0.0103213,0
0.127249,-0.0574574,0.0103186,0
0.128206,-0.0574581,0.0103148,0
0.129225,-0.0574725,0.0103171,0
0.130187,-0.0574466,0.010308,0
0.13119,-0.057427,0.0103006,0
0.132251,-0.0574096,0.010297,0
0.133164,-0.0573942,0.0102922,0
0.134217,-0.0573791,0.0102899,0
0.135313,-0.0573853,0.0102944,0
0.136192,-0.0573783,0.0102957,0
0.137275,-0.0573355,0.0102957,0
0.13823,-0.0573072,0.0102959,0
0.139359,-0.057288,0.0102921,0
0.140203,-0.0572722,0.0102895,0
0.14119,-0.0572586,0.0102849,0
0.142258,-0.0572452,0.0102823,0
0.143237,-0.057233,0.0102779,0
0.144176,-0.0572173,0.010275,0
0.145262,-0.0572045,0.0102706,0
0.146503,-0.0571924,0.0102687,0
0.147229,-0.057211,0.0102614,0
0.148232,-0.0571726,0.0102724,0
0.149174,-0.0571466,0.0102759,0
0.150183,-0.0571288,0.0102764,0
0.151163,-0.0570873,0.010276,0
0.152206,-0.0570908,0.0102725,0
0.153159,-0.0570887,0.0102664,0
0.154168,-0.0570819,0.0102634,0
0.155209,-0.0570793,0.0102622,0
0.156147,-0.0570668,0.0102583,0
0.157193,-0.0570568,0.0102537,0
0.158176,-0.0570473,0.0102517,0
0.159153,-0.0570436,0.0102509,0
0.160159,-0.0570374,0.0102476,0
0.161153,-0.057002,0.0102502,0
0.162167,-0.0570092,0.0102456,0
0.163161,-0.0570092,0.0102426,0
0.164152,-0.0570054,0.0102387,0
0.165184,-0.0569989,0.0102375,0
0.166171,-0.0569924,0.0102346,0
0.167152,-0.0569853,0.0102338,0
