Timestamp,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.0123817,0.000136867,17.3891,-0.191011,19.6501,0.0106217,-0.0285626,-4.63687e-05
0.0143377,0.000139871,17.3891,-0.191008,19.6501,0.0106218,-0.0285628,-4.57729e-05
0.0152275,0.000138536,17.3891,-0.191009,19.6501,0.0106206,-0.0285717,-4.58392e-05
0.0154939,0.000138536,17.3891,-0.191009,19.6501,0.0106206,-0.0285717,-4.58392e-05
0.0170411,0.000142533,17.389,-0.191006,19.6501,0.0106242,-0.0285459,-4.56402e-05
0.0177289,0.000139865,17.3891,-0.191007,19.6501,0.0106217,-0.0285635,-4.57732e-05
0.0183311,0.00013552,17.3891,-0.191011,19.6501,0.0106205,-0.0285722,-4.6436e-05
0.0193104,0.000139861,17.3891,-0.191007,19.6501,0.0106217,-0.0285638,-4.57735e-05
0.0205075,0.000136859,17.3891,-0.191009,19.6501,0.0106216,-0.0285639,-4.63693e-05
0.0215719,0.000138188,17.3891,-0.191008,19.6501,0.0106228,-0.0285553,-4.63032e-05
0.0223098,0.000136861,17.3891,-0.191008,19.6501,0.0106216,-0.0285643,-4.6369e-05
0.0234091,0.000134197,17.3892,-0.19101,19.6502,0.0106191,-0.0285819,-4.65018e-05
0.0242521,0.000136865,17.3891,-0.191008,19.6501,0.0106216,-0.0285647,-4.63689e-05
0.025454,0.000141206,17.3891,-0.191004,19.6501,0.0106228,-0.0285562,-4.5706e-05
0.0263683,0.000136856,17.3891,-0.191007,19.6501,0.0106216,-0.0285649,-4.6369e-05
0.0273651,0.000139861,17.3891,-0.191004,19.6501,0.0106216,-0.0285652,-4.57737e-05
0.0282899,0.000136863,17.3891,-0.191007,19.6501,0.0106215,-0.0285653,-4.63691e-05
0.029246,0.000139868,17.3891,-0.191004,19.6501,0.0106216,-0.0285655,-4.57729e-05
0.0302538,0.000136862,17.3891,-0.191006,19.6501,0.0106215,-0.0285657,-4.6369e-05
0.0312659,0.000135524,17.3892,-0.191007,19.6501,0.0106202,-0.0285746,-4.6436e-05
