Timestamp,x,y,z,R,P,Y
0.0119772,0.392416,-0.00691879,0.899928,-0.00754572,0.0192651,0.0587294
0.0122172,0.392416,-0.0069188,0.899928,-0.00754569,0.0192652,0.0587294
0.0135002,0.392416,-0.00691881,0.899928,-0.00754567,0.0192653,0.0587294
0.0146703,0.392416,-0.00691882,0.899928,-0.00754562,0.0192656,0.0587295
0.0152752,0.392416,-0.00691882,0.899928,-0.00754562,0.0192656,0.0587295
0.0163732,0.392416,-0.00691882,0.899928,-0.00754562,0.0192656,0.0587295
0.0171825,0.392416,-0.00691884,0.899928,-0.00754557,0.0192659,0.0587295
0.0180496,0.392416,-0.00691885,0.899927,-0.00754554,0.019266,0.0587295
0.0192276,0.392416,-0.00691886,0.899927,-0.00754552,0.0192662,0.0587295
0.0203021,0.392416,-0.00691886,0.899927,-0.00754549,0.0192663,0.0587295
0.0211715,0.392416,-0.00691886,0.899927,-0.00754549,0.0192663,0.0587295
0.0221337,0.392416,-0.00691888,0.899927,-0.00754544,0.0192666,0.0587295
0.0231279,0.392416,-0.0069189,0.899927,-0.00754539,0.0192668,0.0587295
0.024127,0.392416,-0.0069189,0.899927,-0.00754539,0.0192668,0.0587295
0.0251241,0.392416,-0.00691891,0.899927,-0.00754537,0.019267,0.0587295
0.026097,0.392416,-0.00691892,0.899927,-0.00754534,0.0192671,0.0587295
0.0270455,0.392416,-0.00691892,0.899927,-0.00754532,0.0192672,0.0587295
0.0280681,0.392416,-0.00691893,0.899927,-0.00754529,0.0192674,0.0587295
0.0290754,0.392416,-0.00691894,0.899927,-0.00754527,0.0192675,0.0587295
0.0302318,0.392417,-0.00691895,0.899927,-0.00754524,0.0192677,0.0587295
0.0310487,0.392417,-0.00691897,0.899927,-0.00754519,0.0192679,0.0587295
0.0320701,0.392417,-0.00691897,0.899927,-0.00754519,0.0192679,0.0587295
0.0331419,0.392417,-0.00691897,0.899927,-0.00754516,0.0192681,0.0587295
0.0340969,0.392417,-0.00691897,0.899927,-0.00754516,0.0192681,0.0587295
0.0351034,0.392417,-0.00691899,0.899927,-0.00754511,0.0192683,0.0587295
0.0361225,0.392417,-0.006919,0.899927,-0.00754509,0.0192685,0.0587295
0.0371054,0.392417,-0.00691902,0.899927,-0.00754504,0.0192688,0.0587295
0.03811,0.392417,-0.00691903,0.899927,-0.00754501,0.0192689,0.0587295
0.0390311,0.392417,-0.00691903,0.899927,-0.00754501,0.0192689,0.0587295
