Timestamp,X_obj,Y_obj
0.00615171,-0.0569084,0.00939514,0.0370302
0.00845425,-0.0569084,0.00939514,0.0370302
0.00950497,-0.0569083,0.00939512,0.0370302
0.0100458,-0.0569083,0.00939511,0.0370302
0.01109,-0.0569083,0.00939512,0.0370302
0.0133831,-0.0569084,0.00939513,0.0370303
0.0134458,-0.0569083,0.00939512,0.0370302
0.0142021,-0.0569083,0.00939512,0.0370302
0.0151585,-0.0569084,0.00939513,0.0370303
0.0163429,-0.0569083,0.00939512,0.0370303
0.0172464,-0.0569083,0.00939511,0.0370302
0.018426,-0.0569083,0.00939512,0.0370303
0.020225,-0.0569083,0.00939511,0.0370303
0.0211412,-0.0569083,0.00939511,0.0370303
0.0226728,-0.0569083,0.00939512,0.0370303
0.0231478,-0.0569083,0.00939511,0.0370303
0.0239471,-0.0569083,0.00939512,0.0370304
0.0249712,-0.0569083,0.00939511,0.0370303
0.0259683,-0.0569083,0.00939511,0.0370303
0.0268788,-0.0569083,0.00939511,0.0370303
0.028547,-0.0569083,0.00939512,0.0370304
0.028869,-0.0569082,0.00939511,0.0370304
0.0299126,-0.0569082,0.0093951,0.0370304
0.0308099,-0.0569082,0.0093951,0.0370304
0.031836,-0.0569083,0.00939511,0.0370304
0.0328114,-0.0569082,0.0093951,0.0370304
0.0337582,-0.0569082,0.0093951,0.0370304
0.0354556,-0.0569082,0.00939511,0.0370304
0.0357872,-0.0569082,0.0093951,0.0370304
0.036698,-0.0569082,0.0093951,0.0370304
0.0376961,-0.0569082,0.00939511,0.0370305
0.0396516,-0.0569082,0.00939511,0.0370305
0.0399021,-0.0569082,0.0093951,0.0370304
0.041059,-0.0569082,0.0093951,0.0370305
0.0417551,-0.0569082,0.0093951,0.0370305
0.0428471,-0.0569082,0.00939509,0.0370305
0.0438192,-0.0569082,0.0093951,0.0370305
0.0452915,-0.0569082,0.00939511,0.0370306
0.0456295,-0.0569082,0.0093951,0.0370305
0.0466434,-0.0569082,0.00939509,0.0370305
0.0476723,-0.0569082,0.0093951,0.0370305
0.0486339,-0.0569082,0.0093951,0.0370306
0.0496305,-0.0569081,0.00939509,0.0370305
0.0506087,-0.0569082,0.0093951,0.0370306
0.0516635,-0.0569082,0.0093951,0.0370306
0.0527981,-0.0569081,0.00939508,0.0370306
0.0537137,-0.0569082,0.00939509,0.0370306
0.0546127,-0.0569081,0.00939509,0.0370306
0.0556202,-0.0569081,0.00939509,0.0370306
0.0567927,-0.0569081,0.00939509,0.0370306
0.0576357,-0.0569081,0.00939509,0.0370306
0.0586117,-0.0569081,0.00939508,0.0370306
0.0597693,-0.0569081,0.00939509,0.0370306
0.0606971,-0.0569081,0.00939509,0.0370307
0.0621035,-0.0569081,0.00939509,0.0370307
0.0626668,-0.0569081,0.00939509,0.0370307
0.0642688,-0.0569081,0.00939508,0.0370307
0.0647235,-0.0569081,0.00939507,0.0370306
0.0658047,-0.0569081,0.00939508,0.0370307
0.0671367,-0.0569081,0.00939507,0.0370307
0.0681878,-0.056908,0.00939507,0.0370307
0.0692167,-0.056908,0.00939507,0.0370307
0.070419,-0.0569081,0.00939508,0.0370307
0.0715419,-0.0569081,0.00939508,0.0370307
0.0725435,-0.0569081,0.00939508,0.0370307
0.0736922,-0.0569081,0.00939508,0.0370307
0.0752648,-0.0569081,0.00939508,0.0370308
0.0753046,-0.056908,0.00939507,0.0370307
0.0766517,-0.056908,0.00939507,0.0370308
0.0782576,-0.056908,0.00939507,0.0370308
0.0787018,-0.056908,0.00939507,0.0370308
0.0794023,-0.056908,0.00939506,0.0370308
0.0804772,-0.056908,0.00939506,0.0370308
0.0813993,-0.056908,0.00939505,0.0370307
0.0825938,-0.056908,0.00939506,0.0370308
0.0834677,-0.056908,0.00939506,0.0370308
0.0844132,-0.0569079,0.00939505,0.0370308
0.0852837,-0.056908,0.00939506,0.0370308
0.0869462,-0.056908,0.00939506,0.0370309
0.0875028,-0.056908,0.00939505,0.0370308
0.0885976,-0.0569079,0.00939504,0.0370308
0.0904333,-0.0569079,0.00939505,0.0370308
0.0906432,-0.056908,0.00939506,0.0370309
0.0914055,-0.0569079,0.00939505,0.0370309
0.0924946,-0.056908,0.00939506,0.0370309
0.0935023,-0.056908,0.00939506,0.0370309
0.0948894,-0.056908,0.00939506,0.0370309
0.0965088,-0.0569079,0.00939506,0.0370309
0.0971309,-0.0569079,0.00939505,0.0370309
0.100153,-0.0569079,0.00939505,0.0370309
0.104395,-0.0569079,0.00939503,0.0370309
0.10632,-0.0569079,0.00939504,0.0370309
0.106852,-0.0569079,0.00939504,0.037031
0.113033,-0.0569078,0.00939503,0.037031
0.113878,-0.0569078,0.00939503,0.037031
0.114753,-0.0569079,0.00939504,0.037031
0.115775,-0.0569079,0.00939504,0.0370311
0.116672,-0.0569079,0.00939504,0.0370311
0.11756,-0.0569079,0.00939504,0.0370311
0.118691,-0.0569078,0.00939504,0.0370311
0.120296,-0.0569078,0.00939504,0.0370311
0.12049,-0.0569078,0.00939503,0.0370311
0.121703,-0.0569078,0.00939504,0.0370311
0.126981,-0.0569078,0.00939503,0.0370311
0.127901,-0.0569078,0.00939502,0.0370311
0.128912,-0.0569078,0.00939503,0.0370312
0.130286,-0.0569078,0.00939502,0.0370311
0.13095,-0.0569078,0.00939502,0.0370311
0.132286,-0.0569077,0.00939502,0.0370311
0.136659,-0.0569077,0.00939501,0.0370311
0.137792,-0.0569077,0.009395,0.0370311
0.139148,-0.0569078,0.00939502,0.0370312
0.140228,-0.0569077,0.00939501,0.0370312
0.140825,-0.0569077,0.009395,0.0370312
0.142583,-0.0569077,0.00939502,0.0370312
0.145228,-0.0569077,0.00939501,0.0370312
0.145644,-0.0569077,0.009395,0.0370312
0.146153,-0.0569077,0.00939501,0.0370312
0.147389,-0.0569077,0.00939501,0.0370312
0.147882,-0.0569077,0.00939501,0.0370313
0.14896,-0.0569077,0.00939501,0.0370313
0.150038,-0.0569077,0.00939501,0.0370313
0.150911,-0.0569077,0.009395,0.0370313
0.151618,-0.0569077,0.009395,0.0370313
0.152742,-0.0569076,0.00939499,0.0370313
0.153738,-0.0569077,0.009395,0.0370313
0.154645,-0.0569076,0.009395,0.0370313
0.156718,-0.0569077,0.00939501,0.0370313
0.157447,-0.0569076,0.009395,0.0370313
0.158561,-0.0569076,0.009395,0.0370313
0.158842,-0.0569076,0.00939499,0.0370313
0.159873,-0.0569076,0.00939497,0.0370313
0.160768,-0.0569075,0.00939496,0.0370313
0.162257,-0.0569075,0.00939496,0.0370313
0.162641,-0.0569075,0.00939496,0.0370313
0.163844,-0.0569076,0.009395,0.0370314
0.165431,-0.0569076,0.00939499,0.0370314
0.16565,-0.0569076,0.009395,0.0370314
0.167396,-0.0569076,0.009395,0.0370314
0.168087,-0.0569076,0.00939499,0.0370314
0.168819,-0.0569076,0.00939499,0.0370314
0.170328,-0.0569076,0.009395,0.0370315
0.170605,-0.0569076,0.00939499,0.0370314
0.171539,-0.0569076,0.00939499,0.0370315
0.173355,-0.0569076,0.00939499,0.0370315
0.17362,-0.0569076,0.00939498,0.0370315
0.174495,-0.0569076,0.00939499,0.0370315
0.175488,-0.0569076,0.00939499,0.0370315
0.176495,-0.0569076,0.00939499,0.0370315
0.177369,-0.0569075,0.00939498,0.0370315
0.17975,-0.0569076,0.00939499,0.0370315
0.18039,-0.0569075,0.00939499,0.0370316
0.181967,-0.0569075,0.00939499,0.0370316
0.182335,-0.0569075,0.00939499,0.0370316
0.183354,-0.0569075,0.00939498,0.0370316
0.184866,-0.0569075,0.00939498,0.0370316
0.185447,-0.0569075,0.00939498,0.0370316
0.186127,-0.0569075,0.00939497,0.0370316
0.187827,-0.0569075,0.00939498,0.0370316
0.18831,-0.0569075,0.00939497,0.0370316
0.189618,-0.0569075,0.00939497,0.0370316
0.190838,-0.0569075,0.00939498,0.0370316
0.191156,-0.0569075,0.00939497,0.0370316
0.192189,-0.0569075,0.00939497,0.0370316
0.193617,-0.0569075,0.00939497,0.0370317
0.193988,-0.0569074,0.00939496,0.0370316
0.195108,-0.0569074,0.00939496,0.0370316
0.195893,-0.0569075,0.00939497,0.0370317
0.19692,-0.0569074,0.00939496,0.0370317
0.198388,-0.0569075,0.00939498,0.0370317
0.198773,-0.0569075,0.00939497,0.0370317
0.20056,-0.0569074,0.00939496,0.0370317
0.201119,-0.0569074,0.00939497,0.0370317
0.20207,-0.0569074,0.00939497,0.0370317
0.203302,-0.0569074,0.00939496,0.0370317
0.205046,-0.0569074,0.00939497,0.0370317
0.205412,-0.0569074,0.00939495,0.0370317
0.206171,-0.0569074,0.00939495,0.0370317
0.207554,-0.0569074,0.00939495,0.0370317
0.208612,-0.0569074,0.00939496,0.0370318
0.209441,-0.0569074,0.00939496,0.0370318
0.210429,-0.0569074,0.00939495,0.0370318
0.21239,-0.0569074,0.00939495,0.0370318
0.213693,-0.0569074,0.00939496,0.0370318
0.214371,-0.0569074,0.00939496,0.0370318
0.215247,-0.0569073,0.00939495,0.0370318
0.216017,-0.0569073,0.00939494,0.0370318
0.218096,-0.0569074,0.00939495,0.0370318
0.218826,-0.0569074,0.00939495,0.0370319
0.219775,-0.0569073,0.00939494,0.0370318
0.220972,-0.0569073,0.00939495,0.0370319
0.221723,-0.0569073,0.00939495,0.0370319
0.22292,-0.0569073,0.00939494,0.0370319
0.223676,-0.0569073,0.00939495,0.0370319
0.225959,-0.0569073,0.00939495,0.0370319
0.227133,-0.0569073,0.00939494,0.0370319
0.229126,-0.0569073,0.00939495,0.037032
0.230122,-0.0569073,0.00939494,0.0370319
0.232392,-0.0569073,0.00939494,0.0370319
0.235695,-0.0569073,0.00939494,0.037032
0.237842,-0.0569073,0.00939493,0.0370319
0.238572,-0.0569073,0.00939494,0.037032
0.240131,-0.0569073,0.00939494,0.037032
0.24097,-0.0569072,0.00939493,0.037032
0.242455,-0.0569072,0.00939493,0.037032
0.24425,-0.0569073,0.00939493,0.037032
0.245007,-0.0569072,0.00939492,0.037032
0.245545,-0.0569072,0.00939493,0.037032
0.246129,-0.0569072,0.00939492,0.037032
0.247634,-0.0569073,0.00939494,0.0370321
0.248034,-0.0569072,0.00939493,0.037032
0.249121,-0.0569072,0.00939492,0.037032
0.24995,-0.0569072,0.00939493,0.0370321
0.251048,-0.0569072,0.00939492,0.037032
0.251997,-0.0569072,0.00939493,0.0370321
0.252845,-0.0569072,0.00939493,0.0370321
0.253672,-0.0569072,0.00939492,0.0370321
0.254675,-0.0569072,0.00939491,0.0370321
0.257727,-0.0569072,0.00939491,0.0370321
0.258395,-0.0569072,0.00939491,0.0370321
0.25946,-0.0569071,0.00939491,0.0370321
0.260339,-0.0569072,0.00939492,0.0370321
0.260961,-0.0569071,0.00939491,0.0370321
0.261955,-0.0569071,0.0093949,0.0370321
0.263207,-0.0569072,0.00939492,0.0370322
0.264571,-0.0569071,0.00939491,0.0370321
0.265313,-0.0569071,0.00939489,0.0370321
0.267383,-0.0569071,0.00939491,0.0370322
0.267921,-0.0569071,0.0093949,0.0370322
0.268342,-0.0569071,0.00939489,0.0370321
0.269069,-0.0569071,0.00939489,0.0370322
0.269989,-0.0569071,0.0093949,0.0370322
0.270968,-0.0569071,0.0093949,0.0370322
0.271871,-0.0569071,0.0093949,0.0370322
0.272968,-0.0569071,0.0093949,0.0370322
0.274042,-0.0569071,0.0093949,0.0370322
0.275221,-0.0569071,0.0093949,0.0370322
0.276295,-0.0569071,0.0093949,0.0370322
0.277525,-0.0569071,0.0093949,0.0370323
0.2787,-0.0569071,0.0093949,0.0370323
0.279871,-0.0569071,0.0093949,0.0370323
0.281569,-0.0569071,0.0093949,0.0370323
0.282615,-0.0569071,0.0093949,0.0370323
0.283619,-0.0569071,0.0093949,0.0370323
0.285673,-0.0569071,0.00939491,0.0370324
0.28646,-0.0569071,0.0093949,0.0370323
0.287435,-0.056907,0.0093949,0.0370323
0.288588,-0.056907,0.00939489,0.0370323
0.289321,-0.056907,0.0093949,0.0370324
0.290984,-0.056907,0.0093949,0.0370324
0.291777,-0.056907,0.00939488,0.0370323
0.292911,-0.056907,0.00939489,0.0370324
0.294821,-0.056907,0.00939488,0.0370324
0.295686,-0.056907,0.00939488,0.0370324
0.296624,-0.0569069,0.00939487,0.0370324
0.297648,-0.056907,0.00939488,0.0370324
0.298546,-0.056907,0.00939489,0.0370324
0.299718,-0.056907,0.00939488,0.0370324
0.301383,-0.056907,0.00939489,0.0370324
0.301698,-0.0569069,0.00939487,0.0370324
0.302883,-0.056907,0.00939488,0.0370325
0.30354,-0.056907,0.00939488,0.0370325
0.304684,-0.0569069,0.00939487,0.0370324
0.305521,-0.056907,0.00939488,0.0370325
0.307572,-0.0569069,0.00939488,0.0370325
0.307923,-0.0569069,0.00939487,0.0370325
0.308759,-0.0569069,0.00939488,0.0370325
0.310279,-0.0569069,0.00939487,0.0370325
0.310585,-0.0569069,0.00939487,0.0370325
0.31163,-0.0569069,0.00939488,0.0370325
0.312674,-0.0569069,0.00939488,0.0370325
0.313554,-0.0569069,0.00939487,0.0370326
0.31455,-0.0569069,0.00939487,0.0370326
0.315489,-0.0569069,0.00939486,0.0370325
0.317172,-0.0569069,0.00939487,0.0370326
0.317733,-0.0569069,0.00939487,0.0370326
0.318558,-0.0569069,0.00939487,0.0370326
0.31967,-0.0569069,0.00939487,0.0370326
0.320487,-0.0569069,0.00939487,0.0370326
0.321521,-0.0569069,0.00939487,0.0370326
0.322538,-0.0569069,0.00939487,0.0370326
0.323535,-0.0569069,0.00939486,0.0370326
0.324795,-0.0569069,0.00939486,0.0370326
0.325444,-0.0569069,0.00939486,0.0370327
0.326547,-0.0569068,0.00939486,0.0370327
0.327406,-0.0569068,0.00939486,0.0370327
0.328483,-0.0569068,0.00939486,0.0370327
0.329564,-0.0569068,0.00939486,0.0370327
0.330757,-0.0569068,0.00939486,0.0370327
0.331527,-0.0569068,0.00939486,0.0370327
0.332376,-0.0569068,0.00939486,0.0370327
0.333429,-0.0569068,0.00939486,0.0370327
0.334782,-0.0569068,0.00939484,0.0370327
0.335619,-0.0569068,0.00939485,0.0370327
0.336455,-0.0569068,0.00939484,0.0370327
0.337732,-0.0569068,0.00939484,0.0370327
0.338515,-0.0569068,0.00939484,0.0370327
0.339206,-0.0569067,0.00939484,0.0370327
0.340344,-0.0569067,0.00939484,0.0370327
0.341329,-0.0569067,0.00939483,0.0370327
0.342295,-0.0569067,0.00939484,0.0370328
0.343574,-0.0569067,0.00939483,0.0370327
0.344284,-0.0569067,0.00939484,0.0370328
0.345198,-0.0569067,0.00939483,0.0370328
0.346505,-0.0569067,0.00939483,0.0370328
0.347235,-0.0569067,0.00939483,0.0370328
0.348646,-0.0569067,0.00939483,0.0370328
0.349362,-0.0569067,0.00939483,0.0370328
0.350188,-0.0569067,0.00939483,0.0370328
0.351183,-0.0569067,0.00939483,0.0370328
0.352597,-0.0569067,0.00939483,0.0370328
0.353802,-0.0569067,0.00939484,0.0370329
0.354696,-0.0569067,0.00939483,0.0370329
0.355714,-0.0569067,0.00939484,0.0370329
0.356627,-0.0569067,0.00939484,0.0370329
0.357659,-0.0569067,0.00939483,0.0370329
0.358856,-0.0569067,0.00939482,0.0370329
0.35977,-0.0569067,0.00939483,0.0370329
0.360814,-0.0569067,0.00939483,0.0370329
0.361787,-0.0569067,0.00939483,0.0370329
0.362558,-0.0569067,0.00939483,0.0370329
0.363517,-0.0569067,0.00939483,0.037033
0.364543,-0.0569067,0.00939483,0.037033
0.365554,-0.0569067,0.00939483,0.037033
0.366492,-0.0569066,0.00939483,0.037033
0.367578,-0.0569066,0.00939482,0.037033
0.368642,-0.0569066,0.00939482,0.037033
0.369602,-0.0569066,0.00939482,0.037033
0.370517,-0.0569066,0.00939482,0.037033
0.371732,-0.0569066,0.00939482,0.037033
0.372682,-0.0569066,0.00939481,0.037033
0.373558,-0.0569066,0.00939482,0.037033
0.37448,-0.0569066,0.00939482,0.037033
0.375699,-0.0569066,0.00939482,0.0370331
0.376519,-0.0569066,0.00939482,0.0370331
0.377497,-0.0569066,0.00939482,0.0370331
0.378436,-0.0569066,0.00939482,0.0370331
0.379414,-0.0569066,0.00939481,0.0370331
0.380557,-0.0569066,0.00939481,0.0370331
