Timestamp,X_hat,Y_hat
0.00927104,-0.0567885,0.0102259,0
0.00994181,-0.0567879,0.0102279,0
0.0109767,-0.0567877,0.0102287,0
0.0117709,-0.0567882,0.0102268,0
0.0126071,-0.0567884,0.010226,0
0.0138568,-0.0567885,0.0102258,0
0.014768,-0.0567885,0.0102257,0
0.01569,-0.0567885,0.0102256,0
0.0165997,-0.056788,0.0102278,0
0.0178052,-0.0567883,0.0102264,0
0.0187256,-0.0567879,0.0102281,0
0.019869,-0.0567883,0.0102266,0
0.0208942,-0.0567884,0.010226,0
0.021563,-0.0567879,0.0102279,0
0.0225915,-0.0567877,0.0102287,0
0.0235941,-0.0567882,0.0102268,0
0.0246374,-0.0567878,0.0102282,0
0.0256351,-0.0567883,0.0102266,0
0.026561,-0.0567878,0.0102282,0
0.0276118,-0.0567882,0.0102266,0
0.0285678,-0.0567884,0.010226,0
0.0295495,-0.0567885,0.0102257,0
0.030792,-0.0567879,0.0102278,0
0.0317555,-0.0567883,0.0102264,0
0.0329334,-0.0567878,0.0102281,0
0.0336017,-0.0567882,0.0102266,0
0.034602,-0.0567878,0.0102282,0
0.0355242,-0.0567882,0.0102266,0
0.0366076,-0.0567878,0.0102282,0
0.0375524,-0.0567882,0.0102266,0
0.0385574,-0.0567884,0.010226,0
0.0395354,-0.0567884,0.0102257,0
0.0405763,-0.0567879,0.0102278,0
0.041651,-0.0567876,0.0102286,0
0.0425528,-0.0567876,0.010229,0
0.043561,-0.0567881,0.0102269,0
0.0445838,-0.0567883,0.0102261,0
0.0455254,-0.0567884,0.0102258,0
0.0465467,-0.0567878,0.0102279,0
0.0477969,-0.0567876,0.0102286,0
0.0485482,-0.0567875,0.010229,0
0.0495562,-0.0567881,0.0102269,0
0.0505341,-0.0567877,0.0102283,0
0.0516189,-0.0567882,0.0102266,0
0.0525688,-0.0567877,0.0102282,0
0.0535325,-0.0567882,0.0102266,0
0.0545553,-0.0567877,0.0102282,0
0.055544,-0.0567882,0.0102266,0
0.0565672,-0.0567883,0.0102259,0
0.057538,-0.0567884,0.0102257,0
0.058535,-0.0567878,0.0102278,0
0.0595611,-0.0567882,0.0102264,0
0.060678,-0.0567877,0.0102281,0
0.0615134,-0.0567881,0.0102265,0
0.0626672,-0.0567877,0.0102281,0
0.0635751,-0.0567881,0.0102265,0
0.0645329,-0.0567877,0.0102281,0
0.0655723,-0.0567881,0.0102266,0
0.0666385,-0.0567883,0.0102259,0
0.0675479,-0.0567883,0.0102257,0
0.0685213,-0.0567878,0.0102278,0
0.0695752,-0.0567881,0.0102264,0
0.070623,-0.0567877,0.0102281,0
0.0718956,-0.0567881,0.0102265,0
0.0729004,-0.0567877,0.0102281,0
0.0736086,-0.0567881,0.0102265,0
0.0747109,-0.0567877,0.0102281,0
0.0756323,-0.0567881,0.0102265,0
0.07656,-0.0567877,0.0102281,0
0.0776179,-0.0567881,0.0102265,0
0.0786543,-0.0567877,0.0102281,0
0.0798736,-0.0567881,0.0102265,0
0.0805305,-0.0567877,0.0102281,0
0.0816251,-0.0567881,0.0102265,0
0.0825784,-0.0567877,0.0102281,0
0.0835581,-0.0567881,0.0102265,0
0.0846281,-0.0567877,0.0102281,0
0.0856055,-0.0567881,0.0102265,0
0.0868221,-0.0567876,0.0102281,0
0.0904585,-0.0567875,0.0102287,0
0.0907522,-0.0567874,0.010229,0
0.0916864,-0.056788,0.0102269,0
0.095353,-0.0567874,0.010229,0
0.0959824,-0.056788,0.0102269,0
0.097169,-0.0567876,0.0102283,0
0.0985467,-0.056788,0.0102266,0
0.0999049,-0.0567876,0.0102281,0
0.102019,-0.056788,0.0102265,0
0.102367,-0.0567876,0.0102281,0
0.102746,-0.056788,0.0102265,0
0.104199,-0.0567876,0.0102281,0
0.104562,-0.056788,0.0102265,0
0.106088,-0.0567882,0.0102259,0
0.106726,-0.0567882,0.0102257,0
0.107789,-0.0567883,0.0102256,0
0.108798,-0.0567883,0.0102256,0
0.110727,-0.0567883,0.0102256,0
0.114204,-0.056788,0.0102264,0
0.115447,-0.0567882,0.0102259,0
0.115692,-0.0567882,0.0102257,0
0.117008,-0.0567877,0.0102278,0
0.118142,-0.0567874,0.0102286,0
0.118877,-0.0567874,0.0102289,0
0.120965,-0.0567879,0.0102268,0
0.121782,-0.0567881,0.010226,0
0.122962,-0.0567882,0.0102257,0
0.1236,-0.0567882,0.0102256,0
0.124575,-0.0567877,0.0102278,0
0.125629,-0.056788,0.0102264,0
0.126614,-0.0567876,0.0102281,0
0.12761,-0.056788,0.0102265,0
0.128752,-0.0567875,0.0102281,0
0.12961,-0.0567879,0.0102265,0
0.130738,-0.0567875,0.0102281,0
0.131699,-0.0567879,0.0102265,0
0.132789,-0.0567875,0.0102281,0
0.133678,-0.0567874,0.0102287,0
0.134594,-0.0567873,0.010229,0
0.135636,-0.0567873,0.010229,0
0.136566,-0.0567878,0.0102269,0
0.13752,-0.0567875,0.0102282,0
0.138556,-0.0567879,0.0102266,0
0.139547,-0.0567875,0.0102281,0
0.140545,-0.0567879,0.0102265,0
0.141584,-0.0567875,0.0102281,0
0.142612,-0.0567879,0.0102265,0
0.14362,-0.0567875,0.0102281,0
0.144556,-0.0567879,0.0102265,0
0.145581,-0.0567881,0.0102259,0
0.146538,-0.0567875,0.0102279,0
0.147534,-0.0567879,0.0102264,0
0.148532,-0.0567875,0.0102281,0
0.149536,-0.0567879,0.0102265,0
0.150568,-0.0567875,0.0102281,0
0.151835,-0.0567879,0.0102265,0
0.152594,-0.0567875,0.0102281,0
0.15354,-0.0567879,0.0102265,0
0.154535,-0.0567874,0.0102281,0
0.155536,-0.0567879,0.0102265,0
0.156539,-0.0567874,0.0102281,0
0.157545,-0.0567879,0.0102265,0
0.158566,-0.0567874,0.0102281,0
0.159549,-0.0567879,0.0102265,0
0.160575,-0.0567874,0.0102281,0
0.161609,-0.0567878,0.0102265,0
0.162572,-0.056788,0.0102259,0
0.16367,-0.0567875,0.0102279,0
0.164569,-0.0567879,0.0102264,0
0.165576,-0.0567874,0.0102281,0
0.166555,-0.0567878,0.0102265,0
0.167622,-0.0567874,0.0102281,0
0.16852,-0.0567878,0.0102265,0
0.16958,-0.0567874,0.0102281,0
0.17055,-0.0567878,0.0102265,0
0.171601,-0.0567874,0.0102281,0
0.172646,-0.0567878,0.0102265,0
0.173536,-0.0567874,0.0102281,0
0.175024,-0.0567878,0.0102265,0
0.175558,-0.0567874,0.0102281,0
0.176656,-0.0567878,0.0102265,0
0.177623,-0.0567874,0.0102281,0
0.178582,-0.0567878,0.0102265,0
0.179611,-0.0567874,0.0102281,0
0.180541,-0.0630622,0.0114274,0
0.181542,-0.065459,0.0118855,0
0.182575,-0.0706435,0.0128613,0
0.183574,-0.074025,0.0136424,0
0.1846,-0.076788,0.0143296,0
0.185602,-0.0792887,0.0149581,0
0.186546,-0.081627,0.0155515,0
0.187564,-0.0838512,0.0161081,0
0.188589,-0.0854896,0.0165085,0
0.189561,-0.0877229,0.0170618,0
0.190524,-0.0896965,0.0175351,0
0.191547,-0.0907801,0.0178102,0
0.192574,-0.0926832,0.0182855,0
0.193558,-0.0942099,0.0186286,0
0.194553,-0.094634,0.0186863,0
0.195559,-0.0961406,0.0195325,0
0.196662,-0.0952919,0.0184404,0
0.197652,-0.0970557,0.0190303,0
0.198626,-0.0980233,0.0193225,0
0.199618,-0.0985227,0.0194237,0
0.200577,-0.0987477,0.0194324,0
0.201583,-0.0987847,0.0194231,0
0.202538,-0.0984822,0.0192615,0
0.203566,-0.0991045,0.0198751,0
0.20461,-0.0971159,0.0184704,0
0.20554,-0.0969714,0.0185354,0
0.206553,-0.0965905,0.0184677,0
0.207589,-0.0960571,0.0183143,0
0.208637,-0.0954479,0.0181169,0
0.209557,-0.0947937,0.0179072,0
0.210526,-0.0933085,0.0175026,0
0.211523,-0.0930704,0.0173935,0
0.212558,-0.0925669,0.0177458,0
0.213568,-0.090428,0.0164497,0
0.214547,-0.0905944,0.0165865,0
0.215591,-0.0895903,0.0163905,0
0.216537,-0.088749,0.0161843,0
0.217547,-0.0886419,0.0161197,0
0.218517,-0.0875876,0.0158345,0
0.219531,-0.0867489,0.0156085,0
0.220546,-0.0872124,0.0161137,0
0.221603,-0.0852721,0.0149247,0
0.222566,-0.0846833,0.0148962,0
0.223908,-0.0846123,0.0149497,0
0.224623,-0.0842105,0.0148609,0
0.225553,-0.0836762,0.0147227,0
0.226557,-0.083095,0.014562,0
0.227699,-0.0825013,0.0144343,0
0.228536,-0.0823853,0.014809,0
0.229788,-0.0810455,0.0138249,0
0.230634,-0.0806475,0.0138384,0
0.232298,-0.0801773,0.0137822,0
0.23254,-0.0767978,0.0134779,0
0.233724,-0.0755069,0.0133617,0
0.234673,-0.0745275,0.0132389,0
0.235626,-0.0741894,0.0132113,0
0.236656,-0.0730835,0.0129823,0
0.237652,-0.0723745,0.0128179,0
0.239045,-0.07183,0.0126863,0
0.240129,-0.0713579,0.012566,0
0.240515,-0.0706168,0.012408,0
0.241548,-0.0703775,0.0123345,0
0.24258,-0.0700591,0.0122456,0
0.243544,-0.0694298,0.0121095,0
0.24461,-0.0692301,0.0120494,0
0.245745,-0.0691539,0.0120264,0
0.246555,-0.0684277,0.011899,0
0.247544,-0.0681832,0.011841,0
0.248515,-0.0678987,0.011768,0
0.249539,-0.0673612,0.0116564,0
0.250528,-0.0671672,0.0116306,0
0.25153,-0.066718,0.0115178,0
0.25252,-0.0663667,0.0114321,0
0.253538,-0.0662552,0.01141,0
0.254533,-0.0658705,0.0113122,0
0.255565,-0.0655602,0.0112336,0
0.25655,-0.0652925,0.0111696,0
0.257519,-0.0650452,0.0111088,0
0.258806,-0.0648089,0.011054,0
0.259543,-0.0645586,0.0110234,0
0.260567,-0.0644769,0.0110287,0
0.261565,-0.0643119,0.0109959,0
0.262598,-0.0642866,0.0109713,0
0.263541,-0.0639788,0.0109062,0
0.264664,-0.0637234,0.0108546,0
0.265583,-0.0636669,0.0108207,0
0.2666,-0.0633627,0.0107603,0
0.267691,-0.0631207,0.0107105,0
0.268526,-0.062911,0.0106662,0
0.26968,-0.0627203,0.0106215,0
0.270549,-0.062539,0.010581,0
0.27161,-0.0623651,0.0105399,0
0.272651,-0.0621962,0.0105027,0
0.27365,-0.0620114,0.0104875,0
0.274526,-0.0618384,0.010464,0
0.275948,-0.061584,0.0104104,0
0.276664,-0.0614869,0.0103899,0
0.277671,-0.0613602,0.0103596,0
0.278683,-0.0611391,0.0103084,0
0.279583,-0.0609714,0.0102717,0
0.280544,-0.0609074,0.0102577,0
0.281659,-0.060724,0.0102168,0
0.28256,-0.0606539,0.0102011,0
0.283557,-0.0603659,0.010157,0
0.284546,-0.0602686,0.0101522,0
0.285542,-0.0602315,0.0101504,0
0.286884,-0.0599746,0.0101133,0
0.287556,-0.0599074,0.0100913,0
0.288669,-0.0598217,0.0100636,0
0.289614,-0.0597257,0.01004,0
0.290561,-0.0596266,0.0100157,0
0.291645,-0.0595274,0.00999466,0
0.292644,-0.0594304,0.00997212,0
0.293666,-0.0593352,0.00995261,0
0.294603,-0.0592428,0.0099316,0
0.295652,-0.0591327,0.00993512,0
0.296555,-0.0590326,0.00992568,0
0.297601,-0.0589405,0.00991141,0
0.298688,-0.0588538,0.00989215,0
0.2996,-0.058769,0.00987395,0
0.300679,-0.0586035,0.00985425,0
0.301554,-0.0584884,0.00983994,0
0.302575,-0.0584815,0.00982164,0
0.303536,-0.0584789,0.00981466,0
0.304606,-0.0583721,0.00981321,0
0.30556,-0.0583313,0.00981266,0
0.306563,-0.0581931,0.00983542,0
0.307608,-0.0582021,0.00979548,0
0.308556,-0.0582351,0.00978091,0
0.309539,-0.0581459,0.00974784,0
0.310557,-0.0581284,0.00974495,0
0.311552,-0.0579309,0.00974014,0
0.312519,-0.0578555,0.0097383,0
0.313551,-0.0577407,0.00972408,0
0.314564,-0.0577128,0.00972583,0
0.315562,-0.0579782,0.00969705,0
0.316531,-0.0580317,0.00969459,0
0.317527,-0.0579482,0.00969411,0
0.318549,-0.0579477,0.0096837,0
0.319594,-0.0579693,0.00968844,0
0.320545,-0.0578357,0.00966851,0
0.321581,-0.0578144,0.0096534,0
0.322529,-0.0577819,0.00963712,0
0.323558,-0.0577423,0.00962612,0
0.324549,-0.0576383,0.00961952,0
0.325566,-0.0576297,0.0096102,0
0.326538,-0.0575456,0.00960198,0
0.327519,-0.057484,0.0095971,0
0.328564,-0.0574381,0.00958849,0
0.329547,-0.0574383,0.0095963,0
0.330527,-0.0573583,0.00959799,0
0.331561,-0.0573576,0.00959104,0
0.332536,-0.0572824,0.00958388,0
0.333549,-0.0572268,0.00957917,0
0.334838,-0.0571856,0.00957047,0
0.335617,-0.057204,0.00955742,0
0.336522,-0.0571407,0.00954953,0
0.337529,-0.0570919,0.00954579,0
0.338579,-0.0570913,0.00955233,0
0.33952,-0.0570358,0.00953734,0
0.340516,-0.0569956,0.00952498,0
0.34154,-0.0569979,0.00953124,0
0.342533,-0.0569464,0.00951447,0
0.343553,-0.0568916,0.00952491,0
0.344548,-0.056885,0.00953894,0
0.345547,-0.0568313,0.00952723,0
0.346525,-0.0568274,0.00952935,0
0.347555,-0.0567759,0.00951339,0
0.348528,-0.0567398,0.00950069,0
0.349532,-0.056711,0.00949327,0
0.350527,-0.0566858,0.00948511,0
0.35153,-0.0566616,0.00947973,0
0.352602,-0.0566389,0.00947263,0
0.353559,-0.0566474,0.00948065,0
0.354556,-0.05659,0.00948605,0
0.356153,-0.0565807,0.00950024,0
0.356557,-0.0565331,0.00948687,0
0.357536,-0.0565307,0.00949095,0
0.358545,-0.0564871,0.00947424,0
0.359534,-0.0564566,0.0094647,0
0.360599,-0.0564336,0.00945604,0
0.361588,-0.0564415,0.00946301,0
0.362551,-0.0564045,0.00944881,0
0.363539,-0.0563777,0.00944088,0
0.364547,-0.0563415,0.00945296,0
0.365802,-0.0563129,0.00945798,0
0.366614,-0.0563021,0.0094599,0
0.367638,-0.0562873,0.00945469,0
0.369053,-0.0562709,0.00945011,0
0.369537,-0.0562545,0.00944311,0
0.370562,-0.0562801,0.00943067,0
0.371606,-0.0562569,0.00940755,0
0.372596,-0.0562373,0.00939766,0
0.373569,-0.0562214,0.00939085,0
0.37455,-0.0561909,0.00940734,0
0.375532,-0.0561793,0.00941364,0
0.376537,-0.0561628,0.00941448,0
0.37753,-0.0561885,0.00940512,0
0.378523,-0.0561983,0.00940155,0
0.379527,-0.0561712,0.00938249,0
0.38054,-0.0561512,0.0093746,0
0.381538,-0.056151,0.00934966,0
0.382589,-0.0561463,0.0093384,0
0.383577,-0.0561375,0.00933276,0
0.384559,-0.0561265,0.00933212,0
0.385515,-0.0561155,0.00933022,0
0.386517,-0.0560889,0.00934988,0
0.387515,-0.0560683,0.00935738,0
0.388524,-0.0560604,0.00936025,0
0.389528,-0.0560423,0.00935748,0
0.390532,-0.0560274,0.00935619,0
0.391545,-0.0560217,0.0093557,0
0.39254,-0.0560047,0.00935247,0
0.393537,-0.0560299,0.00933907,0
0.3946,-0.0559963,0.00934113,0
0.395535,-0.0560279,0.00934516,0
0.396536,-0.0560328,0.00934685,0
0.397562,-0.0560518,0.00935419,0
0.398523,-0.0560276,0.00934702,0
0.399538,-0.0559964,0.00935989,0
0.400562,-0.055974,0.00936671,0
0.401565,-0.0559586,0.00936504,0
0.40255,-0.0559454,0.00936309,0
0.403527,-0.0559566,0.00936864,0
0.404534,-0.0559672,0.00935071,0
0.405546,-0.0559303,0.00934701,0
0.406611,-0.0559426,0.00933824,0
0.407547,-0.0559435,0.00932966,0
0.408524,-0.0559002,0.00933592,0
0.409559,-0.0559105,0.00932807,0
0.410535,-0.0559104,0.00932261,0
0.411537,-0.0558681,0.00932731,0
0.412515,-0.0558519,0.00932911,0
0.413513,-0.0558162,0.00934722,0
0.414536,-0.0557921,0.00935492,0
0.415611,-0.0557982,0.00936283,0
0.416557,-0.0557727,0.00935445,0
0.41756,-0.0557564,0.00934652,0
0.418557,-0.0557781,0.00933291,0
0.419528,-0.0557498,0.0093313,0
0.420606,-0.055729,0.00933234,0
0.421556,-0.0557159,0.00932895,0
0.422571,-0.0557052,0.00932661,0
0.423545,-0.0556828,0.00934073,0
0.424545,-0.0556653,0.00934723,0
0.425581,-0.0556534,0.00934476,0
0.426546,-0.055643,0.00934188,0
0.427591,-0.0556339,0.00933629,0
0.428626,-0.0556248,0.00933272,0
0.429602,-0.0556212,0.00933136,0
0.430778,-0.055615,0.00932663,0
0.431728,-0.0556394,0.00931412,0
0.432581,-0.0556469,0.00930359,0
0.433569,-0.0556245,0.00929042,0
0.434597,-0.0556111,0.00928255,0
0.435524,-0.0556206,0.00928823,0
0.436981,-0.0555883,0.00929785,0
0.437544,-0.0555675,0.00930323,0
0.438528,-0.0555867,0.00929142,0
0.439598,-0.055561,0.00929404,0
0.440523,-0.0555625,0.00930229,0
0.441516,-0.0555392,0.00929648,0
0.442836,-0.0555564,0.00928013,0
0.443533,-0.0555302,0.0092813,0
0.444531,-0.0555125,0.00928095,0
0.445538,-0.0555013,0.00928032,0
0.44654,-0.0554932,0.00927651,0
0.447556,-0.0554856,0.00927458,0
0.448523,-0.0554668,0.00928894,0
0.449551,-0.0554522,0.00929585,0
0.450785,-0.0554426,0.00929391,0
0.451538,-0.0554343,0.00929157,0
0.452536,-0.0554271,0.00928648,0
0.453853,-0.0554244,0.00928454,0
0.454543,-0.0554151,0.00927881,0
0.455513,-0.0554329,0.0092657,0
0.456545,-0.0554386,0.00925498,0
0.457545,-0.0554408,0.00925088,0
0.458523,-0.055401,0.00925854,0
0.459736,-0.0554102,0.00925021,0
0.460563,-0.0553847,0.00925162,0
0.46157,-0.0553561,0.00927244,0
0.462543,-0.0553669,0.00926823,0
0.463566,-0.0553417,0.00927302,0
0.464525,-0.0553253,0.0092728,0
0.465569,-0.0553424,0.00926117,0
0.4666,-0.0553489,0.00925673,0
0.467519,-0.0553185,0.00925847,0
0.468625,-0.0553275,0.00924679,0
0.469536,-0.055329,0.00923912,0
0.470523,-0.0552989,0.00924322,0
0.471572,-0.0553077,0.00923574,0
0.472594,-0.05531,0.00922708,0
0.473549,-0.0552799,0.00923379,0
0.474562,-0.0552515,0.00925323,0
0.475537,-0.0552608,0.00925094,0
0.476582,-0.0552635,0.00924322,0
0.477542,-0.0552343,0.0092493,0
0.478506,-0.0552231,0.00925162,0
0.479966,-0.0552386,0.00923979,0
0.480637,-0.055243,0.00923192,0
0.481562,-0.0552418,0.00922496,0
0.483026,-0.0552368,0.00922144,0
0.48367,-0.0552315,0.00921641,0
0.484584,-0.0552255,0.00921373,0
0.485843,-0.0552198,0.00920909,0
0.486603,-0.0552137,0.00920665,0
0.487726,-0.0552081,0.00920218,0
0.4887,-0.0551919,0.00921781,0
0.489747,-0.05518,0.00922208,0
0.49074,-0.0551713,0.00922231,0
0.491546,-0.0551647,0.00921776,0
0.492553,-0.0551581,0.00921457,0
0.493595,-0.0551524,0.00920909,0
0.494736,-0.0551463,0.00920573,0
0.496131,-0.0551408,0.00920034,0
0.496516,-0.0551349,0.00919716,0
0.497526,-0.0551295,0.00919197,0
0.498554,-0.0551096,0.00918199,0
0.499572,-0.0550893,0.00919199,0
0.500546,-0.0550764,0.0091972,0
0.501623,-0.0550915,0.00918452,0
0.502568,-0.0550743,0.00918473,0
0.503567,-0.0550617,0.0091861,0
0.504594,-0.0550674,0.0091892,0
0.505535,-0.0550535,0.00918214,0
0.506631,-0.0550452,0.00917498,0
0.50766,-0.055061,0.00916006,0
0.50852,-0.055045,0.00915971,0
0.509532,-0.0550327,0.00916109,0
0.510542,-0.0550258,0.00915773,0
0.511536,-0.0550202,0.00915533,0
0.512538,-0.055007,0.00916832,0
0.513575,-0.0550181,0.00916291,0
0.51453,-0.0550009,0.00916542,0
0.515553,-0.0549867,0.00916718,0
0.516517,-0.0549911,0.00916985,0
0.517535,-0.0549779,0.00916274,0
0.518534,-0.0549729,0.00916003,0
0.519527,-0.054965,0.00915275,0
0.520528,-0.0549592,0.00914544,0
0.521618,-0.0549569,0.00914266,0
0.522517,-0.0549533,0.00913454,0
0.523547,-0.0549463,0.00913297,0
0.524554,-0.0549532,0.00913449,0
0.52552,-0.0549415,0.00912773,0
0.526518,-0.0549262,0.00913837,0
0.527565,-0.0549269,0.00914922,0
0.528568,-0.0549137,0.00914242,0
0.529639,-0.0549054,0.0091376,0
0.530531,-0.0549195,0.00912006,0
0.531525,-0.054924,0.00911001,0
0.532542,-0.0549043,0.00911396,0
0.53354,-0.0549028,0.00912239,0
0.534528,-0.0549077,0.00910392,0
0.535739,-0.0548898,0.0091046,0
0.536595,-0.0548785,0.00910324,0
0.5376,-0.0548898,0.00908993,0
0.53855,-0.0548761,0.00909033,0
0.539563,-0.0548581,0.00910917,0
0.540652,-0.0548652,0.00910243,0
0.541605,-0.054868,0.00909986,0
0.542568,-0.0548463,0.00910387,0
0.543563,-0.0548528,0.00909211,0
0.544706,-0.054838,0.00909245,0
0.545633,-0.0548324,0.00909258,0
0.54657,-0.0548403,0.00907734,0
0.547733,-0.0548258,0.0090796,0
0.548836,-0.0548203,0.00908047,0
0.549541,-0.0548282,0.00906592,0
0.550559,-0.0548247,0.00907143,0
0.551594,-0.0548186,0.0090743,0
