Timestamp,X_obj,Y_obj
0.00571535,-0.0572388,0.00299432,0.0347491
0.0232983,-0.0572388,0.00299432,0.0347491
0.0431881,-0.0572388,0.00299432,0.0347491
0.0632566,-0.0572388,0.00299432,0.0347491
0.0832246,-0.0572388,0.00299432,0.0347491
0.10319,-0.0572385,0.00299436,0.0347492
0.123215,-0.0572385,0.00299436,0.0347492
0.143263,-0.0572385,0.00299436,0.0347492
0.163229,-0.0572385,0.00299436,0.0347492
0.183219,-0.0572385,0.00299436,0.0347492
0.203275,-0.0572385,0.00299436,0.0347492
0.223268,-0.0572388,0.00299432,0.0347491
0.243203,-0.0572388,0.00299432,0.0347491
0.263208,-0.0572388,0.00299432,0.0347491
0.283217,-0.0572388,0.00299432,0.0347491
0.303374,-0.0572385,0.00299436,0.0347492
0.323172,-0.0572385,0.00299436,0.0347492
0.343214,-0.0572385,0.00299436,0.0347492
0.363225,-0.0572379,0.00299428,0.0347494
0.383221,-0.0572379,0.00299428,0.0347494
0.403256,-0.0572379,0.00299428,0.0347494
0.423272,-0.0572656,0.0029945,0.0347473
0.443247,-0.0572656,0.0029945,0.0347473
0.463436,-0.0572656,0.0029945,0.0347473
0.483236,-0.0572611,0.00299412,0.0347475
0.503279,-0.0572611,0.00299412,0.0347475
0.523696,-0.0572611,0.00299412,0.0347475
0.543224,-0.0572611,0.00299412,0.0347475
0.563221,-0.0572605,0.00299406,0.0347477
0.583225,-0.0572605,0.00299406,0.0347477
0.603517,-0.0572605,0.00299406,0.0347477
0.623178,-0.0572585,0.0029942,0.0347478
0.643216,-0.0572585,0.0029942,0.0347478
0.663306,-0.0572585,0.0029942,0.0347478
0.683216,-0.0572492,0.00299306,0.0347477
0.703182,-0.0572492,0.00299306,0.0347477
0.723343,-0.0572492,0.00299306,0.0347477
0.743198,-0.0572427,0.00299199,0.0347486
0.763263,-0.0572427,0.00299199,0.0347486
0.783243,-0.0572427,0.00299199,0.0347486
0.803174,-0.0572283,0.00299329,0.0347491
0.823264,-0.0572283,0.00299329,0.0347491
0.843223,-0.0572283,0.00299329,0.0347491
0.863253,-0.0572283,0.00299329,0.0347491
0.883213,-0.0572263,0.00299348,0.0347495
0.903216,-0.0572263,0.00299348,0.0347495
0.923266,-0.0572263,0.00299348,0.0347495
0.943335,-0.057254,0.00299392,0.0347476
0.9634,-0.057254,0.00299392,0.0347476
0.983261,-0.057254,0.00299392,0.0347476
1.00325,-0.0572528,0.00299381,0.0347477
1.02321,-0.0572528,0.00299381,0.0347477
1.04324,-0.0572528,0.00299381,0.0347477
1.06323,-0.0572528,0.00299381,0.0347477
1.08321,-0.0572482,0.00299331,0.0347479
