Timestamp,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.00528712,9.36814e-05,15.9145,-0.420118,19.6165,0.0133415,0.00334983,-5.77671e-05
0.00583247,9.72276e-05,15.9145,-0.420114,19.6164,0.0133442,0.00336636,-5.75921e-05
0.00680434,9.54484e-05,15.9145,-0.420116,19.6165,0.0133429,0.00335778,-5.76802e-05
0.00789129,9.54484e-05,15.9145,-0.420116,19.6165,0.0133429,0.00335778,-5.76802e-05
0.00905309,9.41139e-05,15.9145,-0.420116,19.6164,0.0133441,0.00336588,-5.82103e-05
0.0098475,9.54544e-05,15.9145,-0.420115,19.6165,0.0133428,0.00335742,-5.76797e-05
0.0108176,9.23453e-05,15.9145,-0.420117,19.6165,0.0133427,0.00335729,-5.82972e-05
0.0119349,9.5456e-05,15.9145,-0.420114,19.6165,0.0133428,0.00335708,-5.76796e-05
0.0128821,9.23464e-05,15.9145,-0.420117,19.6165,0.0133427,0.00335696,-5.82971e-05
0.0138276,9.05681e-05,15.9145,-0.420118,19.6165,0.0133413,0.00334837,-5.83852e-05
0.0147889,9.23453e-05,15.9145,-0.420116,19.6165,0.0133427,0.00335663,-5.82972e-05
0.0158274,9.72317e-05,15.9145,-0.420111,19.6164,0.0133441,0.0033647,-5.75917e-05
0.0168561,9.23441e-05,15.9145,-0.420115,19.6165,0.0133426,0.00335632,-5.82972e-05
0.0178051,9.54533e-05,15.9145,-0.420112,19.6165,0.0133427,0.00335611,-5.76799e-05
0.0190028,9.23475e-05,15.9145,-0.420115,19.6165,0.0133426,0.00335596,-5.82971e-05
0.0200343,9.54563e-05,15.9145,-0.420112,19.6165,0.0133426,0.00335577,-5.76795e-05
0.0208041,9.23463e-05,15.9145,-0.420114,19.6165,0.0133426,0.00335564,-5.82971e-05
0.0218979,9.54552e-05,15.9145,-0.420111,19.6165,0.0133426,0.00335544,-5.76797e-05
0.0228996,9.23463e-05,15.9145,-0.420113,19.6165,0.0133425,0.00335531,-5.82971e-05
0.0238786,9.54555e-05,15.9145,-0.42011,19.6165,0.0133426,0.00335511,-5.76796e-05
0.024892,9.23465e-05,15.9145,-0.420113,19.6165,0.0133425,0.00335498,-5.82971e-05
0.0259039,9.54557e-05,15.9145,-0.42011,19.6165,0.0133425,0.00335478,-5.76796e-05
0.0268596,9.23468e-05,15.9145,-0.420112,19.6165,0.0133425,0.00335465,-5.82971e-05
0.0278638,9.5456e-05,15.9145,-0.420109,19.6165,0.0133425,0.00335445,-5.76796e-05
0.028881,9.23476e-05,15.9145,-0.420111,19.6165,0.0133424,0.00335432,-5.8297e-05
0.029876,9.54561e-05,15.9145,-0.420108,19.6165,0.0133425,0.00335412,-5.76796e-05
0.0309777,9.23472e-05,15.9145,-0.420111,19.6165,0.0133424,0.00335399,-5.82971e-05
0.031884,9.54564e-05,15.9145,-0.420108,19.6165,0.0133424,0.00335379,-5.76796e-05
0.0331423,9.23475e-05,15.9145,-0.42011,19.6165,0.0133423,0.00335366,-5.8297e-05
0.0341387,9.41165e-05,15.9145,-0.420108,19.6164,0.0133437,0.00336193,-5.821e-05
0.0348314,9.23478e-05,15.9145,-0.420109,19.6165,0.0133423,0.00335333,-5.8297e-05
0.0359967,9.36879e-05,15.9146,-0.420108,19.6165,0.013341,0.00334486,-5.77666e-05
0.0368943,9.23504e-05,15.9145,-0.420109,19.6165,0.0133423,0.00335299,-5.82968e-05
0.0378663,9.54583e-05,15.9145,-0.420106,19.6165,0.0133423,0.00335279,-5.76794e-05
0.0389921,9.23465e-05,15.9145,-0.420108,19.6165,0.0133422,0.00335269,-5.82971e-05
0.0397988,9.54561e-05,15.9145,-0.420105,19.6165,0.0133423,0.00335247,-5.76796e-05
0.0408777,9.23482e-05,15.9145,-0.420107,19.6165,0.0133422,0.00335234,-5.8297e-05
0.0418686,9.54576e-05,15.9145,-0.420104,19.6165,0.0133422,0.00335214,-5.76795e-05
0.04289,9.23487e-05,15.9145,-0.420107,19.6165,0.0133422,0.00335201,-5.8297e-05
0.0438245,9.54579e-05,15.9145,-0.420104,19.6165,0.0133422,0.00335181,-5.76795e-05
0.0449187,9.2349e-05,15.9145,-0.420106,19.6165,0.0133421,0.00335168,-5.82969e-05
0.0458791,9.54581e-05,15.9146,-0.420103,19.6165,0.0133422,0.00335148,-5.76794e-05
0.0471095,9.23492e-05,15.9146,-0.420105,19.6165,0.0133421,0.00335135,-5.82969e-05
0.0480461,9.54584e-05,15.9146,-0.420102,19.6165,0.0133421,0.00335115,-5.76794e-05
0.0489592,9.23494e-05,15.9146,-0.420105,19.6165,0.0133421,0.00335102,-5.82969e-05
0.0498115,9.54586e-05,15.9146,-0.420102,19.6165,0.0133421,0.00335082,-5.76794e-05
0.0508359,9.23497e-05,15.9146,-0.420104,19.6165,0.013342,0.00335069,-5.82969e-05
0.0518725,9.54588e-05,15.9146,-0.420101,19.6165,0.0133421,0.00335049,-5.76794e-05
0.0529485,9.23499e-05,15.9146,-0.420103,19.6165,0.013342,0.00335036,-5.82969e-05
0.0538481,9.54591e-05,15.9146,-0.4201,19.6165,0.013342,0.00335016,-5.76794e-05
0.0549634,9.23502e-05,15.9146,-0.420103,19.6165,0.013342,0.00335003,-5.82969e-05
0.0559121,9.54593e-05,15.9146,-0.4201,19.6165,0.013342,0.00334983,-5.76794e-05
0.0569316,9.23504e-05,15.9146,-0.420102,19.6165,0.0133419,0.0033497,-5.82968e-05
0.0578374,9.54596e-05,15.9146,-0.420099,19.6165,0.013342,0.0033495,-5.76793e-05
0.0587862,9.23507e-05,15.9146,-0.420101,19.6165,0.0133419,0.00334937,-5.82968e-05
0.0598113,9.54598e-05,15.9146,-0.420098,19.6165,0.0133419,0.00334917,-5.76793e-05
0.0609089,9.23509e-05,15.9146,-0.420101,19.6165,0.0133418,0.00334904,-5.82968e-05
0.0617949,9.546e-05,15.9146,-0.420098,19.6165,0.0133419,0.00334884,-5.76793e-05
0.0627866,9.23511e-05,15.9146,-0.4201,19.6165,0.0133418,0.00334871,-5.82968e-05
0.0638721,9.54603e-05,15.9146,-0.420097,19.6165,0.0133418,0.00334851,-5.76793e-05
0.0648179,9.23514e-05,15.9146,-0.4201,19.6165,0.0133418,0.00334838,-5.82968e-05
0.0658164,9.54605e-05,15.9146,-0.420096,19.6165,0.0133418,0.00334818,-5.76793e-05
0.0668671,9.23516e-05,15.9146,-0.420099,19.6165,0.0133417,0.00334805,-5.82968e-05
0.0678208,9.54608e-05,15.9146,-0.420096,19.6165,0.0133418,0.00334785,-5.76793e-05
0.0688149,9.23519e-05,15.9146,-0.420098,19.6165,0.0133417,0.00334772,-5.82967e-05
0.0699995,9.5461e-05,15.9146,-0.420095,19.6165,0.0133417,0.00334752,-5.76792e-05
0.0708348,9.23521e-05,15.9146,-0.420098,19.6165,0.0133417,0.00334739,-5.82967e-05
0.071956,9.54612e-05,15.9146,-0.420095,19.6165,0.0133417,0.00334719,-5.76792e-05
0.0733623,9.23523e-05,15.9146,-0.420097,19.6165,0.0133416,0.00334706,-5.82967e-05
0.0739517,9.54615e-05,15.9146,-0.420094,19.6165,0.0133417,0.00334686,-5.76792e-05
0.0749603,9.23526e-05,15.9146,-0.420096,19.6165,0.0133416,0.00334673,-5.82967e-05
