Timestamp,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.00856099,-0.000141858,11.171,-0.919773,19.5884,-0.0120883,0.0134768,-6.30999e-05
0.0093923,-0.000151442,11.1711,-0.919782,19.5885,-0.0120915,0.0134618,-6.32892e-05
0.010102,-0.000141855,11.171,-0.919772,19.5884,-0.0120884,0.0134765,-6.30995e-05
0.0107444,-0.000145578,11.171,-0.919776,19.5885,-0.0120899,0.013469,-6.29826e-05
0.0118907,-0.000141903,11.171,-0.919771,19.5884,-0.0120884,0.0134761,-6.31083e-05
0.0127237,-0.000135349,11.171,-0.919765,19.5884,-0.0120869,0.0134832,-6.26677e-05
0.0138529,-0.000130557,11.171,-0.91976,19.5884,-0.0120854,0.0134906,-6.25731e-05
0.0151622,-0.000140134,11.171,-0.919769,19.5884,-0.0120885,0.0134755,-6.27614e-05
0.016025,-0.000140134,11.171,-0.919769,19.5884,-0.0120885,0.0134755,-6.27614e-05
0.0169134,-0.000137056,11.171,-0.919765,19.5884,-0.012087,0.0134828,-6.30037e-05
0.0176327,-0.000141846,11.171,-0.919769,19.5884,-0.0120886,0.0134752,-6.30981e-05
0.0191617,-0.000132259,11.171,-0.919759,19.5884,-0.0120855,0.0134899,-6.29084e-05
0.0201865,-0.00014185,11.171,-0.919768,19.5884,-0.0120886,0.0134749,-6.30986e-05
0.02064,-0.00014185,11.171,-0.919768,19.5884,-0.0120886,0.0134749,-6.30986e-05
0.021448,-0.000135339,11.171,-0.919761,19.5884,-0.0120871,0.013482,-6.26664e-05
0.0224376,-0.000140131,11.171,-0.919765,19.5884,-0.0120887,0.0134744,-6.27609e-05
0.0234131,-0.000137055,11.171,-0.919762,19.5884,-0.0120871,0.0134817,-6.30036e-05
0.0244607,-0.000132259,11.171,-0.919757,19.5884,-0.0120856,0.013489,-6.29085e-05
0.0254381,-0.000141846,11.171,-0.919766,19.5884,-0.0120887,0.013474,-6.30983e-05
0.0264572,-0.00013533,11.171,-0.919759,19.5884,-0.0120873,0.0134811,-6.26653e-05
0.0276089,-0.000130539,11.171,-0.919754,19.5884,-0.0120857,0.0134885,-6.25707e-05
0.0284633,-0.000140129,11.171,-0.919763,19.5884,-0.0120888,0.0134735,-6.27609e-05
0.0294955,-0.000130542,11.171,-0.919754,19.5884,-0.0120857,0.0134882,-6.25711e-05
0.0304482,-0.000137052,11.171,-0.919759,19.5884,-0.0120873,0.0134808,-6.30033e-05
0.0314368,-0.000141845,11.171,-0.919763,19.5885,-0.0120889,0.0134731,-6.30982e-05
0.0323854,-0.000132257,11.171,-0.919754,19.5884,-0.0120858,0.0134878,-6.29085e-05
