Timestamp,x,y,z,R,P,Y
0.00897129,0.380542,-0.00166228,0.904851,0.007667,-0.0155404,0.0315887
0.00956952,0.380542,-0.00166228,0.904851,0.007667,-0.0155404,0.0315887
0.0103084,0.380542,-0.00166229,0.904851,0.00766702,-0.0155403,0.0315887
0.0113752,0.380542,-0.00166231,0.904851,0.00766708,-0.0155401,0.0315887
0.0123255,0.380542,-0.00166232,0.904851,0.0076671,-0.0155399,0.0315887
0.0132946,0.380542,-0.00166232,0.904851,0.0076671,-0.0155399,0.0315887
0.0143354,0.380542,-0.00166234,0.904851,0.00766716,-0.0155397,0.0315887
0.0153402,0.380542,-0.00166234,0.904851,0.00766716,-0.0155397,0.0315887
0.0162483,0.380542,-0.00166236,0.904851,0.00766718,-0.0155396,0.0315887
0.0173207,0.380542,-0.00166238,0.904851,0.00766724,-0.0155394,0.0315887
0.0183774,0.380542,-0.00166238,0.904851,0.00766724,-0.0155394,0.0315887
0.0194176,0.380542,-0.0016624,0.904851,0.00766729,-0.0155391,0.0315887
0.02023,0.380542,-0.0016624,0.904851,0.00766729,-0.0155391,0.0315887
0.0212685,0.380542,-0.00166241,0.904851,0.00766732,-0.015539,0.0315887
0.0222806,0.380542,-0.00166243,0.904851,0.00766737,-0.0155388,0.0315887
0.0232591,0.380542,-0.00166244,0.904851,0.0076674,-0.0155387,0.0315887
0.024323,0.380542,-0.00166244,0.904851,0.0076674,-0.0155387,0.0315887
0.025258,0.380542,-0.00166246,0.904851,0.00766745,-0.0155384,0.0315887
0.0262766,0.380542,-0.00166247,0.904851,0.00766748,-0.0155383,0.0315887
0.027583,0.380542,-0.00166247,0.904851,0.00766748,-0.0155383,0.0315887
0.0282802,0.380542,-0.00166249,0.90485,0.00766753,-0.0155381,0.0315888
0.0292579,0.380542,-0.00166249,0.90485,0.00766753,-0.0155381,0.0315888
0.0302596,0.380542,-0.0016625,0.90485,0.00766756,-0.0155379,0.0315888
0.0312963,0.380542,-0.00166252,0.90485,0.00766761,-0.0155377,0.0315888
0.0322192,0.380542,-0.00166252,0.90485,0.00766761,-0.0155377,0.0315888
0.0332922,0.380542,-0.00166253,0.90485,0.00766764,-0.0155376,0.0315888
0.0342742,0.380542,-0.00166256,0.90485,0.00766769,-0.0155374,0.0315888
0.0352294,0.380542,-0.00166257,0.90485,0.00766772,-0.0155372,0.0315888
0.0363377,0.380542,-0.00166257,0.90485,0.00766772,-0.0155372,0.0315888
0.0373868,0.380542,-0.00166259,0.90485,0.00766777,-0.015537,0.0315888
0.0382756,0.380542,-0.00166259,0.90485,0.00766777,-0.015537,0.0315888
0.0392962,0.380542,-0.0016626,0.90485,0.0076678,-0.0155369,0.0315888
0.0403287,0.380542,-0.00166261,0.90485,0.00766783,-0.0155368,0.0315888
0.0413196,0.380542,-0.00166262,0.90485,0.00766785,-0.0155367,0.0315888
0.0422902,0.380542,-0.00166264,0.90485,0.00766791,-0.0155364,0.0315888
0.0432628,0.380542,-0.00166264,0.90485,0.00766791,-0.0155364,0.0315888
0.0442586,0.380542,-0.00166265,0.90485,0.00766793,-0.0155363,0.0315888
0.0452432,0.380542,-0.00166265,0.90485,0.00766793,-0.0155363,0.0315888
0.0462888,0.380543,-0.00166267,0.90485,0.00766799,-0.0155361,0.0315888
0.0474011,0.380543,-0.00166269,0.90485,0.00766804,-0.0155358,0.0315888
0.0483089,0.380543,-0.00166269,0.90485,0.00766804,-0.0155358,0.0315888
0.0493263,0.380543,-0.0016627,0.90485,0.00766807,-0.0155357,0.0315888
0.0502915,0.380543,-0.00166272,0.90485,0.00766812,-0.0155355,0.0315888
0.0512996,0.380543,-0.00166272,0.90485,0.00766812,-0.0155355,0.0315888
0.0523033,0.380543,-0.00166273,0.90485,0.00766815,-0.0155354,0.0315888
0.0532732,0.380543,-0.00166276,0.90485,0.0076682,-0.0155351,0.0315888
0.0542684,0.380543,-0.00166276,0.90485,0.0076682,-0.0155351,0.0315888
0.0552612,0.380543,-0.00166277,0.90485,0.00766823,-0.015535,0.0315888
0.0564132,0.380543,-0.00166278,0.90485,0.00766825,-0.0155349,0.0315889
0.0573296,0.380543,-0.00166279,0.90485,0.00766828,-0.0155348,0.0315889
0.0582728,0.380543,-0.0016628,0.90485,0.00766831,-0.0155347,0.0315889
0.0592896,0.380543,-0.00166281,0.90485,0.00766833,-0.0155345,0.0315889
0.0602811,0.380543,-0.00166281,0.90485,0.00766833,-0.0155345,0.0315889
0.0612644,0.380543,-0.00166283,0.90485,0.00766839,-0.0155343,0.0315889
0.0622969,0.380543,-0.00166285,0.90485,0.00766844,-0.0155341,0.0315889
0.0632527,0.380543,-0.00166285,0.90485,0.00766844,-0.0155341,0.0315889
0.0642598,0.380543,-0.00166286,0.90485,0.00766847,-0.015534,0.0315889
