Timestamp,X_obj,Y_obj
0.0183045,-0.0361558,-0.00114143,0.0347369
0.0382878,-0.0361558,-0.00114143,0.0347369
0.0582446,-0.0361569,-0.00114164,0.0347369
0.0783004,-0.0361569,-0.00114164,0.0347369
0.0984134,-0.0361569,-0.00114164,0.0347369
0.118356,-0.036157,-0.00114161,0.0347369
0.138311,-0.036157,-0.00114161,0.0347369
0.158249,-0.036157,-0.00114161,0.0347369
0.178358,-0.0361569,-0.00114164,0.0347369
0.198297,-0.0361569,-0.00114164,0.0347369
0.218284,-0.0361569,-0.00114164,0.0347369
0.2383,-0.0361569,-0.00114164,0.0347369
0.258334,-0.0361569,-0.00114163,0.0347369
0.278273,-0.0361569,-0.00114163,0.0347369
0.298291,-0.0361569,-0.00114163,0.0347369
0.318324,-0.0361572,-0.00114168,0.0347369
0.338309,-0.0361572,-0.00114168,0.0347369
0.358307,-0.0361572,-0.00114168,0.0347369
0.37828,-0.0361569,-0.00114164,0.0347369
0.398289,-0.0361569,-0.00114164,0.0347369
0.418286,-0.0361569,-0.00114164,0.0347369
0.43837,-0.0361729,-0.00113225,0.0347432
0.45829,-0.0361729,-0.00113225,0.0347432
0.478295,-0.0361729,-0.00113225,0.0347432
0.498357,-0.036169,-0.0011335,0.0347436
0.518292,-0.036169,-0.0011335,0.0347436
0.538277,-0.036169,-0.0011335,0.0347436
0.558208,-0.036169,-0.0011335,0.0347436
0.578227,-0.0361728,-0.00113328,0.0347431
0.598294,-0.0361728,-0.00113328,0.0347431
0.618262,-0.0361728,-0.00113328,0.0347431
0.63827,-0.036164,-0.00113336,0.0347439
0.658251,-0.036164,-0.00113336,0.0347439
0.678301,-0.036164,-0.00113336,0.0347439
0.698303,-0.0361655,-0.00113343,0.0347437
0.718277,-0.0361655,-0.00113343,0.0347437
0.738284,-0.0361655,-0.00113343,0.0347437
0.758243,-0.0361642,-0.00113219,0.0347438
0.778264,-0.0361642,-0.00113219,0.0347438
0.798251,-0.0361642,-0.00113219,0.0347438
0.81896,-0.0361642,-0.00113219,0.0347438
0.838333,-0.0361776,-0.00113153,0.0347438
0.858265,-0.0361776,-0.00113153,0.0347438
0.878294,-0.0361776,-0.00113153,0.0347438
0.898262,-0.036174,-0.00113202,0.0347434
0.918265,-0.036174,-0.00113202,0.0347434
0.938265,-0.036174,-0.00113202,0.0347434
0.958285,-0.036174,-0.00113202,0.0347434
0.978292,-0.0361734,-0.00113176,0.0347434
0.998284,-0.0361734,-0.00113176,0.0347434
1.01828,-0.0361734,-0.00113176,0.0347434
1.0386,-0.036173,-0.00113126,0.0347435
1.0585,-0.036173,-0.00113126,0.0347435
1.07829,-0.036173,-0.00113126,0.0347435
1.09835,-0.0361782,-0.00113228,0.0347437
1.11828,-0.0361782,-0.00113228,0.0347437
1.13828,-0.0361782,-0.00113228,0.0347437
1.15827,-0.0361782,-0.00113228,0.0347437
1.17825,-0.0361832,-0.00113187,0.0347427
1.19825,-0.0361832,-0.00113187,0.0347427
1.21828,-0.0361832,-0.00113187,0.0347427
1.23831,-0.0361796,-0.00113152,0.0347436
1.25825,-0.0361796,-0.00113152,0.0347436
1.27841,-0.0361796,-0.00113152,0.0347436
1.29834,-0.0361796,-0.00113152,0.0347436
1.31827,-0.0361878,-0.00113488,0.0347432
1.33862,-0.0361878,-0.00113488,0.0347432
1.35826,-0.0361878,-0.00113488,0.0347432
1.37829,-0.0361742,-0.00128771,0.0347414
1.39836,-0.0361742,-0.00128771,0.0347414
1.41828,-0.0361742,-0.00128771,0.0347414
1.43841,-0.0364218,-0.00185623,0.0347368
1.45829,-0.0364218,-0.00185623,0.0347368
1.47851,-0.0364218,-0.00185623,0.0347368
1.49829,-0.0368528,-0.00308688,0.0347481
1.51828,-0.0368528,-0.00308688,0.0347481
1.53833,-0.0368528,-0.00308688,0.0347481
1.55836,-0.0373773,-0.00491237,0.0347442
1.57846,-0.0373773,-0.00491237,0.0347442
1.59824,-0.0373773,-0.00491237,0.0347442
1.6183,-0.0373773,-0.00491237,0.0347442
1.63832,-0.038284,-0.00759218,0.0347474
1.65827,-0.038284,-0.00759218,0.0347474
1.67827,-0.038284,-0.00759218,0.0347474
1.69832,-0.0392214,-0.0109201,0.0347275
1.71837,-0.0392214,-0.0109201,0.0347275
1.7383,-0.0392214,-0.0109201,0.0347275
