Timestamp,X_hat,Y_hat
0.00781406,-0.038599,-0.00103186,0
0.00851856,-0.0385989,-0.0010323,0
0.00947738,-0.0385989,-0.00103217,0
0.0104701,-0.038599,-0.0010318,0
0.0115164,-0.0385989,-0.00103228,0
0.0124631,-0.038599,-0.00103185,0
0.0134527,-0.0385989,-0.00103229,0
0.0144932,-0.038599,-0.00103186,0
0.0155401,-0.0385989,-0.0010323,0
0.0164769,-0.038599,-0.00103186,0
0.0175061,-0.0385989,-0.0010323,0
0.0184952,-0.0385989,-0.00103186,0
0.0194786,-0.0385989,-0.0010323,0
0.0204784,-0.0385989,-0.00103186,0
0.0214647,-0.0385989,-0.0010323,0
0.0224888,-0.0385989,-0.00103186,0
0.0234659,-0.0385989,-0.0010317,0
0.0245348,-0.038599,-0.00103163,0
0.0254623,-0.0385989,-0.00103222,0
0.0264843,-0.0385989,-0.00103183,0
0.0276198,-0.0385988,-0.0010323,0
0.0284736,-0.0385989,-0.00103186,0
0.0295078,-0.0385988,-0.00103231,0
0.0305112,-0.0385989,-0.00103187,0
0.0314601,-0.0385988,-0.00103231,0
0.0324631,-0.0385989,-0.00103187,0
0.0334665,-0.0385988,-0.00103231,0
0.0345102,-0.0385989,-0.00103187,0
0.0354961,-0.0385988,-0.00103231,0
0.0365933,-0.0385989,-0.00103218,0
0.0376497,-0.0385989,-0.00103181,0
0.0385398,-0.0385988,-0.0010323,0
0.0396132,-0.0385989,-0.00103187,0
0.0405662,-0.0385988,-0.00103231,0
0.0415349,-0.0385989,-0.00103187,0
0.0425425,-0.0385988,-0.00103232,0
0.04348,-0.0385989,-0.00103188,0
0.0444911,-0.0385988,-0.00103232,0
0.0454838,-0.0385989,-0.00103188,0
0.0465058,-0.0385988,-0.00103232,0
0.0475585,-0.0385989,-0.00103188,0
0.0485141,-0.0385988,-0.00103232,0
0.0495251,-0.0385989,-0.00103188,0
0.050498,-0.0385988,-0.00103232,0
0.0515249,-0.0385989,-0.00103188,0
0.0525236,-0.0385988,-0.00103232,0
0.0535239,-0.0385988,-0.00103188,0
0.054494,-0.0385988,-0.00103232,0
0.0554818,-0.0385988,-0.00103188,0
0.0568401,-0.0385988,-0.00103233,0
0.0574968,-0.0385988,-0.00103189,0
0.0587693,-0.0385992,-0.00103178,0
0.0598141,-0.0385993,-0.00103174,0
0.0606715,-0.0385993,-0.00103234,0
0.0614874,-0.0385993,-0.00103256,0
0.0624106,-0.0385993,-0.00103235,0
0.0634642,-0.0385993,-0.00103258,0
0.0644501,-0.0385992,-0.00103266,0
0.0658252,-0.0385993,-0.00103269,0
0.066474,-0.0385993,-0.00103209,0
0.0674885,-0.0385994,-0.00103186,0
0.0685052,-0.0385994,-0.00103178,0
0.0695535,-0.0385993,-0.00103235,0
0.0704666,-0.0385993,-0.00103257,0
0.0714854,-0.0385993,-0.00103266,0
0.0724624,-0.0385993,-0.00103208,0
0.0734588,-0.0385993,-0.00103247,0
0.0744705,-0.0385993,-0.00103201,0
0.0754756,-0.0385993,-0.00103245,0
0.0765087,-0.0385993,-0.001032,0
0.0774611,-0.0385993,-0.00103244,0
0.078446,-0.0385993,-0.001032,0
0.079487,-0.0385993,-0.00103244,0
0.0804853,-0.0385993,-0.001032,0
0.0814888,-0.0385992,-0.00103245,0
0.082571,-0.0385993,-0.001032,0
0.0835632,-0.0385993,-0.00103245,0
0.0844736,-0.0385993,-0.00103201,0
0.0855144,-0.0385992,-0.00103245,0
0.0865373,-0.0385993,-0.00103201,0
0.087473,-0.0385992,-0.00103245,0
0.0885013,-0.0385993,-0.00103232,0
0.0894698,-0.0385993,-0.00103195,0
0.0905031,-0.0385992,-0.00103243,0
0.0914665,-0.0385993,-0.001032,0
0.0924564,-0.0385992,-0.00103245,0
0.0935409,-0.0385992,-0.00103262,0
0.0944985,-0.0385992,-0.00103268,0
0.0954779,-0.0385993,-0.0010321,0
0.0964967,-0.0385992,-0.00103249,0
0.0974597,-0.0385993,-0.00103203,0
0.0985188,-0.0385992,-0.00103246,0
0.0995351,-0.0385993,-0.00103202,0
0.100527,-0.0385992,-0.00103246,0
0.101513,-0.0385993,-0.00103202,0
0.102563,-0.0385992,-0.00103246,0
0.103625,-0.0385993,-0.00103202,0
0.104508,-0.0385992,-0.00103246,0
0.105524,-0.0385992,-0.00103263,0
0.106526,-0.0385991,-0.00103269,0
0.107605,-0.0385992,-0.00103211,0
0.108546,-0.0385992,-0.0010325,0
0.109633,-0.0385991,-0.00103264,0
0.110709,-0.0385991,-0.0010327,0
0.111555,-0.0385991,-0.00103272,0
0.112507,-0.0385991,-0.00103273,0
0.113481,-0.0385992,-0.00103244,0
0.114682,-0.0385992,-0.00103232,0
0.11547,-0.0385992,-0.00103196,0
0.116763,-0.0385992,-0.00103245,0
0.117493,-0.0385991,-0.00103263,0
0.118492,-0.0385991,-0.0010327,0
0.119533,-0.0385991,-0.00103272,0
0.120637,-0.0385992,-0.00103212,0
0.121494,-0.0385992,-0.0010325,0
0.122548,-0.0385993,-0.00103203,0
0.123506,-0.0385992,-0.00103246,0
0.124518,-0.0385993,-0.00103202,0
0.125468,-0.0385992,-0.00103246,0
0.126459,-0.0385992,-0.00103202,0
0.127466,-0.0385993,-0.00103185,0
0.128536,-0.0385993,-0.00103179,0
0.129537,-0.0385992,-0.00103237,0
0.130468,-0.0385991,-0.0010326,0
0.131417,-0.0385991,-0.00103268,0
0.132511,-0.0385992,-0.00103211,0
0.133464,-0.0385992,-0.0010325,0
0.13463,-0.0385992,-0.00103204,0
0.135525,-0.0385992,-0.00103247,0
0.136579,-0.0385992,-0.00103203,0
0.13756,-0.0385991,-0.00103247,0
0.138492,-0.0385992,-0.00103203,0
0.139496,-0.0385991,-0.00103247,0
0.140559,-0.0385991,-0.00103264,0
0.141558,-0.0385992,-0.0010324,0
0.142787,-0.0385992,-0.00103199,0
0.143516,-0.0385991,-0.00103246,0
0.144534,-0.0385992,-0.00103203,0
0.14551,-0.0385991,-0.00103247,0
0.146622,-0.0385992,-0.00103203,0
0.147889,-0.0385991,-0.00103247,0
0.148548,-0.0385992,-0.00103203,0
0.149499,-0.0385991,-0.00103247,0
0.15053,-0.0385992,-0.00103203,0
0.151565,-0.0385991,-0.00103248,0
0.152623,-0.0385992,-0.00103204,0
0.153538,-0.0385991,-0.00103248,0
0.154631,-0.0385992,-0.00103204,0
0.155859,-0.0385991,-0.00103248,0
0.156549,-0.0385992,-0.00103204,0
0.157619,-0.0385991,-0.00103248,0
0.158593,-0.0385992,-0.00103204,0
0.159616,-0.0385991,-0.00103248,0
0.160509,-0.0385992,-0.00103204,0
0.161474,-0.0385991,-0.00103248,0
