Timestamp,X_obj,Y_obj
0.00730195,-0.040672,-0.000833924,0.0353641
0.00813952,-0.040672,-0.000833913,0.0353641
0.00906366,-0.040672,-0.000833902,0.0353642
0.0101121,-0.040672,-0.000833915,0.0353641
0.0110608,-0.040672,-0.000833916,0.0353641
0.0120716,-0.040672,-0.000833905,0.0353642
0.0131035,-0.040672,-0.000833906,0.0353642
0.0140701,-0.040672,-0.000833919,0.0353642
0.0149613,-0.040672,-0.000833908,0.0353642
0.016035,-0.040672,-0.000833921,0.0353642
0.0169975,-0.0406719,-0.000833921,0.0353642
0.0179917,-0.040672,-0.000833911,0.0353642
0.0191743,-0.0406719,-0.000833923,0.0353642
0.0201365,-0.040672,-0.000833913,0.0353642
0.0212222,-0.0406719,-0.000833925,0.0353642
0.0219528,-0.0406719,-0.000833927,0.0353642
0.0237791,-0.040672,-0.000833904,0.0353643
0.024064,-0.0406719,-0.000833917,0.0353642
0.0249891,-0.0406719,-0.000833929,0.0353642
0.0259736,-0.0406719,-0.000833919,0.0353642
0.0269993,-0.0406719,-0.00083392,0.0353642
0.0280223,-0.0406719,-0.000833932,0.0353642
0.0291649,-0.0406719,-0.000833922,0.0353643
0.0299991,-0.0406719,-0.000833934,0.0353642
0.030988,-0.0406719,-0.000833935,0.0353642
0.0320025,-0.0406719,-0.000833925,0.0353643
0.0330228,-0.0406719,-0.000833937,0.0353643
0.0340269,-0.0406719,-0.000833938,0.0353643
0.0350253,-0.0406719,-0.000833927,0.0353643
0.0360037,-0.0406719,-0.000833928,0.0353643
0.0369838,-0.0406719,-0.000833941,0.0353643
0.03821,-0.0406719,-0.00083393,0.0353643
0.0389641,-0.0406719,-0.000833943,0.0353643
0.0400421,-0.0406719,-0.000833943,0.0353643
0.0411256,-0.0406718,-0.000833945,0.0353643
0.0420905,-0.0406718,-0.000833945,0.0353643
0.0430034,-0.0406719,-0.000833935,0.0353643
0.0439839,-0.0406718,-0.000833947,0.0353643
0.0449897,-0.0406718,-0.000833949,0.0353643
0.0467081,-0.0406718,-0.000833938,0.0353643
0.0474141,-0.0406718,-0.000833951,0.0353643
0.0481584,-0.0406718,-0.00083394,0.0353643
0.0490671,-0.0406718,-0.000833953,0.0353643
0.0501254,-0.0406718,-0.000833953,0.0353643
0.0511882,-0.0406718,-0.000833943,0.0353644
0.0521257,-0.0406718,-0.000833955,0.0353643
0.0531995,-0.0406718,-0.000833956,0.0353643
0.0540533,-0.0406718,-0.000833946,0.0353644
0.0550435,-0.0406718,-0.000833958,0.0353644
0.0562255,-0.0406718,-0.000833959,0.0353644
0.0570833,-0.0406718,-0.00083396,0.0353644
0.0588909,-0.0406718,-0.00083395,0.0353644
0.0592598,-0.0406718,-0.000833962,0.0353644
0.0601036,-0.0406718,-0.000833963,0.0353644
0.0619043,-0.0406718,-0.000833952,0.0353644
0.0622119,-0.0406718,-0.000833965,0.0353644
0.0631207,-0.0406718,-0.000833954,0.0353644
0.0647339,-0.0406718,-0.000833955,0.0353644
0.0651597,-0.0406717,-0.000833967,0.0353644
0.0661087,-0.0406717,-0.000833969,0.0353644
0.0677166,-0.0406718,-0.000833958,0.0353644
0.0681686,-0.0406717,-0.000833971,0.0353644
0.0690653,-0.0406718,-0.00083396,0.0353644
0.0708219,-0.0406717,-0.000833961,0.0353645
0.0710875,-0.0406717,-0.000833973,0.0353644
0.071997,-0.0406717,-0.000833963,0.0353645
0.0730445,-0.0406717,-0.000833975,0.0353644
0.0740757,-0.0406717,-0.000833965,0.0353645
0.0749991,-0.0406717,-0.000833966,0.0353645
0.0759966,-0.0406717,-0.000833978,0.0353645
0.0770086,-0.0406717,-0.000833968,0.0353645
0.0780838,-0.0406717,-0.00083398,0.0353645
