Timestamp,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.00560833,8.42546e-05,14.7483,-0.535105,19.6223,0.0133918,-0.00645096,-6.85359e-05
0.00612869,8.13824e-05,14.7483,-0.535107,19.6223,0.0133918,-0.00645104,-6.9105e-05
0.00705051,8.42548e-05,14.7483,-0.535104,19.6223,0.0133918,-0.00645128,-6.85359e-05
0.00805525,8.13827e-05,14.7483,-0.535106,19.6223,0.0133917,-0.00645136,-6.9105e-05
0.00901099,8.42551e-05,14.7483,-0.535104,19.6223,0.0133918,-0.0064516,-6.85359e-05
0.010094,8.1383e-05,14.7483,-0.535106,19.6223,0.0133917,-0.00645168,-6.9105e-05
0.0109926,8.42554e-05,14.7483,-0.535103,19.6223,0.0133917,-0.00645192,-6.85359e-05
0.0119163,8.13833e-05,14.7484,-0.535105,19.6223,0.0133916,-0.006452,-6.9105e-05
0.0129556,8.42557e-05,14.7484,-0.535102,19.6223,0.0133917,-0.00645224,-6.85358e-05
0.0140202,8.13836e-05,14.7484,-0.535104,19.6223,0.0133916,-0.00645232,-6.91049e-05
0.014925,8.4256e-05,14.7484,-0.535101,19.6223,0.0133916,-0.00645256,-6.85358e-05
0.015968,8.13838e-05,14.7484,-0.535103,19.6223,0.0133916,-0.00645264,-6.91049e-05
0.0170715,8.42563e-05,14.7484,-0.535101,19.6223,0.0133916,-0.00645288,-6.85358e-05
0.0179523,8.13841e-05,14.7484,-0.535103,19.6223,0.0133915,-0.00645296,-6.91049e-05
0.0189716,8.42565e-05,14.7484,-0.5351,19.6223,0.0133916,-0.0064532,-6.85358e-05
0.0199135,8.13844e-05,14.7484,-0.535102,19.6223,0.0133915,-0.00645328,-6.91049e-05
0.0209445,8.42568e-05,14.7484,-0.535099,19.6223,0.0133915,-0.00645352,-6.85358e-05
0.02194,8.13847e-05,14.7484,-0.535101,19.6223,0.0133914,-0.0064536,-6.91049e-05
0.0229638,8.42571e-05,14.7484,-0.535098,19.6223,0.0133915,-0.00645384,-6.85357e-05
0.0240106,8.1385e-05,14.7484,-0.5351,19.6223,0.0133914,-0.00645392,-6.91048e-05
0.0249587,8.42574e-05,14.7484,-0.535098,19.6223,0.0133914,-0.00645416,-6.85357e-05
0.0259999,8.13853e-05,14.7484,-0.5351,19.6223,0.0133914,-0.00645424,-6.91048e-05
0.026991,8.42577e-05,14.7484,-0.535097,19.6223,0.0133914,-0.00645448,-6.85357e-05
0.0279619,8.13855e-05,14.7484,-0.535099,19.6223,0.0133913,-0.00645456,-6.91048e-05
0.0289689,8.4258e-05,14.7484,-0.535096,19.6223,0.0133913,-0.00645479,-6.85357e-05
0.0300533,8.13858e-05,14.7484,-0.535098,19.6223,0.0133913,-0.00645488,-6.91048e-05
0.031047,8.42582e-05,14.7484,-0.535095,19.6223,0.0133913,-0.00645511,-6.85357e-05
0.0320352,8.13861e-05,14.7484,-0.535097,19.6223,0.0133912,-0.0064552,-6.91048e-05
0.0331213,8.42585e-05,14.7484,-0.535095,19.6223,0.0133913,-0.00645543,-6.85356e-05
0.033953,8.13864e-05,14.7484,-0.535097,19.6223,0.0133912,-0.00645552,-6.91047e-05
0.0349775,8.42588e-05,14.7484,-0.535094,19.6223,0.0133912,-0.00645575,-6.85356e-05
0.0360528,8.13867e-05,14.7484,-0.535096,19.6223,0.0133912,-0.00645584,-6.91047e-05
0.0369788,8.42591e-05,14.7484,-0.535093,19.6223,0.0133912,-0.00645607,-6.85356e-05
0.0383305,8.1387e-05,14.7484,-0.535095,19.6223,0.0133911,-0.00645616,-6.91047e-05
0.0390941,8.42594e-05,14.7484,-0.535092,19.6223,0.0133911,-0.00645639,-6.85356e-05
0.0400427,8.13872e-05,14.7484,-0.535094,19.6223,0.0133911,-0.00645648,-6.91047e-05
0.0410822,8.42596e-05,14.7484,-0.535092,19.6223,0.0133911,-0.00645671,-6.85356e-05
0.0419617,8.13875e-05,14.7484,-0.535094,19.6223,0.013391,-0.0064568,-6.91047e-05
0.0429697,8.42599e-05,14.7484,-0.535091,19.6223,0.0133911,-0.00645703,-6.85355e-05
0.0440041,8.13878e-05,14.7484,-0.535093,19.6223,0.013391,-0.00645712,-6.91046e-05
0.0449718,8.42602e-05,14.7484,-0.53509,19.6223,0.013391,-0.00645735,-6.85355e-05
0.0459809,8.13881e-05,14.7484,-0.535092,19.6223,0.013391,-0.00645744,-6.91046e-05
0.0470022,8.42605e-05,14.7484,-0.535089,19.6223,0.013391,-0.00645767,-6.85355e-05
0.0479992,8.13884e-05,14.7484,-0.535091,19.6223,0.0133909,-0.00645776,-6.91046e-05
0.0490498,8.42608e-05,14.7484,-0.535089,19.6223,0.0133909,-0.00645799,-6.85355e-05
0.0501533,8.13887e-05,14.7484,-0.535091,19.6223,0.0133909,-0.00645808,-6.91046e-05
0.0509821,8.42611e-05,14.7484,-0.535088,19.6223,0.0133909,-0.00645831,-6.85355e-05
0.0520585,8.13889e-05,14.7484,-0.53509,19.6223,0.0133908,-0.0064584,-6.91046e-05
0.0530582,8.42613e-05,14.7484,-0.535087,19.6223,0.0133909,-0.00645863,-6.85354e-05
0.0541291,8.13892e-05,14.7484,-0.535089,19.6223,0.0133908,-0.00645872,-6.91045e-05
0.0551605,8.42616e-05,14.7484,-0.535086,19.6223,0.0133908,-0.00645895,-6.85354e-05
0.0560051,8.13895e-05,14.7484,-0.535088,19.6223,0.0133907,-0.00645904,-6.91045e-05
0.0571337,8.42619e-05,14.7484,-0.535086,19.6223,0.0133908,-0.00645927,-6.85354e-05
0.0580959,8.67657e-05,14.7484,-0.535083,19.6223,0.0133923,-0.00645127,-6.84321e-05
0.0591319,8.42622e-05,14.7484,-0.535085,19.6223,0.0133907,-0.00645959,-6.85354e-05
0.0602071,8.42622e-05,14.7484,-0.535085,19.6223,0.0133907,-0.00645959,-6.85354e-05
0.0610448,8.42643e-05,14.7484,-0.535084,19.6223,0.0133907,-0.00645992,-6.85353e-05
0.0620433,8.42643e-05,14.7484,-0.535084,19.6223,0.0133907,-0.00645992,-6.85353e-05
0.0629325,8.42627e-05,14.7484,-0.535083,19.6223,0.0133907,-0.00646023,-6.85354e-05
0.0640812,7.8887e-05,14.7485,-0.535088,19.6223,0.013389,-0.00646831,-6.92077e-05
0.0650817,8.3887e-05,14.7484,-0.535083,19.6223,0.0133921,-0.00645232,-6.90019e-05
0.0659668,8.13911e-05,14.7484,-0.535085,19.6223,0.0133905,-0.00646064,-6.91044e-05
0.0670152,8.1765e-05,14.7485,-0.535084,19.6223,0.013389,-0.00646885,-6.86378e-05
0.0679852,8.13924e-05,14.7484,-0.535084,19.6223,0.0133905,-0.00646097,-6.91044e-05
0.0689795,8.42647e-05,14.7484,-0.535081,19.6223,0.0133905,-0.00646119,-6.85352e-05
0.0699821,8.13896e-05,14.7484,-0.535083,19.6223,0.0133905,-0.00646126,-6.91045e-05
0.0710156,8.42624e-05,14.7484,-0.53508,19.6223,0.0133905,-0.0064615,-6.85354e-05
0.0719627,8.13915e-05,14.7484,-0.535082,19.6223,0.0133904,-0.00646159,-6.91044e-05
0.0729943,8.42642e-05,14.7484,-0.53508,19.6223,0.0133905,-0.00646183,-6.85352e-05
0.0740152,8.6768e-05,14.7484,-0.535077,19.6223,0.013392,-0.00645383,-6.84319e-05
0.0749717,8.42645e-05,14.7484,-0.535079,19.6223,0.0133904,-0.00646215,-6.85352e-05
0.0760041,7.88886e-05,14.7485,-0.535083,19.6223,0.0133888,-0.00647023,-6.92076e-05
0.0770413,8.38885e-05,14.7484,-0.535079,19.6223,0.0133919,-0.00645424,-6.90019e-05
0.0779866,8.13943e-05,14.7484,-0.53508,19.6223,0.0133903,-0.00646256,-6.91041e-05
0.0789219,8.13943e-05,14.7484,-0.53508,19.6223,0.0133903,-0.00646256,-6.91041e-05
0.0799269,8.13941e-05,14.7485,-0.535079,19.6223,0.0133903,-0.00646288,-6.91043e-05
0.0809849,8.17702e-05,14.7485,-0.535079,19.6224,0.0133887,-0.00647111,-6.86375e-05
0.0819909,8.13938e-05,14.7485,-0.535079,19.6223,0.0133902,-0.00646319,-6.91042e-05
0.0830592,8.42654e-05,14.7485,-0.535076,19.6223,0.0133902,-0.00646343,-6.85352e-05
0.0839703,8.13912e-05,14.7485,-0.535078,19.6223,0.0133902,-0.0064635,-6.91043e-05
0.0850273,8.38874e-05,14.7484,-0.535076,19.6223,0.0133917,-0.0064555,-6.90019e-05
0.0860256,8.67676e-05,14.7484,-0.535073,19.6223,0.0133918,-0.00645574,-6.8432e-05
0.0869486,8.1772e-05,14.7485,-0.535077,19.6224,0.0133886,-0.00647208,-6.86375e-05
0.0879792,8.42682e-05,14.7485,-0.535074,19.6223,0.0133902,-0.00646408,-6.8535e-05
0.0889919,8.42655e-05,14.7485,-0.535074,19.6223,0.0133901,-0.00646438,-6.85351e-05
0.0900722,8.42655e-05,14.7485,-0.535074,19.6223,0.0133901,-0.00646438,-6.85351e-05
0.0911816,8.38894e-05,14.7484,-0.535073,19.6223,0.0133916,-0.00645647,-6.90018e-05
0.0920444,7.88909e-05,14.7485,-0.535077,19.6224,0.0133885,-0.00647279,-6.92075e-05
0.0929548,8.13947e-05,14.7485,-0.535075,19.6223,0.01339,-0.00646479,-6.91041e-05
0.0942679,8.13946e-05,14.7485,-0.535074,19.6223,0.01339,-0.0064651,-6.9104e-05
0.0949674,8.17697e-05,14.7485,-0.535074,19.6224,0.0133884,-0.00647334,-6.86377e-05
0.0959691,8.67696e-05,14.7484,-0.535069,19.6223,0.0133916,-0.00645734,-6.84319e-05
0.0969876,8.42646e-05,14.7485,-0.535071,19.6223,0.01339,-0.00646565,-6.85352e-05
0.0979393,7.88925e-05,14.7485,-0.535075,19.6224,0.0133883,-0.00647376,-6.92075e-05
0.0989474,8.38924e-05,14.7484,-0.53507,19.6223,0.0133914,-0.00645776,-6.90017e-05
0.100076,8.13943e-05,14.7485,-0.535072,19.6223,0.0133899,-0.00646606,-6.9104e-05
0.101077,8.17725e-05,14.7485,-0.535072,19.6224,0.0133883,-0.00647431,-6.86375e-05
0.102279,8.67725e-05,14.7485,-0.535067,19.6223,0.0133914,-0.00645832,-6.84317e-05
0.10335,8.38938e-05,14.7485,-0.535069,19.6223,0.0133914,-0.0064584,-6.90014e-05
0.10401,8.42658e-05,14.7485,-0.535068,19.6223,0.0133898,-0.00646661,-6.85351e-05
0.105015,8.13971e-05,14.7485,-0.53507,19.6223,0.0133898,-0.00646672,-6.91041e-05
0.106013,8.42722e-05,14.7485,-0.535068,19.6223,0.0133898,-0.00646696,-6.85347e-05
0.107244,8.13984e-05,14.7485,-0.53507,19.6223,0.0133897,-0.00646704,-6.91038e-05
0.10808,8.42693e-05,14.7485,-0.535067,19.6223,0.0133898,-0.00646726,-6.85349e-05
0.109123,8.13969e-05,14.7485,-0.535069,19.6223,0.0133897,-0.00646735,-6.9104e-05
0.110338,8.42692e-05,14.7485,-0.535066,19.6223,0.0133897,-0.00646758,-6.85349e-05
0.111295,8.13972e-05,14.7485,-0.535068,19.6223,0.0133896,-0.00646767,-6.9104e-05
0.112017,8.42695e-05,14.7485,-0.535065,19.6223,0.0133897,-0.0064679,-6.85349e-05
0.113222,8.13975e-05,14.7485,-0.535067,19.6223,0.0133896,-0.00646799,-6.9104e-05
0.11467,8.42698e-05,14.7485,-0.535065,19.6223,0.0133896,-0.00646822,-6.85348e-05
0.115244,8.67736e-05,14.7485,-0.535062,19.6223,0.0133912,-0.00646023,-6.84315e-05
0.116208,8.13978e-05,14.7485,-0.535067,19.6223,0.0133896,-0.00646831,-6.91039e-05
0.116949,8.38939e-05,14.7485,-0.535064,19.6223,0.0133911,-0.00646031,-6.90015e-05
0.118057,8.1776e-05,14.7485,-0.535066,19.6224,0.013388,-0.00647687,-6.86373e-05
0.119121,7.64006e-05,14.7486,-0.53507,19.6224,0.0133864,-0.00648495,-6.93094e-05
0.120198,8.42733e-05,14.7485,-0.535062,19.6223,0.0133895,-0.0064692,-6.85347e-05
0.121118,8.1398e-05,14.7485,-0.535064,19.6223,0.0133894,-0.00646926,-6.91038e-05
0.122144,8.38941e-05,14.7485,-0.535062,19.6223,0.013391,-0.00646126,-6.90013e-05
0.12296,8.13956e-05,14.7485,-0.535064,19.6223,0.0133894,-0.00646958,-6.91042e-05
0.124041,8.17745e-05,14.7485,-0.535063,19.6224,0.0133879,-0.00647782,-6.86372e-05
0.12632,8.13996e-05,14.7485,-0.535063,19.6223,0.0133894,-0.00646991,-6.91038e-05
0.126625,8.13996e-05,14.7485,-0.535063,19.6223,0.0133894,-0.00646991,-6.91038e-05
0.127704,8.67752e-05,14.7485,-0.535058,19.6223,0.013391,-0.00646214,-6.84314e-05
0.128496,8.13998e-05,14.7485,-0.535062,19.6223,0.0133893,-0.00647023,-6.91037e-05
0.129301,8.42717e-05,14.7485,-0.535059,19.6223,0.0133894,-0.00647046,-6.85347e-05
0.130048,8.14019e-05,14.7485,-0.535062,19.6223,0.0133893,-0.00647056,-6.91037e-05
0.131148,8.42755e-05,14.7485,-0.535059,19.6223,0.0133893,-0.0064708,-6.85345e-05
0.132036,8.1402e-05,14.7485,-0.535061,19.6223,0.0133892,-0.00647087,-6.91035e-05
0.133202,8.42727e-05,14.7485,-0.535058,19.6223,0.0133893,-0.0064711,-6.85346e-05
0.134047,7.8897e-05,14.7486,-0.535062,19.6224,0.0133876,-0.00647918,-6.9207e-05
0.134994,8.17764e-05,14.7486,-0.53506,19.6224,0.0133877,-0.00647942,-6.86371e-05
0.136533,8.14005e-05,14.7485,-0.535059,19.6223,0.0133892,-0.00647151,-6.91037e-05
0.136988,8.42707e-05,14.7485,-0.535056,19.6223,0.0133892,-0.00647172,-6.85347e-05
0.138354,8.13972e-05,14.7485,-0.535059,19.6223,0.0133891,-0.00647181,-6.9104e-05
