Timestamp,X_hat,Y_hat
0.0058253,-0.0538807,0.00795823,0
0.00647031,-0.0538799,0.00796229,0
0.00725714,-0.0538807,0.00795822,0
0.00829385,-0.0538799,0.00796228,0
0.00957082,-0.0538807,0.00795823,0
0.0103594,-0.0538799,0.00796228,0
0.0112924,-0.0538806,0.00795822,0
0.0125078,-0.0538799,0.00796228,0
0.0132509,-0.0538807,0.00795822,0
0.0142632,-0.0538799,0.00796228,0
0.015217,-0.0538806,0.00795822,0
0.0166162,-0.0538799,0.00796228,0
0.0174143,-0.0538806,0.00795822,0
0.0182359,-0.0538799,0.00796228,0
0.0194607,-0.0538806,0.00795821,0
0.0203265,-0.0538799,0.00796228,0
0.0212707,-0.0538806,0.00795821,0
0.0222985,-0.0538798,0.00796227,0
0.0232279,-0.0538806,0.00795821,0
0.0242229,-0.0538798,0.00796227,0
0.0252307,-0.0538806,0.0079582,0
0.0262221,-0.0538798,0.00796227,0
0.0272632,-0.0538806,0.00795821,0
0.0283972,-0.0538798,0.00796227,0
0.0292753,-0.0538806,0.0079582,0
0.0303103,-0.0538798,0.00796227,0
0.0312703,-0.0538806,0.0079582,0
0.0322186,-0.0538798,0.00796227,0
0.0332278,-0.0538806,0.0079582,0
0.0342233,-0.0538798,0.00796226,0
0.035674,-0.0538806,0.0079582,0
0.0363181,-0.0538798,0.00796226,0
0.0372837,-0.0538806,0.00795819,0
0.038219,-0.0538798,0.00796226,0
0.0394551,-0.0538806,0.00795819,0
0.040277,-0.0538798,0.00796226,0
0.0413728,-0.0538805,0.00795819,0
0.0422578,-0.0538805,0.00795819,0
0.043237,-0.0538805,0.00795819,0
0.0442226,-0.0538798,0.00796226,0
0.0452661,-0.0538805,0.00795819,0
0.046243,-0.0538797,0.00796225,0
0.0472454,-0.0538805,0.00795818,0
0.0481698,-0.0538797,0.00796225,0
0.0492079,-0.0538805,0.00795818,0
0.0502304,-0.0538797,0.00796225,0
0.0512364,-0.0538805,0.00795818,0
0.052232,-0.0538797,0.00796225,0
0.0532607,-0.0538805,0.00795817,0
0.0542679,-0.0538797,0.00796224,0
0.0552205,-0.0538805,0.00795818,0
0.0562104,-0.0538797,0.00796225,0
