Timestamp,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.00833013,0.000126612,16.1204,-0.363907,19.6235,0.0130486,-0.00309847,-5.46726e-05
0.00876252,0.000123662,16.1204,-0.363909,19.6235,0.0130485,-0.00309858,-5.52571e-05
0.0100136,0.000126615,16.1204,-0.363907,19.6235,0.0130486,-0.00309882,-5.46724e-05
0.010646,0.000123663,16.1204,-0.363909,19.6235,0.0130485,-0.00309892,-5.5257e-05
0.0116998,0.000126614,16.1204,-0.363906,19.6235,0.0130485,-0.00309914,-5.46724e-05
0.0127333,0.000123662,16.1204,-0.363908,19.6235,0.0130485,-0.00309925,-5.52571e-05
0.0136635,0.000126614,16.1204,-0.363905,19.6235,0.0130485,-0.00309947,-5.46724e-05
0.0147204,0.000123663,16.1204,-0.363907,19.6235,0.0130484,-0.00309958,-5.52571e-05
0.0157067,0.000126614,16.1204,-0.363904,19.6235,0.0130485,-0.00309981,-5.46724e-05
0.0167775,0.000123663,16.1204,-0.363907,19.6235,0.0130484,-0.00309991,-5.52571e-05
0.0178034,0.000126614,16.1204,-0.363904,19.6235,0.0130484,-0.00310014,-5.46724e-05
0.0186847,0.000123663,16.1204,-0.363906,19.6235,0.0130483,-0.00310024,-5.52571e-05
0.0197173,0.000126614,16.1204,-0.363903,19.6235,0.0130484,-0.00310047,-5.46724e-05
0.0206868,0.000123663,16.1204,-0.363905,19.6235,0.0130483,-0.00310058,-5.52571e-05
0.021644,0.000126615,16.1204,-0.363902,19.6235,0.0130483,-0.0031008,-5.46724e-05
0.0226853,0.000123664,16.1204,-0.363905,19.6235,0.0130483,-0.00310091,-5.52571e-05
0.0238464,0.000125442,16.1204,-0.363903,19.6235,0.0130497,-0.00309258,-5.51751e-05
0.0247581,0.000123664,16.1204,-0.363904,19.6235,0.0130482,-0.00310124,-5.5257e-05
0.0256418,0.000124837,16.1204,-0.363903,19.6236,0.0130469,-0.0031098,-5.47543e-05
0.0267667,0.000123667,16.1204,-0.363903,19.6235,0.0130482,-0.00310159,-5.52569e-05
0.027694,0.000126617,16.1204,-0.3639,19.6235,0.0130482,-0.00310181,-5.46722e-05
0.0286848,0.000123663,16.1204,-0.363903,19.6235,0.0130482,-0.00310189,-5.52571e-05
0.0297457,0.000126614,16.1204,-0.3639,19.6235,0.0130482,-0.00310213,-5.46724e-05
0.0308017,0.000123664,16.1204,-0.363902,19.6235,0.0130481,-0.00310224,-5.5257e-05
0.031702,0.000126616,16.1204,-0.363899,19.6235,0.0130482,-0.00310247,-5.46723e-05
0.0328793,0.000123665,16.1204,-0.363901,19.6235,0.0130481,-0.00310257,-5.5257e-05
0.0337696,0.000126616,16.1204,-0.363898,19.6235,0.0130481,-0.0031028,-5.46723e-05
0.034809,0.000123665,16.1204,-0.363901,19.6235,0.013048,-0.00310291,-5.5257e-05
0.035744,0.000125443,16.1204,-0.363899,19.6235,0.0130495,-0.00309458,-5.5175e-05
0.036649,0.000123665,16.1204,-0.3639,19.6235,0.013048,-0.00310324,-5.5257e-05
0.0377467,0.000124838,16.1205,-0.363899,19.6236,0.0130466,-0.0031118,-5.47542e-05
0.0386529,0.000123668,16.1204,-0.363899,19.6235,0.013048,-0.00310359,-5.52568e-05
0.0399206,0.000121878,16.1205,-0.3639,19.6236,0.0130465,-0.00311222,-5.53398e-05
0.0410036,0.000123664,16.1204,-0.363899,19.6235,0.0130479,-0.00310389,-5.5257e-05
0.0417979,0.000128402,16.1204,-0.363894,19.6235,0.0130494,-0.00309579,-5.45895e-05
0.0426483,0.000124838,16.1205,-0.363897,19.6236,0.0130465,-0.00311279,-5.47544e-05
0.0436858,0.000126616,16.1204,-0.363895,19.6235,0.0130479,-0.00310446,-5.46724e-05
0.0446785,0.000125446,16.1204,-0.363896,19.6235,0.0130493,-0.00309625,-5.51749e-05
0.0456781,0.000126618,16.1204,-0.363894,19.6235,0.0130479,-0.0031048,-5.46721e-05
0.0470818,0.000128404,16.1204,-0.363893,19.6235,0.0130493,-0.00309647,-5.45893e-05
0.0481051,0.000126621,16.1204,-0.363894,19.6235,0.0130479,-0.00310515,-5.4672e-05
0.0486937,0.000121882,16.1205,-0.363898,19.6236,0.0130464,-0.00311357,-5.53396e-05
0.0496383,0.00012662,16.1205,-0.363893,19.6235,0.0130478,-0.00310548,-5.46722e-05
0.0506787,0.000123668,16.1205,-0.363895,19.6235,0.0130477,-0.00310557,-5.52567e-05
0.0516717,0.000126618,16.1205,-0.363892,19.6235,0.0130478,-0.00310579,-5.46722e-05
0.0526278,0.000123667,16.1205,-0.363895,19.6235,0.0130477,-0.0031059,-5.52568e-05
0.053708,0.000126618,16.1205,-0.363892,19.6235,0.0130478,-0.00310613,-5.46722e-05
0.0547259,0.000123668,16.1205,-0.363894,19.6235,0.0130477,-0.00310623,-5.52567e-05
0.0557061,0.000126619,16.1205,-0.363891,19.6236,0.0130477,-0.00310646,-5.46721e-05
0.0567105,0.000123668,16.1205,-0.363893,19.6236,0.0130476,-0.00310657,-5.52568e-05
0.0578428,0.000126619,16.1205,-0.36389,19.6236,0.0130477,-0.00310679,-5.46721e-05
0.0587132,0.000123668,16.1205,-0.363893,19.6236,0.0130476,-0.0031069,-5.52568e-05
0.0596435,0.000125446,16.1204,-0.363891,19.6235,0.013049,-0.00309857,-5.51748e-05
0.0606821,0.000123669,16.1205,-0.363892,19.6236,0.0130476,-0.00310723,-5.52567e-05
0.0617204,0.000124843,16.1205,-0.363891,19.6236,0.0130462,-0.0031158,-5.4754e-05
0.0626605,0.000128407,16.1204,-0.363887,19.6235,0.013049,-0.00309914,-5.45892e-05
0.0636618,0.000126617,16.1205,-0.363888,19.6236,0.0130476,-0.00310777,-5.46722e-05
0.0646613,0.000121883,16.1205,-0.363892,19.6236,0.0130461,-0.00311624,-5.53397e-05
0.0657378,0.000126621,16.1205,-0.363888,19.6236,0.0130475,-0.00310813,-5.4672e-05
0.0666749,0.000123668,16.1205,-0.36389,19.6236,0.0130475,-0.00310821,-5.52567e-05
0.0676603,0.000126617,16.1205,-0.363887,19.6236,0.0130475,-0.00310843,-5.46722e-05
0.0686393,0.000128403,16.1204,-0.363885,19.6235,0.0130489,-0.0031001,-5.45894e-05
0.0696582,0.000125446,16.1204,-0.363888,19.6235,0.0130488,-0.00310022,-5.51748e-05
0.0707609,0.00012662,16.1205,-0.363886,19.6236,0.0130475,-0.00310879,-5.46721e-05
0.0717918,0.000128406,16.1205,-0.363885,19.6235,0.0130489,-0.00310046,-5.45893e-05
0.0726559,0.000126624,16.1205,-0.363886,19.6236,0.0130474,-0.00310914,-5.46718e-05
0.0736762,0.000121888,16.1205,-0.363889,19.6236,0.0130459,-0.00311758,-5.53393e-05
0.0746807,0.000126624,16.1205,-0.363885,19.6236,0.0130474,-0.00310948,-5.46719e-05
0.0756919,0.00012841,16.1205,-0.363883,19.6235,0.0130488,-0.00310114,-5.4589e-05
0.0766826,0.00012662,16.1205,-0.363884,19.6236,0.0130474,-0.00310977,-5.4672e-05
0.0777461,0.000121883,16.1205,-0.363888,19.6236,0.0130459,-0.00311822,-5.53397e-05
0.0787151,0.000126623,16.1205,-0.363884,19.6236,0.0130473,-0.00311013,-5.4672e-05
0.0796544,0.000128409,16.1205,-0.363882,19.6235,0.0130487,-0.0031018,-5.45891e-05
0.080719,0.00012545,16.1205,-0.363884,19.6235,0.0130486,-0.0031019,-5.51745e-05
0.081727,0.000126621,16.1205,-0.363883,19.6236,0.0130473,-0.00311045,-5.4672e-05
0.0827327,0.000128407,16.1205,-0.363881,19.6235,0.0130487,-0.00310212,-5.45891e-05
