Timestamp,x,y,z,R,P,Y
0.0114344,0.383465,-0.00382497,0.908311,-0.0123904,-0.00668093,0.0462185
0.0121852,0.383465,-0.00382499,0.908311,-0.0123903,-0.00668066,0.0462185
0.0131286,0.383465,-0.00382499,0.908311,-0.0123903,-0.00668066,0.0462185
0.0141903,0.383465,-0.003825,0.908311,-0.0123903,-0.00668053,0.0462185
0.0151131,0.383465,-0.00382501,0.908311,-0.0123903,-0.00668039,0.0462185
0.0161453,0.383465,-0.00382502,0.908311,-0.0123903,-0.00668026,0.0462185
0.0171967,0.383471,-0.00382512,0.908311,-0.01239,-0.00667957,0.0462194
0.018326,0.383501,-0.00382548,0.90831,-0.0123879,-0.0066771,0.046225
0.0191659,0.383501,-0.00382548,0.90831,-0.0123879,-0.0066771,0.046225
0.0201411,0.383525,-0.00382569,0.908309,-0.012386,-0.00667525,0.0462303
0.0211721,0.383586,-0.00382605,0.908305,-0.0123799,-0.00667015,0.0462465
0.0222931,0.383586,-0.00382605,0.908305,-0.0123799,-0.00667015,0.0462465
0.0231198,0.383668,-0.00382618,0.908298,-0.0123705,-0.00666298,0.0462715
0.0241798,0.383668,-0.00382618,0.908298,-0.0123705,-0.00666298,0.0462715
0.02516,0.383766,-0.00382586,0.908289,-0.0123574,-0.0066535,0.0463063
0.0261962,0.383822,-0.00382547,0.908284,-0.0123494,-0.00664781,0.0463276
0.0271407,0.383822,-0.00382547,0.908284,-0.0123494,-0.00664781,0.0463276
0.0281621,0.383944,-0.00382411,0.90827,-0.0123302,-0.00663439,0.0463785
0.0291599,0.384011,-0.00382309,0.908262,-0.0123189,-0.00662658,0.0464082
0.0301847,0.384011,-0.00382309,0.908262,-0.0123189,-0.00662658,0.0464082
0.0311778,0.384081,-0.00382181,0.908253,-0.0123065,-0.00661803,0.0464407
0.0321303,0.384155,-0.00382026,0.908243,-0.012293,-0.00660868,0.0464762
0.0331443,0.384311,-0.00381624,0.908221,-0.0122624,-0.00658747,0.0465562
0.0341354,0.384394,-0.00381375,0.908209,-0.0122453,-0.00657555,0.0466008
0.0351497,0.384394,-0.00381375,0.908209,-0.0122453,-0.00657555,0.0466008
0.0361453,0.38448,-0.00381093,0.908195,-0.012227,-0.00656275,0.0466483
0.0371326,0.384659,-0.0038042,0.908166,-0.0121867,-0.00653439,0.0467525
0.0381591,0.384659,-0.0038042,0.908166,-0.0121867,-0.00653439,0.0467525
0.0391602,0.384753,-0.00380025,0.90815,-0.0121648,-0.00651878,0.0468092
0.0401578,0.384947,-0.0037911,0.908116,-0.0121172,-0.00648464,0.0469316
0.0411512,0.384947,-0.0037911,0.908116,-0.0121172,-0.00648464,0.0469316
0.0421661,0.385048,-0.00378587,0.908097,-0.0120916,-0.00646606,0.0469973
0.0431429,0.385256,-0.00377403,0.908057,-0.0120368,-0.00642587,0.0471377
0.044205,0.385256,-0.00377403,0.908057,-0.0120368,-0.00642587,0.0471377
0.0451174,0.385472,-0.00376026,0.908014,-0.0119771,-0.00638152,0.04729
0.0461389,0.385583,-0.00375261,0.907991,-0.0119455,-0.00635777,0.0473705
0.0471523,0.385583,-0.00375261,0.907991,-0.0119455,-0.00635777,0.0473705
0.048146,0.385811,-0.00373584,0.907943,-0.0118789,-0.00630714,0.0475401
0.0491619,0.385811,-0.00373584,0.907943,-0.0118789,-0.00630714,0.0475401
0.0501426,0.385927,-0.00372667,0.907917,-0.0118438,-0.00628022,0.0476292
0.0511971,0.386045,-0.00371698,0.907891,-0.0118076,-0.00625225,0.047721
0.0521678,0.386287,-0.00369598,0.907837,-0.0117319,-0.00619308,0.0479131
0.0531268,0.386287,-0.00369598,0.907837,-0.0117319,-0.00619308,0.0479131
0.0541392,0.386534,-0.00367272,0.907779,-0.0116517,-0.00612964,0.0481162
0.055158,0.38666,-0.00366025,0.907749,-0.01161,-0.00609632,0.0482217
