Timestamp,q1,q2,q3,q4,q5,q6,q7
0.00600625,2.69726,0.0428257,-2.72923,-1.6033,0.00533021,-1.5717,0.0784016
0.00663203,2.69726,0.0428256,-2.72923,-1.6033,0.00533021,-1.5717,0.0784016
0.0074094,2.69726,0.0428256,-2.72923,-1.6033,0.0053302,-1.5717,0.0784016
0.00808376,2.69726,0.0428256,-2.72923,-1.60331,0.0053302,-1.5717,0.0784016
0.00875635,2.69726,0.0428255,-2.72923,-1.60331,0.0053302,-1.5717,0.0784016
0.0100209,2.69726,0.0428255,-2.72923,-1.60331,0.0053302,-1.5717,0.0784016
0.0114067,2.69726,0.0428254,-2.72923,-1.60331,0.0053302,-1.5717,0.0784016
0.0120404,2.69726,0.0428254,-2.72923,-1.60331,0.00533019,-1.5717,0.0784016
0.0130703,2.69726,0.0428253,-2.72923,-1.60331,0.00533019,-1.5717,0.0784016
0.014248,2.69726,0.0428253,-2.72923,-1.60331,0.00533019,-1.5717,0.0784016
0.014908,2.69726,0.0428253,-2.72923,-1.60331,0.00533019,-1.5717,0.0784016
0.0160181,2.69727,0.0428094,-2.72923,-1.60329,0.00532414,-1.5717,0.0783954
0.017218,2.69727,0.0427784,-2.72922,-1.60327,0.0053126,-1.5717,0.0783834
0.0179479,2.69728,0.0427325,-2.72921,-1.60323,0.00529573,-1.5717,0.078366
0.0190596,2.6973,0.0426724,-2.7292,-1.60318,0.00527386,-1.5717,0.0783435
0.0203162,2.69731,0.042599,-2.72918,-1.60312,0.0052474,-1.57171,0.0783165
0.0209401,2.69733,0.0425126,-2.72916,-1.60305,0.00521655,-1.57172,0.0782853
0.0223388,2.69735,0.0424138,-2.72913,-1.60297,0.00518161,-1.57172,0.0782501
0.0229953,2.69738,0.0423034,-2.72911,-1.60288,0.00514292,-1.57173,0.0782114
0.0242041,2.6974,0.0421816,-2.72908,-1.60278,0.00510063,-1.57174,0.0781693
0.0250339,2.69743,0.0420492,-2.72905,-1.60268,0.00505506,-1.57175,0.0781243
0.0261584,2.69747,0.0419063,-2.72901,-1.60257,0.00500634,-1.57177,0.0780763
0.0272123,2.6975,0.0417537,-2.72898,-1.60245,0.00495475,-1.57178,0.0780257
0.0279008,2.69754,0.0415917,-2.72894,-1.60233,0.00490047,-1.5718,0.0779728
0.0290283,2.69759,0.0414205,-2.7289,-1.6022,0.00484361,-1.57182,0.0779174
0.0302029,2.69763,0.0412406,-2.72885,-1.60206,0.0047844,-1.57184,0.07786
0.031502,2.69768,0.0410525,-2.72881,-1.60192,0.004723,-1.57186,0.0778006
0.0321592,2.69773,0.0408563,-2.72876,-1.60177,0.00465949,-1.57188,0.0777393
0.0327408,2.69778,0.0406521,-2.72871,-1.60162,0.00459398,-1.5719,0.0776763
0.0339014,2.69784,0.0404404,-2.72866,-1.60147,0.00452666,-1.57193,0.0776117
0.0351623,2.6979,0.0402218,-2.72861,-1.60131,0.00445769,-1.57196,0.0775456
0.036296,2.69796,0.0399964,-2.72855,-1.60115,0.00438718,-1.57199,0.0774782
0.0369703,2.69802,0.0397644,-2.7285,-1.60098,0.00431519,-1.57202,0.0774094
0.0381122,2.69809,0.039526,-2.72844,-1.60081,0.00424183,-1.57205,0.0773393
0.039346,2.69816,0.0392817,-2.72838,-1.60064,0.00416722,-1.57208,0.0772681
0.0399132,2.69823,0.0390314,-2.72832,-1.60046,0.00409141,-1.57212,0.0771958
0.0411677,2.6983,0.0387755,-2.72825,-1.60029,0.00401449,-1.57215,0.0771224
0.0423136,2.69838,0.0385143,-2.72819,-1.6001,0.00393657,-1.57219,0.077048
0.043012,2.69845,0.0382477,-2.72812,-1.59992,0.00385767,-1.57223,0.0769726
0.044221,2.69854,0.0379761,-2.72806,-1.59974,0.00377788,-1.57227,0.0768962
0.0447663,2.69862,0.0376997,-2.72799,-1.59955,0.00369728,-1.57231,0.076819
0.0459308,2.6987,0.0374186,-2.72792,-1.59936,0.0036159,-1.57235,0.076741
0.0470901,2.69879,0.0371331,-2.72784,-1.59916,0.00353383,-1.57239,0.0766621
0.0476983,2.69888,0.0368434,-2.72777,-1.59897,0.00345113,-1.57243,0.0765826
0.0494403,2.69897,0.0365494,-2.7277,-1.59878,0.00336781,-1.57248,0.0765023
0.0500271,2.69907,0.0362515,-2.72762,-1.59858,0.00328394,-1.57252,0.0764214
0.0512204,2.69916,0.0359497,-2.72754,-1.59838,0.00319957,-1.57257,0.0763398
0.0517912,2.69926,0.0356441,-2.72746,-1.59818,0.00311469,-1.57261,0.0762575
0.0536276,2.69936,0.0353349,-2.72738,-1.59798,0.00302936,-1.57266,0.0761746
0.0537108,2.69946,0.0350222,-2.7273,-1.59777,0.00294363,-1.57271,0.076091
0.0548566,2.69957,0.034706,-2.72722,-1.59757,0.00285751,-1.57276,0.0760069
0.0567535,2.69978,0.0340642,-2.72705,-1.59716,0.00268425,-1.57286,0.0758368
0.0578416,2.69989,0.0337387,-2.72697,-1.59695,0.00259715,-1.57291,0.0757509
0.0590052,2.70001,0.0334102,-2.72688,-1.59674,0.00250977,-1.57296,0.0756645
0.0596316,2.70012,0.033079,-2.72679,-1.59653,0.00242214,-1.57301,0.0755775
0.0607918,2.70024,0.032745,-2.7267,-1.59632,0.00233428,-1.57307,0.0754899
0.0619862,2.70036,0.0324083,-2.72661,-1.59611,0.00224621,-1.57312,0.0754019
0.0626079,2.70048,0.0320692,-2.72652,-1.5959,0.00215794,-1.57317,0.0753134
0.0638735,2.7006,0.0317275,-2.72643,-1.59568,0.00206948,-1.57323,0.0752243
0.0650263,2.70072,0.0313834,-2.72633,-1.59547,0.00198084,-1.57328,0.0751347
0.0659863,2.70085,0.031037,-2.72624,-1.59526,0.00189205,-1.57333,0.0750446
0.0669519,2.70097,0.0306883,-2.72614,-1.59504,0.00180311,-1.57339,0.0749541
0.0676758,2.7011,0.0303374,-2.72604,-1.59482,0.00171403,-1.57344,0.074863
0.0688207,2.70123,0.0299843,-2.72595,-1.59461,0.0016248,-1.5735,0.0747714
0.069996,2.70136,0.029629,-2.72585,-1.59439,0.00153543,-1.57355,0.0746792
0.070676,2.7015,0.0292717,-2.72575,-1.59417,0.00144592,-1.57361,0.0745866
0.0718643,2.70163,0.0289124,-2.72565,-1.59395,0.00135629,-1.57367,0.0744934
0.073059,2.70177,0.0285512,-2.72554,-1.59374,0.00126656,-1.57372,0.0743999
0.0736922,2.70191,0.0281881,-2.72544,-1.59352,0.00117673,-1.57378,0.0743058
0.0750717,2.70205,0.0278231,-2.72534,-1.5933,0.00108679,-1.57384,0.0742112
