Timestamp,X_obj,Y_obj
0.00620564,-0.0559649,0.00840204,0.0355225
0.00691889,-0.0559649,0.00840204,0.0355225
0.00800221,-0.0559649,0.00840204,0.0355225
0.00917133,-0.0559649,0.00840205,0.0355225
0.0100352,-0.0559649,0.00840205,0.0355225
0.0110846,-0.0559649,0.00840205,0.0355225
0.0122865,-0.0559649,0.00840204,0.0355225
0.0130274,-0.0559649,0.00840205,0.0355225
0.0139986,-0.0559648,0.00840204,0.0355225
0.0149903,-0.0559648,0.00840204,0.0355225
0.0158468,-0.055962,0.00840166,0.0355225
0.0170479,-0.0559564,0.00840104,0.0355222
0.0179855,-0.0559541,0.00840062,0.0355218
0.0189921,-0.0559727,0.00840158,0.035522
0.0203595,-0.0559588,0.00840025,0.0355205
0.0211385,-0.0559655,0.00840028,0.0355196
0.021977,-0.056008,0.00840263,0.0355208
0.0229051,-0.0559861,0.00840065,0.0355175
0.0246821,-0.0560424,0.00840377,0.0355199
0.0250796,-0.0560151,0.00840145,0.0355152
0.0260828,-0.0560836,0.00840519,0.0355188
0.0274888,-0.0561064,0.00840597,0.0355183
0.0281426,-0.0560713,0.00840327,0.0355114
0.0289976,-0.0561555,0.00840764,0.0355173
0.0298274,-0.0561815,0.00840852,0.0355169
0.0318012,-0.0562084,0.00840926,0.0355163
0.0320348,-0.0561627,0.00840631,0.0355062
0.0328333,-0.0561876,0.00840719,0.035505
0.0344967,-0.056375,0.00841586,0.0355278
0.0350323,-0.0563215,0.00841287,0.0355151
0.0358965,-0.0562653,0.00840989,0.0355016
0.0368512,-0.0562918,0.0084108,0.0355007
0.0379591,-0.0564089,0.00841543,0.0355148
0.0388035,-0.0563449,0.00841261,0.0354989
0.0398172,-0.0563715,0.00841334,0.0354979
0.0408494,-0.0564958,0.00841758,0.035515
0.0417845,-0.0564238,0.00841507,0.0354966
0.0428979,-0.0564495,0.0084159,0.0354961
0.0439469,-0.0565795,0.00841955,0.035516
0.0448518,-0.0564996,0.00841745,0.0354953
