Timestamp,X_obj,Y_obj
0.0111484,-0.0569915,0.00888953,0.0352572
0.0118325,-0.0569915,0.00888952,0.0352571
0.0126541,-0.0569915,0.00888953,0.0352572
0.0137015,-0.0569915,0.00888953,0.0352572
0.0146228,-0.0569915,0.00888952,0.0352572
0.0155695,-0.0569915,0.00888952,0.0352572
0.0168838,-0.0569915,0.00888951,0.0352572
0.0183881,-0.0569915,0.00888953,0.0352572
0.0190263,-0.0569915,0.00888952,0.0352572
0.020199,-0.0569915,0.00888952,0.0352572
0.020791,-0.0569914,0.00888951,0.0352572
0.0218075,-0.0569914,0.0088895,0.0352572
0.0227716,-0.0569915,0.00888952,0.0352572
0.0238669,-0.0569914,0.00888951,0.0352572
0.0250151,-0.0569915,0.00888951,0.0352573
0.0259698,-0.0569915,0.00888952,0.0352573
0.0276405,-0.0569914,0.00888951,0.0352573
0.0280022,-0.0569915,0.00888952,0.0352573
0.0289615,-0.0569914,0.00888951,0.0352573
0.030047,-0.0569915,0.00888952,0.0352573
0.0309819,-0.0569915,0.00888952,0.0352573
0.0319814,-0.0569915,0.00888952,0.0352574
0.0335603,-0.0569915,0.00888952,0.0352574
0.0340455,-0.0569914,0.00888952,0.0352574
0.0349676,-0.0569914,0.00888952,0.0352574
0.0359801,-0.0569914,0.00888951,0.0352574
0.037631,-0.0569914,0.00888951,0.0352574
0.0380988,-0.0569914,0.00888951,0.0352574
0.0390085,-0.0569914,0.0088895,0.0352574
0.0407939,-0.0569915,0.00888952,0.0352574
0.0414114,-0.0569914,0.00888951,0.0352574
0.0421274,-0.0569914,0.0088895,0.0352574
0.0438882,-0.0569914,0.00888952,0.0352575
0.0441456,-0.0569914,0.00888951,0.0352574
0.0452562,-0.0569914,0.0088895,0.0352574
0.0461493,-0.0569914,0.0088895,0.0352574
0.0474138,-0.0569914,0.00888951,0.0352575
0.0483087,-0.0569914,0.00888951,0.0352575
0.0492344,-0.0569913,0.0088895,0.0352575
0.0502028,-0.0569913,0.0088895,0.0352575
0.0518322,-0.0569914,0.0088895,0.0352575
0.0522146,-0.0569913,0.00888949,0.0352575
0.0531586,-0.0569913,0.00888949,0.0352575
0.0541897,-0.0569913,0.00888949,0.0352575
0.0552097,-0.0569913,0.00888949,0.0352575
0.0562663,-0.0569913,0.0088895,0.0352575
0.0571817,-0.0569913,0.0088895,0.0352575
0.0581759,-0.0569913,0.00888949,0.0352575
0.0591205,-0.0569913,0.00888949,0.0352575
0.0601594,-0.0569913,0.0088895,0.0352576
0.061189,-0.0569913,0.00888949,0.0352576
0.0621208,-0.0569913,0.00888949,0.0352576
0.0632406,-0.0569913,0.00888949,0.0352576
0.0641606,-0.0569913,0.00888948,0.0352576
0.065164,-0.0569913,0.00888949,0.0352576
0.0661269,-0.0569913,0.00888948,0.0352576
0.0675221,-0.0569913,0.00888948,0.0352576
0.0683335,-0.0569913,0.00888948,0.0352576
0.0691524,-0.0569912,0.00888948,0.0352576
0.0705278,-0.0569912,0.00888948,0.0352576
