Timestamp,X_obj,Y_obj
0.0243524,-0.0554914,0.00991509,0.0347488
0.0359911,-0.05547,0.00991344,0.0347499
0.056064,-0.05547,0.00991344,0.0347499
0.0759996,-0.05547,0.00991344,0.0347499
0.095972,-0.0554745,0.00991374,0.0347495
0.116135,-0.0554745,0.00991374,0.0347495
0.13605,-0.0554745,0.00991374,0.0347495
0.155964,-0.0554827,0.00991416,0.0347482
0.175968,-0.0554827,0.00991416,0.0347482
0.196046,-0.0554827,0.00991416,0.0347482
0.216223,-0.0554827,0.00991416,0.0347482
0.236127,-0.0554699,0.00991237,0.0347502
0.255983,-0.0554699,0.00991237,0.0347502
0.276194,-0.0554699,0.00991237,0.0347502
0.295997,-0.0554736,0.00991233,0.0347499
0.315987,-0.0554736,0.00991233,0.0347499
0.336084,-0.0554736,0.00991233,0.0347499
0.35598,-0.0554748,0.00991234,0.0347499
0.376165,-0.0554748,0.00991234,0.0347499
0.396074,-0.0554748,0.00991234,0.0347499
0.41607,-0.0554748,0.00991234,0.0347499
0.436123,-0.0554763,0.0099124,0.0347497
0.456167,-0.0554763,0.0099124,0.0347497
0.475984,-0.0554763,0.0099124,0.0347497
0.495978,-0.0554739,0.00991243,0.03475
0.515983,-0.0554739,0.00991243,0.03475
0.536008,-0.0554739,0.00991243,0.03475
0.555995,-0.0554729,0.0099125,0.03475
0.575975,-0.0554729,0.0099125,0.03475
0.596016,-0.0554729,0.0099125,0.03475
0.616048,-0.0554743,0.00991233,0.0347497
0.635987,-0.0554743,0.00991233,0.0347497
0.655982,-0.0554743,0.00991233,0.0347497
0.675999,-0.0554743,0.00991233,0.0347497
0.696064,-0.0554706,0.00991232,0.0347502
0.715997,-0.0554706,0.00991232,0.0347502
0.736013,-0.0554706,0.00991232,0.0347502
0.75622,-0.0554835,0.00991472,0.0347487
0.776014,-0.0554835,0.00991472,0.0347487
0.796037,-0.0554835,0.00991472,0.0347487
0.816149,-0.0554835,0.00991472,0.0347487
0.836126,-0.0554757,0.00991384,0.0347494
0.856159,-0.0554757,0.00991384,0.0347494
0.876031,-0.0554757,0.00991384,0.0347494
0.89601,-0.0554728,0.00991358,0.0347498
0.915981,-0.0554728,0.00991358,0.0347498
0.936053,-0.0554728,0.00991358,0.0347498
0.955988,-0.0554702,0.00991357,0.0347496
0.975984,-0.0554702,0.00991357,0.0347496
0.996008,-0.0554702,0.00991357,0.0347496
1.01603,-0.0554702,0.00991357,0.0347496
1.03597,-0.0554935,0.00991509,0.0347482
1.05609,-0.0554935,0.00991509,0.0347482
1.07606,-0.0554935,0.00991509,0.0347482
1.09599,-0.0554793,0.00991592,0.0347492
1.11598,-0.0554793,0.00991592,0.0347492
1.13609,-0.0554793,0.00991592,0.0347492
1.15596,-0.0554759,0.00991495,0.0347495
1.17599,-0.0554759,0.00991495,0.0347495
1.19614,-0.0554759,0.00991495,0.0347495
1.21599,-0.0554755,0.00991487,0.0347495
1.23598,-0.0554755,0.00991487,0.0347495
1.25601,-0.0554755,0.00991487,0.0347495
1.27596,-0.0554733,0.00991483,0.03475
1.29617,-0.0554733,0.00991483,0.03475
1.31607,-0.0554733,0.00991483,0.03475
1.33633,-0.0554733,0.00991483,0.03475
1.35602,-0.0554715,0.00991497,0.0347501
1.37599,-0.0554715,0.00991497,0.0347501
1.39652,-0.0554715,0.00991497,0.0347501
1.41597,-0.0554932,0.00991498,0.0347477
1.43598,-0.0554932,0.00991498,0.0347477
1.45601,-0.0554932,0.00991498,0.0347477
1.47599,-0.0554945,0.00991546,0.0347477
1.49604,-0.0554945,0.00991546,0.0347477
1.51595,-0.0554945,0.00991546,0.0347477
1.53598,-0.055492,0.0099148,0.0347477
1.55597,-0.055492,0.0099148,0.0347477
1.57601,-0.055492,0.0099148,0.0347477
1.59602,-0.055492,0.0099148,0.0347477
1.61598,-0.0554924,0.00991478,0.0347477
1.63597,-0.0554924,0.00991478,0.0347477
1.65599,-0.0554924,0.00991478,0.0347477
1.676,-0.0554715,0.00991497,0.0347501
1.696,-0.0554715,0.00991497,0.0347501
1.71603,-0.0554715,0.00991497,0.0347501
1.73623,-0.0554737,0.00991486,0.0347501
1.75603,-0.0554737,0.00991486,0.0347501
1.77604,-0.0554737,0.00991486,0.0347501
1.79603,-0.0554736,0.0099149,0.0347501
1.81608,-0.0554736,0.0099149,0.0347501
1.83617,-0.0554736,0.0099149,0.0347501
1.85595,-0.0554747,0.00991488,0.0347498
1.876,-0.0554747,0.00991488,0.0347498
1.89599,-0.0554747,0.00991488,0.0347498
1.91603,-0.0554747,0.00991488,0.0347498
1.93606,-0.055475,0.00991496,0.0347497
1.95621,-0.055475,0.00991496,0.0347497
1.97601,-0.055475,0.00991496,0.0347497
1.9961,-0.055474,0.00991508,0.0347495
2.01596,-0.055474,0.00991508,0.0347495
2.03597,-0.055474,0.00991508,0.0347495
2.056,-0.055474,0.00991508,0.0347495
2.07598,-0.0554742,0.00991523,0.0347499
2.09597,-0.0554742,0.00991523,0.0347499
2.11599,-0.0554742,0.00991523,0.0347499
2.13599,-0.0554788,0.00991602,0.0347495
2.15597,-0.0554788,0.00991602,0.0347495
2.17605,-0.0554788,0.00991602,0.0347495
2.19596,-0.0554922,0.00991557,0.0347491
2.216,-0.0554922,0.00991557,0.0347491
2.23601,-0.0554922,0.00991557,0.0347491
2.256,-0.0554922,0.00991557,0.0347491
2.27602,-0.0554916,0.00991541,0.0347489
2.29598,-0.0554916,0.00991541,0.0347489
2.31615,-0.0554916,0.00991541,0.0347489
2.33597,-0.0554924,0.00991558,0.0347492
2.35597,-0.0554924,0.00991558,0.0347492
2.37604,-0.0554924,0.00991558,0.0347492
2.39603,-0.0554924,0.00991558,0.0347492
