Timestamp,x,y,z,q1,q2,q3,q4
0.704801,0.000463,-0.017033,0.234339,0.99991,-0.008768,0.007714,-0.006544
0.724812,0.000456,-0.017025,0.234285,0.99992,-0.00869,0.00708,-0.005861
0.744824,0.000469,-0.017024,0.234286,0.999893,-0.008701,0.01075,-0.004728
0.764829,0.000445,-0.017021,0.234322,0.999932,-0.008709,0.004598,-0.006322
0.784826,0.000437,-0.017024,0.234279,0.999944,-0.008709,0.003002,-0.005236
0.804829,0.000464,-0.01703,0.234319,0.999916,-0.008735,0.007941,-0.005315
0.824818,0.000478,-0.017025,0.234256,0.999867,-0.008715,0.012423,-0.006018
0.844814,0.000457,-0.017024,0.234354,0.999909,-0.00883,0.007732,-0.006635
0.864809,0.000455,-0.017029,0.234301,0.999925,-0.008705,0.006728,-0.005356
0.884801,0.000459,-0.017023,0.234273,0.999917,-0.008675,0.008274,-0.004674
0.904803,0.000471,-0.017024,0.234314,0.99989,-0.008703,0.010623,-0.005669
0.924803,0.000467,-0.017025,0.234295,0.999901,-0.008779,0.008854,-0.006493
0.944805,0.000457,-0.017027,0.234251,0.999913,-0.00865,0.007823,-0.006211
0.964807,0.000484,-0.017019,0.23426,0.999854,-0.008714,0.013391,-0.006045
0.98483,0.000453,-0.017023,0.234279,0.999921,-0.008778,0.007014,-0.005584
1.00482,0.000464,-0.017028,0.23432,0.999914,-0.008637,0.008116,-0.00565
1.02483,0.000466,-0.017025,0.234328,0.999908,-0.008694,0.008692,-0.005676
1.04482,0.00047,-0.017028,0.234306,0.999898,-0.008742,0.009442,-0.006212
1.06482,0.000458,-0.017026,0.234306,0.99992,-0.008573,0.007825,-0.005053
1.08483,0.000466,-0.017024,0.234364,0.999903,-0.008801,0.00878,-0.006216
1.10483,0.000457,-0.017024,0.234364,0.99991,-0.008777,0.007392,-0.006944
1.12482,0.000446,-0.017023,0.234342,0.999926,-0.008791,0.005567,-0.006268
1.14483,0.000452,-0.017022,0.234342,0.999928,-0.008666,0.006113,-0.005696
1.16482,0.000469,-0.017025,0.234317,0.999902,-0.008809,0.009425,-0.005475
1.18482,0.000464,-0.017031,0.234329,0.999919,-0.008718,0.008238,-0.004163
1.20482,0.000449,-0.01703,0.234306,0.999938,-0.008709,0.004707,-0.00518
1.22481,0.000466,-0.017025,0.234326,0.999905,-0.008746,0.009166,-0.00537
1.24481,0.000456,-0.017028,0.234312,0.999919,-0.008816,0.006844,-0.006134
1.26481,0.000462,-0.017028,0.2343,0.999914,-0.008776,0.008318,-0.005115
1.28481,0.000478,-0.017027,0.234281,0.999894,-0.0087,0.010773,-0.004555
1.3048,0.000443,-0.017028,0.23433,0.999938,-0.008529,0.003843,-0.006072
1.3248,0.000448,-0.017022,0.234325,0.999919,-0.008833,0.005751,-0.007144
1.3448,0.000468,-0.017019,0.234306,0.999911,-0.008741,0.008254,-0.005863
1.3648,0.000451,-0.017025,0.234243,0.999938,-0.008581,0.005181,-0.00491
1.38482,0.000332,-0.017003,0.234091,0.99993,-0.008721,0.003841,-0.007031
1.40481,0.000284,-0.016962,0.233989,0.999901,-0.009748,0.006674,-0.00767
1.4248,0.000356,-0.017054,0.234119,0.99992,-0.00867,0.007398,-0.005559
1.4448,0.000346,-0.017024,0.234023,0.999898,-0.008986,0.00799,-0.007647
1.4648,0.000343,-0.017018,0.234063,0.999898,-0.008975,0.009668,-0.005538
1.4848,0.000347,-0.017002,0.234205,0.999909,-0.008939,0.007603,-0.006582
1.5048,0.000351,-0.017028,0.23414,0.999925,-0.008764,0.007189,-0.004732
1.5248,0.000346,-0.017028,0.234119,0.999934,-0.008603,0.006199,-0.004372
1.5448,0.000349,-0.017031,0.234098,0.99993,-0.008665,0.006707,-0.004497
1.5648,0.000352,-0.017029,0.234184,0.999918,-0.008649,0.006892,-0.00638
1.58482,0.00035,-0.017024,0.234139,0.999911,-0.008717,0.00738,-0.006869
1.6048,0.000356,-0.017029,0.234126,0.999924,-0.008595,0.007255,-0.004949
1.6248,0.000354,-0.017035,0.234171,0.999918,-0.008663,0.007464,-0.005774
1.6448,0.00035,-0.017031,0.234082,0.999915,-0.008749,0.007641,-0.005875
1.66481,0.000355,-0.017026,0.234096,0.999913,-0.008785,0.008215,-0.005357
1.68481,0.000358,-0.017027,0.234099,0.999917,-0.008718,0.008074,-0.005068
1.7048,0.000358,-0.017027,0.234101,0.999918,-0.00859,0.008165,-0.004799
1.7248,0.000346,-0.017019,0.234085,0.999932,-0.008553,0.005721,-0.00541
1.7448,0.000337,-0.017021,0.234107,0.999944,-0.008667,0.002132,-0.005713
1.7648,0.000348,-0.01702,0.234106,0.999928,-0.008584,0.006639,-0.005088
1.78481,0.000358,-0.017027,0.234153,0.999907,-0.008767,0.008366,-0.006335
1.8048,0.00034,-0.017021,0.234136,0.999929,-0.008709,0.004819,-0.006543
1.82478,0.000353,-0.017018,0.234179,0.999905,-0.008809,0.008124,-0.006833
1.84478,0.000354,-0.017022,0.234118,0.999912,-0.008819,0.007622,-0.00634
1.86478,0.000364,-0.017024,0.234131,0.999897,-0.008811,0.009847,-0.005638
1.88478,0.000348,-0.017024,0.234131,0.999928,-0.008676,0.006394,-0.005286
1.90482,0.000348,-0.017029,0.234128,0.999928,-0.008613,0.006727,-0.004923
1.92478,0.000355,-0.017023,0.234166,0.999914,-0.008649,0.008196,-0.005567
1.94478,0.000341,-0.017022,0.234157,0.999931,-0.008768,0.005428,-0.005543
1.96477,0.00036,-0.017017,0.234155,0.999895,-0.008889,0.009196,-0.006784
1.98477,0.000349,-0.017029,0.234112,0.999925,-0.008754,0.00681,-0.005213
2.00478,0.000355,-0.017024,0.234128,0.999917,-0.008669,0.007455,-0.00591
2.02478,0.000347,-0.017024,0.234152,0.99993,-0.008529,0.006637,-0.004851
2.04478,0.000358,-0.017027,0.234149,0.999907,-0.008769,0.009012,-0.005301
2.06477,0.000351,-0.01703,0.234144,0.999922,-0.008706,0.006661,-0.005912
2.08477,0.000364,-0.017026,0.234152,0.999902,-0.00879,0.009348,-0.005553
2.10478,0.00036,-0.017034,0.234141,0.999918,-0.008505,0.008114,-0.005068
2.12479,0.000354,-0.017022,0.234152,0.999919,-0.008661,0.007521,-0.005573
2.14479,0.00035,-0.017036,0.234102,0.999932,-0.008561,0.006819,-0.004097
2.16478,0.000363,-0.017039,0.234035,0.999877,-0.008894,0.010793,-0.007112
2.18479,0.000348,-0.016988,0.234138,0.999915,-0.008728,0.007266,-0.006332
2.20479,0.000312,-0.016923,0.234035,0.999885,-0.009451,0.010237,-0.005971
2.22479,0.000239,-0.016926,0.233998,0.999915,-0.009527,0.006402,-0.00611
2.24478,0.000119,-0.016931,0.233741,0.999925,-0.00944,0.005401,-0.00556
2.26479,-8.4e-05,-0.016941,0.23349,0.999927,-0.009513,0.001986,-0.007249
2.28478,-0.000118,-0.016938,0.233319,0.999932,-0.00977,0.00274,-0.005719
2.30478,-0.000118,-0.016943,0.233397,0.999925,-0.009675,0.002352,-0.007201
2.32477,-0.000101,-0.017,0.233495,0.999939,-0.009332,0.001125,-0.005839
2.34477,-4.5e-05,-0.017043,0.233489,0.999936,-0.008768,0.002792,-0.006558
2.36478,-6.7e-05,-0.01705,0.233512,0.999932,-0.009021,0.003479,-0.006509
2.38479,-6.1e-05,-0.01702,0.233457,0.999921,-0.00897,0.004099,-0.007736
