Timestamp,fx,fy,fz,mx,my,mz
0.65303,-0.061987,0.068516,-3.40276,-0.096295,0.362701,-0.003498
0.653807,-0.060079,0.067728,-3.59972,-0.09645,0.362813,-0.001735
0.654798,-0.058014,0.058388,-3.85843,-0.096661,0.36293,0.000401
0.655795,-0.057858,0.049838,-3.92018,-0.096718,0.362934,0.000775
0.656829,-0.073257,0.058233,-3.79433,-0.096675,0.363025,-0.000831
0.657815,-0.075356,0.058195,-3.5856,-0.096527,0.363102,-0.003229
0.65881,-0.077217,0.067344,-3.38842,-0.096314,0.362993,-0.005097
0.659802,-0.072827,0.081194,-3.1497,-0.095906,0.36274,-0.007464
0.660799,-0.065965,0.077241,-3.08788,-0.095933,0.362681,-0.007841
0.661799,-0.064495,0.077463,-3.20306,-0.096084,0.362594,-0.006328
0.662794,-0.06331,0.069494,-3.40132,-0.096129,0.362422,-0.004139
0.663797,-0.061186,0.068773,-3.59912,-0.096282,0.362534,-0.002055
0.664794,-0.059295,0.06835,-3.84944,-0.09627,0.36256,0.000626
0.6658,-0.06601,0.05489,-3.90159,-0.096366,0.362801,0.001218
0.666795,-0.073477,0.058789,-3.78616,-0.096511,0.362932,-0.000182
0.667796,-0.075185,0.059909,-3.57796,-0.096515,0.36272,-0.002253
0.668794,-0.077725,0.060231,-3.39055,-0.096203,0.362708,-0.004349
0.669799,-0.086875,0.073848,-3.1504,-0.096126,0.362549,-0.007033
0.670798,-0.073142,0.074805,-3.09817,-0.096114,0.362253,-0.007628
0.671794,-0.064976,0.078846,-3.22325,-0.096074,0.362218,-0.00634
0.672794,-0.056654,0.074336,-3.41007,-0.09609,0.362187,-0.004678
0.673799,-0.055814,0.07357,-3.60758,-0.095924,0.362307,-0.002921
0.674796,-0.061211,0.067838,-3.8587,-0.095793,0.36267,-3.4e-05
0.675798,-0.053245,0.06219,-3.9006,-0.095826,0.363001,0.00046
0.676808,-0.061196,0.058217,-3.77636,-0.095865,0.363036,-0.000507
0.677799,-0.077208,0.066531,-3.56904,-0.095667,0.363215,-0.002368
0.678794,-0.07735,0.075238,-3.38117,-0.095937,0.36319,-0.004237
0.679793,-0.071961,0.071585,-3.13141,-0.095974,0.363111,-0.006705
0.680805,-0.071948,0.081098,-3.0997,-0.096069,0.362823,-0.007098
0.6818,-0.063869,0.077801,-3.22385,-0.096241,0.362497,-0.00602
