Timestamp,vx,vy,vz,wx,wy,wz
0.660137,-2e-06,-2e-06,-2e-06,7e-06,4e-06,1.2e-05
0.665113,3e-06,3e-06,-6e-06,4e-06,2e-06,2.4e-05
0.670111,1.1e-05,2.1e-05,0,-2.2e-05,1.5e-05,1.8e-05
0.675109,-3e-06,-1e-05,-2e-06,1.9e-05,-9e-06,-6e-06
0.68011,1e-06,-0,0,1e-06,6e-06,6e-06
0.685126,-9e-06,-1.1e-05,4e-06,3e-06,-1e-05,-1.8e-05
0.69011,2e-06,-1e-06,-8e-06,-1e-05,1.5e-05,-2.4e-05
0.695112,-3e-06,-7e-06,4e-06,-2e-06,1.5e-05,-1.2e-05
0.70011,2e-06,1.6e-05,4e-06,3e-06,-2.8e-05,3.6e-05
0.705118,-1e-06,-1e-05,-1e-05,1.8e-05,4e-06,-6e-06
0.710117,-3e-06,-4e-06,6e-06,-1.3e-05,-1e-06,6e-06
0.715112,-7e-06,-9e-06,4e-06,2.5e-05,-1.3e-05,-1.8e-05
0.720111,4e-06,7e-06,-2e-06,-2.2e-05,8e-06,-1.2e-05
0.725136,-3e-06,-0,2e-06,1e-06,-1.7e-05,1.8e-05
0.730112,-0,-3e-06,0,1.1e-05,1e-05,-1.8e-05
0.735142,1e-05,1.8e-05,2e-06,-1.7e-05,9e-06,6e-05
0.740111,6e-06,3e-06,-4e-06,4e-06,-3e-06,-1.2e-05
0.745115,0,-2e-06,-6e-06,1.3e-05,1e-06,-0
0.750097,4e-06,9e-06,8e-06,-1e-05,-6e-06,1.2e-05
0.755107,-1e-06,-1.2e-05,-1.2e-05,1.8e-05,2.7e-05,-1.8e-05
0.760094,-9e-06,-5e-06,8e-06,-2.4e-05,-1.6e-05,-4.2e-05
0.765094,4e-06,1e-05,4e-06,4e-06,-2.2e-05,4.8e-05
0.770102,5e-06,8e-06,-4e-06,-4e-06,2.2e-05,-1.2e-05
0.775098,-2e-06,-4e-06,-6e-06,1.2e-05,-1.1e-05,-6e-06
0.780091,4e-06,4e-06,-2e-06,8e-06,-2e-06,1.8e-05
0.785137,-1e-05,-2.2e-05,-2e-06,-1e-06,1.7e-05,-4.2e-05
0.790096,-6e-06,-2e-06,1.2e-05,-8e-06,-2.2e-05,1.2e-05
0.795091,1e-06,-5e-06,-1.2e-05,8e-06,2.2e-05,-1.2e-05
0.800096,3e-06,1.5e-05,1.2e-05,-1.5e-05,-9e-06,1.8e-05
0.805104,0,-1.1e-05,-1e-05,7e-06,1.1e-05,-6e-06
0.810089,4e-06,8e-06,2e-06,1e-06,-1.7e-05,-6e-06
0.815108,7e-06,1.4e-05,-2e-06,7e-06,-8e-06,3e-05
0.820104,4e-06,1e-06,-4e-06,-3e-06,2.8e-05,3e-05
0.825094,-1.3e-05,-2.1e-05,2e-06,3e-06,-5e-06,-6.6e-05
0.830089,6e-06,1.2e-05,-2e-06,5e-06,-8e-06,2.4e-05
0.835096,-7e-06,-1.4e-05,4e-06,8e-06,2e-06,-6e-06
0.840109,-0,1e-06,4e-06,-5e-06,-3e-06,-1.8e-05
0.8451,-1e-06,-0,-4e-06,-1.4e-05,1.8e-05,-1.2e-05
0.850116,1e-06,5e-06,2e-06,0,-2.3e-05,1.8e-05
0.855107,2e-06,-2e-06,-2e-06,-1e-06,1.7e-05,2.4e-05
0.860115,-2e-06,-4e-06,-4e-06,5e-06,3e-06,-1.8e-05
0.865103,5e-06,0,0,-9e-06,1.9e-05,-1.2e-05
0.870414,-4e-06,6e-06,1.2e-05,-6e-06,-2.8e-05,1.8e-05
0.875174,0,0,-6e-06,1.3e-05,1e-06,-1.2e-05
0.880109,1e-05,4e-06,2e-06,-1.7e-05,2.7e-05,-2.4e-05
0.885142,-4e-06,6e-06,6e-06,6e-06,-3.3e-05,3.6e-05
0.890229,-4e-06,-8e-06,-1.3e-05,1e-06,2.2e-05,6e-06
0.895158,-2e-06,-4e-06,-4e-06,5e-06,3e-06,-2.4e-05
0.900156,3e-06,2e-06,4e-06,8e-06,1e-06,-1.2e-05
0.905158,-5e-06,-3e-06,4e-06,-7e-06,-1.5e-05,1.2e-05
0.910176,6e-06,1.2e-05,8e-06,-1e-05,-6e-06,6e-06
0.915149,-6e-06,-9e-06,6e-06,-2e-06,-8e-06,-6e-06
0.920152,4e-06,1e-06,-1.7e-05,-3e-06,2.6e-05,0
0.925135,-1e-06,-4e-06,-4e-06,6e-06,9e-06,-6e-06
0.930113,-5e-06,-5e-06,2e-06,0,-5e-06,1.2e-05
0.93511,5e-06,1e-06,-0,3e-06,1.8e-05,-0
0.940122,-5e-06,7e-06,1.7e-05,-3e-05,-3.4e-05,-1.2e-05
0.945137,1e-05,5e-06,-1.2e-05,1.7e-05,3.3e-05,1.2e-05
0.950144,3e-06,6e-06,-6e-06,2.4e-05,-1.3e-05,1.8e-05
0.955156,-6e-06,-5e-06,1e-05,-3.2e-05,-8e-06,-1.8e-05
0.960136,6e-06,2e-06,-1.2e-05,1.6e-05,9e-06,-1.2e-05
0.965138,4e-06,8e-06,1e-05,-1.4e-05,8e-06,4.8e-05
0.970192,-1.6e-05,-2.4e-05,-4e-06,1e-06,-9e-06,-6e-05
0.975167,8e-06,1.3e-05,1.2e-05,-2e-06,1e-06,2.4e-05
0.980134,7e-06,1.1e-05,-8e-06,-4e-06,-4e-06,1.8e-05
0.985144,-3e-06,2e-06,4e-06,-3e-06,-9e-06,1.8e-05
0.990159,3e-06,-2e-06,-2e-06,7e-06,1e-05,-1.8e-05
0.995143,-5e-06,-1e-05,-1e-05,-5e-06,1.3e-05,-3.6e-05
1.00016,-2e-06,-5e-06,6e-06,1.2e-05,2e-06,1.2e-05
1.00517,-2e-06,-2e-06,-0,-9e-06,1e-06,-6e-06
1.01015,4e-06,-0,-1.2e-05,2.5e-05,8e-06,6e-06
1.01514,1e-06,7e-06,1.6e-05,-2.1e-05,-1.2e-05,6e-06
1.02017,-3e-06,1e-06,4e-06,-8e-06,-2.1e-05,1.8e-05
1.02515,4e-06,5e-06,7e-06,1.5e-05,-3e-06,1.2e-05
1.03015,6e-06,1.2e-05,-6e-06,-9e-06,1.5e-05,1.8e-05
1.03517,-1.2e-05,-1.7e-05,-6e-06,-2e-06,-2.1e-05,-4.8e-05
1.04017,4e-06,-2e-06,2e-06,-2e-06,2.6e-05,-6e-06
1.04514,-5e-06,-7e-06,-6e-06,9e-06,-1.1e-05,-1.2e-05
1.05016,7e-06,8e-06,-1e-05,3.1e-05,2e-05,3e-05
1.05516,-5e-06,-2e-06,1.4e-05,-3.6e-05,-2.3e-05,-3.6e-05
1.06015,-1e-06,-6e-06,-1.2e-05,1.6e-05,9e-06,1.2e-05
1.06516,1e-05,1.5e-05,1e-05,-6e-06,1e-06,2.4e-05
1.07015,1e-06,5e-06,-8e-06,-3e-06,1e-06,1.2e-05
1.07515,-9e-06,-7e-06,1e-05,4e-06,-1.9e-05,-6e-06
1.08014,-2e-06,-1.5e-05,-1.2e-05,1.4e-05,1.5e-05,-3e-05
1.08515,3e-06,6e-06,1.2e-05,-2e-06,1e-06,3e-05
1.09015,-5e-06,-4e-06,-2e-06,-1.5e-05,-1.1e-05,-4.8e-05
1.09517,4e-06,8e-06,2e-06,5e-06,7e-06,5.4e-05
1.10015,4e-06,1e-06,-1.8e-05,2.7e-05,-2e-06,-3e-05
1.10516,7e-06,0,0,-1.8e-05,4.4e-05,1.2e-05
1.11013,-2e-06,1.3e-05,2e-06,-1e-06,-3.5e-05,3e-05
1.11511,-2e-06,-1.4e-05,1.5e-05,4e-06,9e-06,-4.2e-05
1.12011,3e-06,1.1e-05,-0,-1.4e-05,-2.8e-05,6e-06
1.12511,-3e-06,5e-06,0,0,-0,3.6e-05
1.13011,8e-06,1e-06,-4e-06,-3e-06,2.8e-05,6e-06
