Timestamp,fx,fy,fz,mx,my,mz
0.822802,0.047469,0.18162,-3.12255,-0.352565,0.28082,-0.000247
0.822878,0.048921,0.181456,-3.32877,-0.352715,0.280745,0.001189
0.823879,0.050776,0.172178,-3.5563,-0.352928,0.280859,0.00303
0.824878,0.052036,0.161932,-3.72176,-0.35299,0.281253,0.004275
0.825875,0.043509,0.16546,-3.64928,-0.352653,0.281495,0.003473
0.826868,0.042308,0.173795,-3.50438,-0.352442,0.28158,0.002202
0.827871,0.033335,0.178726,-3.3077,-0.352263,0.281519,0.000547
0.828896,0.03172,0.187312,-3.07009,-0.352056,0.281594,-0.001288
0.829875,0.023374,0.192581,-2.8942,-0.352033,0.281436,-0.002635
0.830875,0.038602,0.193001,-2.94622,-0.352179,0.281242,-0.002032
0.831867,0.039778,0.185425,-3.10205,-0.352383,0.280968,-0.000446
0.832872,0.049014,0.188922,-3.29935,-0.352503,0.281032,0.001425
0.833871,0.059265,0.183908,-3.52668,-0.353002,0.281088,0.00338
0.834868,0.053395,0.179587,-3.70221,-0.353187,0.281058,0.004733
0.835868,0.045642,0.175295,-3.66985,-0.353224,0.281104,0.004008
0.836867,0.036903,0.179406,-3.49342,-0.353049,0.281236,0.002334
0.837871,0.035236,0.179503,-3.28637,-0.3529,0.281311,0.000578
0.838868,0.033381,0.18878,-3.05884,-0.352688,0.281198,-0.001263
0.839867,0.031272,0.189237,-2.87311,-0.352374,0.281185,-0.002718
0.840868,0.039018,0.1934,-2.93582,-0.352337,0.281142,-0.002019
0.841872,0.040041,0.193853,-3.10268,-0.352324,0.280971,-0.00023
0.842868,0.055461,0.184049,-3.3207,-0.352211,0.281179,0.001613
0.843866,0.064233,0.178786,-3.52862,-0.352232,0.28134,0.003576
0.844867,0.057731,0.173998,-3.71371,-0.35226,0.281411,0.004595
0.84587,0.057097,0.174053,-3.6505,-0.352263,0.281404,0.003684
0.846867,0.048095,0.169736,-3.47345,-0.352148,0.281533,0.001793
0.847866,0.03937,0.183359,-3.26533,-0.352068,0.281376,-0.000274
0.848868,0.031256,0.18833,-3.03692,-0.352211,0.281304,-0.002218
0.84987,0.030189,0.189523,-2.86158,-0.352213,0.281094,-0.003352
0.850868,0.038328,0.194845,-2.92482,-0.352327,0.280763,-0.002327
0.85187,0.047106,0.189711,-3.10239,-0.352349,0.280919,-0.000338
0.85287,0.056269,0.185606,-3.31084,-0.352521,0.280791,0.001952
0.853869,0.051146,0.187808,-3.53958,-0.352497,0.281246,0.004112
0.854877,0.052381,0.178321,-3.71597,-0.352553,0.281452,0.005671
0.855873,0.058247,0.181992,-3.64355,-0.352207,0.281593,0.00487
0.856866,0.042141,0.182841,-3.46564,-0.35222,0.281486,0.002773
0.857874,0.040956,0.19081,-3.26739,-0.352176,0.281657,0.000584
0.858867,0.031928,0.187773,-3.02851,-0.352215,0.28149,-0.00157
0.859877,0.030424,0.188703,-2.88184,-0.352217,0.281286,-0.003372
0.860867,0.031019,0.189671,-2.9439,-0.352367,0.281005,-0.002776
0.861911,0.039973,0.185628,-3.12116,-0.352541,0.280873,-0.000781
0.862864,0.048745,0.180365,-3.32908,-0.352562,0.281033,0.001182
0.863859,0.057774,0.183402,-3.56796,-0.352523,0.2812,0.003336
0.864865,0.05127,0.169359,-3.72407,-0.352456,0.281551,0.004801
0.865868,0.057553,0.173429,-3.64125,-0.352268,0.281592,0.004011
0.866861,0.048814,0.17754,-3.46482,-0.352093,0.281723,0.002337
0.86786,0.040339,0.190079,-3.28902,-0.351859,0.281856,0.000879
0.868881,0.038638,0.191328,-3.05048,-0.351864,0.281641,-0.001166
0.869876,0.02277,0.201363,-2.88413,-0.351811,0.281348,-0.002732
0.870874,0.031039,0.189536,-2.92563,-0.352208,0.2811,-0.00212
0.871884,0.040846,0.185403,-3.10151,-0.352704,0.28096,-0.000441
0.872876,0.042689,0.186397,-3.30826,-0.353006,0.280597,0.001322
0.873876,0.051408,0.172645,-3.54674,-0.353085,0.280758,0.003363
0.874871,0.052643,0.163158,-3.72313,-0.353141,0.280964,0.004923
0.875874,0.051203,0.171663,-3.66109,-0.352764,0.280968,0.004223
0.876873,0.042465,0.175774,-3.48466,-0.35259,0.2811,0.002549
0.877883,0.040428,0.183832,-3.28779,-0.352224,0.281278,0.000675
0.878874,0.031245,0.188824,-3.05993,-0.352045,0.281214,-0.001274
0.879872,0.029834,0.197221,-2.88384,-0.351836,0.281296,-0.00284
0.880875,0.045015,0.18928,-2.93608,-0.352041,0.281099,-0.002133
0.881875,0.039121,0.185717,-3.12255,-0.35222,0.280881,-0.000465
0.882876,0.055421,0.185072,-3.31956,-0.352365,0.280892,0.001298
0.883872,0.058015,0.182711,-3.55787,-0.352528,0.281388,0.003342
0.88487,0.051882,0.169961,-3.73278,-0.352773,0.281356,0.004479
0.885882,0.051488,0.169325,-3.65948,-0.352782,0.281537,0.003574
0.886881,0.042749,0.173435,-3.48305,-0.352607,0.281669,0.0019
0.887873,0.034193,0.178766,-3.27598,-0.352585,0.281508,0.000258
0.888874,0.032755,0.188443,-3.03805,-0.352531,0.281294,-0.001571
0.889871,0.031272,0.189237,-2.87311,-0.352374,0.281185,-0.002718
0.890874,0.040061,0.194137,-2.94621,-0.352652,0.280946,-0.001699
0.891872,0.040667,0.194191,-3.12346,-0.35248,0.280874,7.8e-05
0.892879,0.049856,0.189328,-3.32098,-0.352659,0.280934,0.002053
0.893878,0.058622,0.183936,-3.55924,-0.352679,0.281099,0.00399
0.894877,0.059213,0.184254,-3.72442,-0.352668,0.280928,0.005138
0.895876,0.059207,0.174769,-3.66035,-0.352899,0.2812,0.00401
0.896873,0.035209,0.17909,-3.47318,-0.352572,0.28134,0.002021
0.897875,0.034153,0.179789,-3.27483,-0.352739,0.281221,-5.7e-05
