Timestamp,x,y,z,q1,q2,q3,q4
0.679086,0.075856,-0.018061,0.231874,0.999962,-0.007921,-0.00293,-0.002003
0.699088,0.075838,-0.018058,0.231814,0.999962,-0.007999,-0.003038,-0.001788
0.71912,0.075858,-0.018057,0.231877,0.99996,-0.008046,-0.003213,-0.002382
0.73908,0.075836,-0.018057,0.231808,0.999964,-0.007918,-0.002708,-0.001605
0.759076,0.07584,-0.018055,0.23182,0.999961,-0.008131,-0.002616,-0.002345
0.779065,0.075847,-0.018063,0.231837,0.999963,-0.007863,-0.00298,-0.001569
0.799106,0.075857,-0.018063,0.231896,0.999961,-0.007975,-0.003319,-0.002055
0.819067,0.075843,-0.01806,0.231839,0.999963,-0.008054,-0.002528,-0.001888
0.839072,0.075858,-0.018058,0.231879,0.999961,-0.007905,-0.00338,-0.001978
0.859101,0.07585,-0.018058,0.23185,0.999962,-0.007867,-0.003259,-0.001947
0.879085,0.075836,-0.018056,0.231811,0.999964,-0.007925,-0.002562,-0.001646
0.899119,0.075847,-0.018058,0.231852,0.999963,-0.007868,-0.002953,-0.00159
0.919078,0.075851,-0.018062,0.231876,0.999962,-0.007915,-0.003239,-0.001636
0.939079,0.075856,-0.018061,0.23188,0.99996,-0.007922,-0.003567,-0.002139
0.959102,0.075843,-0.018055,0.231837,0.999962,-0.007857,-0.003147,-0.001969
0.979078,0.075851,-0.018058,0.231869,0.999959,-0.007957,-0.003592,-0.002397
0.999093,0.076265,-0.018354,0.233315,0.999879,-0.007962,-0.013025,-0.002873
1.01908,0.075726,-0.017851,0.231219,0.999963,-0.008367,-0.001406,-0.00164
1.03906,0.075689,-0.018,0.231269,0.999945,-0.008997,-0.002066,-0.005005
1.05909,0.075738,-0.018141,0.23135,0.999962,-0.008224,-0.002545,-0.00169
1.07907,0.075877,-0.018227,0.231682,0.999953,-0.008308,-0.004202,-0.002686
1.09908,0.075866,-0.018122,0.231637,0.999956,-0.00805,-0.004143,-0.002526
1.11904,0.075852,-0.018072,0.231559,0.999961,-0.007895,-0.003381,-0.00184
1.13904,0.075906,-0.018046,0.231736,0.999961,-0.00769,-0.004174,-0.001481
1.15904,0.075845,-0.018039,0.231574,0.999963,-0.008003,-0.002933,-0.001326
1.17904,0.075852,-0.018056,0.231585,0.999961,-0.007959,-0.003439,-0.001736
1.19905,0.07583,-0.018048,0.231496,0.999963,-0.007957,-0.002733,-0.001669
1.21904,0.075819,-0.018047,0.231446,0.999963,-0.007963,-0.002511,-0.001956
1.23904,0.075786,-0.018056,0.231352,0.999963,-0.008054,-0.002263,-0.002167
1.25909,0.075811,-0.01807,0.231439,0.999961,-0.008055,-0.002503,-0.002735
1.27908,0.075838,-0.018072,0.231518,0.999962,-0.007935,-0.00324,-0.001421
1.29912,0.075851,-0.018072,0.231575,0.999961,-0.007895,-0.003336,-0.00203
1.31908,0.075841,-0.018067,0.231542,0.999964,-0.007778,-0.003248,-0.001274
1.33908,0.075833,-0.018059,0.231515,0.999963,-0.007884,-0.003073,-0.001562
1.35909,0.075811,-0.018051,0.231463,0.999963,-0.008017,-0.00249,-0.001707
1.37909,0.075807,-0.018054,0.231432,0.999964,-0.007903,-0.002721,-0.001622
1.39909,0.075807,-0.018048,0.231434,0.999964,-0.007894,-0.002513,-0.002019
1.41908,0.075826,-0.018057,0.2315,0.99996,-0.008045,-0.003092,-0.002417
1.43907,0.075821,-0.018063,0.231466,0.999962,-0.007943,-0.003048,-0.001748
1.45907,0.075834,-0.018066,0.231499,0.999963,-0.007848,-0.003277,-0.001583
1.4791,0.075844,-0.018065,0.231544,0.99996,-0.007943,-0.003457,-0.002042
1.49913,0.075838,-0.018068,0.23153,0.999963,-0.007877,-0.003034,-0.001883
1.51909,0.075832,-0.018059,0.231511,0.999965,-0.007719,-0.002861,-0.001494
1.5391,0.075834,-0.018056,0.231524,0.99996,-0.008056,-0.002819,-0.002505
1.5591,0.075831,-0.018059,0.231502,0.999964,-0.007845,-0.002853,-0.001782
1.57909,0.075831,-0.018062,0.231505,0.999964,-0.007882,-0.002953,-0.001279
1.59909,0.075834,-0.018063,0.231516,0.999961,-0.008061,-0.002754,-0.002139
1.6191,0.075835,-0.01806,0.231518,0.999963,-0.007865,-0.002888,-0.002149
1.63909,0.075843,-0.01806,0.231546,0.99996,-0.007957,-0.003035,-0.002672
1.65908,0.075843,-0.018064,0.231552,0.999959,-0.008064,-0.003078,-0.002659
1.67908,0.07583,-0.018063,0.231496,0.999964,-0.007804,-0.002918,-0.001596
1.69918,0.075824,-0.018064,0.231472,0.999965,-0.007771,-0.002874,-0.001129
1.71912,0.075835,-0.018063,0.23151,0.999961,-0.007976,-0.003307,-0.001889
1.73903,0.075825,-0.018059,0.231476,0.999964,-0.00788,-0.00266,-0.001582
1.75904,0.075844,-0.01806,0.23154,0.99996,-0.007995,-0.003035,-0.002634
1.77905,0.075817,-0.018061,0.231455,0.999963,-0.008027,-0.00261,-0.001872
1.79907,0.075821,-0.018057,0.231473,0.999964,-0.007807,-0.002653,-0.001838
1.81907,0.075826,-0.018064,0.231495,0.999964,-0.007839,-0.002858,-0.001772
1.83907,0.075817,-0.018062,0.231464,0.999965,-0.007798,-0.002725,-0.001364
1.85909,0.075837,-0.018064,0.231525,0.999963,-0.007917,-0.002891,-0.001983
1.87905,0.075829,-0.01806,0.231495,0.999963,-0.007978,-0.002528,-0.002049
1.89905,0.075814,-0.01806,0.231451,0.999964,-0.007896,-0.002544,-0.001729
1.91907,0.075837,-0.018065,0.231525,0.999961,-0.008016,-0.002936,-0.00246
1.93907,0.075818,-0.018058,0.231461,0.999965,-0.007899,-0.00255,-0.001329
1.95908,0.075829,-0.018058,0.231493,0.999962,-0.007918,-0.002716,-0.002508
1.97906,0.07585,-0.018063,0.231563,0.999961,-0.007975,-0.003185,-0.002176
1.99906,0.075816,-0.018061,0.231455,0.999965,-0.007879,-0.002363,-0.001661
2.01905,0.075824,-0.018061,0.23148,0.999964,-0.007915,-0.002387,-0.002016
2.03905,0.075845,-0.018066,0.231555,0.999959,-0.008057,-0.003235,-0.002462
2.05904,0.075843,-0.01806,0.231538,0.99996,-0.008056,-0.003154,-0.002427
2.07905,0.075831,-0.018058,0.23149,0.999964,-0.007877,-0.002584,-0.001884
2.09906,0.075836,-0.018058,0.231519,0.999961,-0.008018,-0.002959,-0.002117
2.11908,0.075836,-0.018062,0.231524,0.999963,-0.007863,-0.002845,-0.002219
2.13906,0.075833,-0.018062,0.231511,0.999963,-0.007925,-0.002935,-0.001784
2.15905,0.07582,-0.01806,0.23147,0.999962,-0.007995,-0.002686,-0.002337
2.17905,0.075835,-0.018063,0.231524,0.999958,-0.008087,-0.003247,-0.002809
2.19905,0.075833,-0.018065,0.231504,0.999963,-0.007969,-0.002675,-0.00195
2.21905,0.075836,-0.018063,0.231528,0.999962,-0.007929,-0.003083,-0.001977
2.23907,0.075844,-0.018065,0.231551,0.999962,-0.007899,-0.003015,-0.002128
2.25907,0.075824,-0.018062,0.231481,0.999964,-0.007876,-0.00293,-0.001054
2.27904,0.075835,-0.018064,0.231512,0.999961,-0.008031,-0.002854,-0.002297
2.29904,0.075846,-0.018067,0.231561,0.999962,-0.007858,-0.003273,-0.001812
2.31908,0.075827,-0.018066,0.231506,0.999964,-0.007903,-0.00297,-0.001074
2.33908,0.075786,-0.017998,0.231482,0.999954,-0.008641,-0.003214,-0.002817
2.35908,0.075264,-0.017972,0.230599,0.999949,-0.00858,-0.00355,-0.00409
2.37906,0.073501,-0.017929,0.227741,0.999919,-0.008377,-0.002847,-0.009123
2.39906,0.07035,-0.017949,0.222594,0.999858,-0.008262,-0.006345,-0.013245
2.41911,0.066374,-0.01797,0.215884,0.999719,-0.007786,-0.019026,-0.011766
2.43906,0.062272,-0.018,0.208146,0.999334,-0.007434,-0.034902,-0.007657
2.45907,0.058396,-0.018023,0.199951,0.998708,-0.006829,-0.050239,-0.003317
2.47906,0.05549,-0.018086,0.192747,0.99774,-0.007081,-0.066662,0.004466
2.49905,0.054287,-0.018147,0.188168,0.996904,-0.008731,-0.07798,0.005056
2.51907,0.054434,-0.018197,0.186679,0.996139,-0.008781,-0.087235,0.004586
2.53906,0.054538,-0.018126,0.186616,0.995671,-0.008911,-0.092506,-0.001583
2.55905,0.054541,-0.018083,0.186445,0.995914,-0.009407,-0.089665,-0.005273
2.57913,0.054592,-0.018172,0.186453,0.995858,-0.008628,-0.090419,-0.004047
2.59911,0.054606,-0.018184,0.18658,0.995502,-0.008572,-0.094347,-0.001246
2.61908,0.054579,-0.018101,0.18647,0.995702,-0.009027,-0.092145,-0.002397
2.63911,0.054549,-0.018109,0.186127,0.996072,-0.009019,-0.087919,-0.005479
2.65906,0.054642,-0.018209,0.186328,0.995837,-0.008507,-0.090672,-0.003882
2.67908,0.054662,-0.018186,0.186588,0.995467,-0.008404,-0.094736,-9.6e-05
2.69908,0.054608,-0.018078,0.186263,0.995887,-0.009412,-0.089982,-0.00478
2.71911,0.054643,-0.018122,0.186103,0.996116,-0.00897,-0.087418,-0.005585
2.73911,0.054711,-0.018203,0.186275,0.995796,-0.008596,-0.091143,-0.003165
2.7591,0.054768,-0.018223,0.186695,0.995457,-0.008371,-0.094813,-0.002519
2.77907,0.054904,-0.018146,0.188094,0.995351,-0.009241,-0.095251,-0.010877
2.79908,0.055254,-0.018114,0.191013,0.995751,-0.010613,-0.088247,-0.024075
2.81909,0.055826,-0.018136,0.195851,0.99549,-0.010502,-0.090137,-0.027638
2.8391,0.056262,-0.018074,0.201433,0.995169,-0.0104,-0.092362,-0.031608
2.85911,0.056444,-0.018018,0.206788,0.995612,-0.01051,-0.088605,-0.028196
2.87909,0.056794,-0.017996,0.211285,0.995982,-0.009835,-0.086781,-0.019813
2.89907,0.057292,-0.017999,0.213737,0.995989,-0.009035,-0.08868,-0.007807
2.91907,0.057322,-0.017953,0.213925,0.995892,-0.009409,-0.089732,-0.007637
2.93907,0.057353,-0.017983,0.213932,0.995993,-0.008912,-0.08879,-0.005877
2.95909,0.057327,-0.017964,0.213925,0.995997,-0.009061,-0.08873,-0.00583
2.9791,0.057366,-0.017994,0.213994,0.995938,-0.008991,-0.089407,-0.005689
2.9991,0.057362,-0.017997,0.213968,0.995939,-0.008687,-0.089447,-0.005428
3.01909,0.057367,-0.017996,0.214008,0.995881,-0.008944,-0.089989,-0.006596
3.0391,0.057362,-0.017998,0.213985,0.995967,-0.00888,-0.089073,-0.006102
3.05906,0.057361,-0.017997,0.21397,0.995974,-0.008877,-0.088969,-0.006409
3.07906,0.057365,-0.018002,0.214004,0.995898,-0.008853,-0.089864,-0.005833
3.09909,0.057368,-0.018001,0.214023,0.995846,-0.008914,-0.090439,-0.005658
3.11909,0.057377,-0.018003,0.214053,0.995767,-0.009053,-0.09123,-0.006552
3.13909,0.057369,-0.017998,0.214022,0.995843,-0.00891,-0.090478,-0.005514
3.1591,0.057365,-0.017987,0.214011,0.99587,-0.008985,-0.090136,-0.006094
3.17908,0.057362,-0.017992,0.213987,0.995881,-0.008806,-0.090066,-0.005589
3.19908,0.05736,-0.017995,0.213962,0.996001,-0.008685,-0.08879,-0.004854
3.21908,0.057363,-0.017989,0.21398,0.995985,-0.008854,-0.088901,-0.005649
3.23912,0.057364,-0.017996,0.213982,0.995941,-0.008807,-0.08939,-0.005757
3.25912,0.057366,-0.017998,0.214005,0.995887,-0.008954,-0.089946,-0.006246
3.27914,0.057359,-0.017991,0.213978,0.996001,-0.008908,-0.088661,-0.006398
3.29911,0.05736,-0.017994,0.213985,0.995914,-0.008906,-0.089649,-0.006218
3.31911,0.057359,-0.017999,0.213992,0.995845,-0.008928,-0.090445,-0.005799
3.33909,0.057363,-0.017996,0.213969,0.996027,-0.008697,-0.088474,-0.005164
3.35911,0.057379,-0.01799,0.214034,0.995978,-0.008985,-0.088947,-0.006007
3.37912,0.057362,-0.017993,0.213979,0.995962,-0.008817,-0.089162,-0.005685
3.39906
3.41903
