Timestamp,vx,vy,vz,wx,wy,wz
0.660971,9e-06,6e-06,6e-06,1.7e-05,-1.1e-05,-2.4e-05
0.665915,-1e-06,1e-06,-4e-06,-1.4e-05,6e-06,3e-05
0.670916,-2e-06,-1e-06,-1e-05,8e-06,1.1e-05,-2.4e-05
0.675908,4e-06,2e-06,1e-05,-8e-06,-1.1e-05,-6e-06
0.680915,5e-06,6e-06,-1.1e-05,2.5e-05,2.5e-05,4.2e-05
0.685926,-5e-06,-1e-06,2e-06,-1.8e-05,-1.4e-05,-6e-06
0.690925,1.2e-05,4e-06,-8e-06,-1e-06,1.4e-05,-6e-06
0.695913,-1e-05,-2e-06,2e-06,1.4e-05,-1.3e-05,1.2e-05
0.700912,-1e-06,-6e-06,1.4e-05,-2.2e-05,5e-06,-2.4e-05
0.705909,-1e-06,3e-06,-6e-06,1.2e-05,-1.1e-05,-6e-06
0.710936,4e-06,1e-06,-6e-06,-7e-06,2.7e-05,1.8e-05
0.715936,-3e-06,0,4e-06,6e-06,-1e-05,-1.2e-05
0.720915,6e-06,6e-06,2e-06,3e-06,-5e-06,6e-06
0.725924,-8e-06,-1.5e-05,-0,-0,0,-1.2e-05
0.7309,3e-06,5e-06,0,1.9e-05,-3e-06,1.8e-05
0.735898,1e-06,-3e-06,-8e-06,-9e-06,9e-06,-3e-05
0.740935,-5e-06,-1e-05,-2e-06,-5e-06,-7e-06,-6e-06
0.745925,5e-06,1e-05,-8e-06,1.2e-05,1.8e-05,6e-05
0.750917,1e-06,5e-06,1e-05,-7e-06,-1.1e-05,-2.4e-05
0.755903,-2e-06,-2e-06,-0,-2e-06,-1.2e-05,-2.4e-05
0.760914,8e-06,1.4e-05,0,2e-06,1.2e-05,4.8e-05
0.765919,-0,1e-06,4e-06,-5e-06,-3e-06,1.2e-05
0.770906,-7e-06,-1.1e-05,-4e-06,5e-06,3e-06,-3e-05
0.775889,-2e-06,-6e-06,8e-06,-1.1e-05,-6e-06,-1.8e-05
0.780911,-4e-06,-6e-06,-8e-06,1e-05,6e-06,6e-06
0.785915,4e-06,6e-06,8e-06,-1e-05,-6e-06,-6e-06
0.790928,-0,-2e-06,-0,-0,0,2.4e-05
0.795923,2e-06,1e-06,-1e-05,2.6e-05,8e-06,-1.8e-05
0.800916,1e-06,3e-06,-2e-06,-2.4e-05,-4e-06,-6e-06
0.805933,5e-06,8e-06,-6e-06,1.2e-05,2.4e-05,3.6e-05
0.810929,-0,2e-06,2e-06,-1.6e-05,-2e-06,-1.2e-05
0.815912,2e-06,7e-06,2e-06,1e-06,-1.7e-05,1.2e-05
0.820924,-6e-06,-1.6e-05,-0,2e-06,1.2e-05,-3e-05
0.825912,-0,-5e-06,4e-06,2.5e-05,-1.3e-05,-6e-06
0.830913,-1e-06,5e-06,0,-2e-06,-1.2e-05,2.4e-05
0.835916,2e-06,2e-06,-4e-06,-2.5e-05,1.3e-05,-1.8e-05
0.840916,4e-06,3e-06,-4e-06,-4e-06,2.2e-05,1.8e-05
0.845908,0,-5e-06,-8e-06,2.9e-05,3e-06,-0
0.850914,-0,-0,6e-06,-1.3e-05,-1e-06,-1.8e-05
0.855922,-1e-06,-3e-06,-4e-06,-6e-06,1e-05,-6e-06
0.86091,1e-06,1e-06,-8e-06,1e-05,6e-06,1.8e-05
0.865927,-4e-06,0,1.9e-05,-3.4e-05,-1.9e-05,-2.4e-05
0.870929,6e-06,1.2e-05,-1.9e-05,1.5e-05,2.2e-05,3.6e-05
0.875929,-2e-06,-6e-06,8e-06,8e-06,-9e-06,-0
0.880913,-1e-06,-1e-06,6e-06,-2.1e-05,-5e-06,-2.4e-05
0.885929,-0,3e-06,-0,1.1e-05,-7e-06,-6e-06
0.890939,3e-06,-7e-06,-6e-06,1e-05,1.3e-05,-0
0.895928,-0,3e-06,-8e-06,-8e-06,9e-06,1.8e-05
0.900944,-1e-06,-8e-06,-0,1.9e-05,-3e-06,-2.4e-05
0.905917,-2e-06,-3e-06,-6e-06,-9e-06,1.6e-05,6e-06
0.910929,0.00147,0.004582,-0.007436,-0.016343,0.010511,0.006264
0.915927,0.013883,0.012988,-0.060363,-0.048581,0.105313,0.017513
0.920944,0.015323,0.011886,-0.095693,-0.019031,0.106222,0.020806
0.925913,0.01255,0.00984,-0.112272,-0.017807,0.098038,0.021026
0.930937,0.002162,0.006122,-0.101814,-0.000713,0.029969,0.010547
0.935927,-0.01138,0.006299,-0.069159,-0.004483,-0.076504,-0.012188
0.94093,-0.016758,0.003184,-0.051387,0.014043,-0.123371,-0.0427
0.945927,-0.014448,0.000207,-0.02946,0.028595,-0.120242,-0.067834
0.950926,-0.012273,-0.00446,-0.004566,0.042721,-0.107406,-0.056399
0.955925,-0.007697,-0.006848,0.020825,0.050036,-0.075033,-0.020536
0.96093,-0.007195,-0.015504,0.039098,0.054168,-0.046109,-0.007971
0.965954,-0.001711,-0.008736,0.057458,0.034939,-0.010983,0.020447
0.970928,0.000358,-0.007573,0.073497,0.015668,0.014387,0.011549
0.975923,0.003681,-0.00548,0.079463,-0.00226,0.040104,0.002851
0.98093,0.006378,-0.004551,0.078942,-0.008938,0.055385,0.003971
0.985924,0.008982,-0.003057,0.071083,-0.016959,0.071329,0.003183
0.990925,0.00645,4.2e-05,0.063382,-0.024764,0.046981,0.003189
0.99593,0.001333,0.003427,0.054201,-0.032526,0.010908,0.001739
1.00094,-0.002794,0.004832,0.041497,-0.030309,-0.01727,0.002796
1.00591,-0.0045,0.004838,0.026926,-0.019099,-0.032416,0.004542
1.01092,-0.003745,0.004022,0.015302,-0.015429,-0.02533,0.004771
1.01593,-0.002095,0.002362,0.010484,-0.010957,-0.010801,0.002728
1.02094,0.000309,-7.6e-05,-0.000972,-0.006268,0.00915,-0.001055
1.02591,0.003206,0.000288,-0.008966,-0.004673,0.022691,-0.001738
1.03092,0.004716,0.000407,-0.015913,-0.000187,0.029703,4.8e-05
1.03593,0.004754,-0.001109,-0.021845,0.005112,0.032094,4.8e-05
1.04091,0.003961,-0.00149,-0.022556,0.006568,0.026691,-0.003267
1.04595,0.000936,-0.000489,-0.021147,0.005479,0.006596,0.000634
1.05093,-0.003189,-0.000341,-0.018706,0.003418,-0.019142,0.000379
1.05592,-0.004047,-0.000532,-0.016799,0.00395,-0.025027,9.9e-05
1.06093,-0.003605,-0.000719,-0.013592,0.004187,-0.022642,-0.000525
1.06592,-0.003323,0.00036,-0.007872,0.00263,-0.023575,0.00149
1.07092,-0.00163,-0.000493,-0.005061,0.00524,-0.011589,0.000157
1.07592,0.000604,-9.7e-05,-0.001817,0.004291,0.00138,0.001141
1.0809,0.000206,5e-05,0.001351,0.003543,-0.00064,0.00082
1.08591,-0.000595,-0.000199,0.002333,0.002656,-0.005443,0.000187
1.09092,-0.001349,-0.000495,0.004348,0.003028,-0.008898,0.000186
1.09591,-0.001236,-0.000385,0.0065,0.005319,-0.009108,0.000621
1.10092,-0.000377,-0.000778,0.008145,0.004422,-0.003081,-1.7e-05
1.1059,0.001309,-0.000489,0.007439,0.003024,0.007622,-0.000165
1.11091,0.003292,-0.000469,0.006148,0.00337,0.020162,-6.6e-05
1.11591,0.003917,-0.000596,0.005643,0.002967,0.025134,-0.000154
1.12091,0.001998,-3e-05,0.005993,-0.000248,0.012597,-0.000201
1.12593,0.000102,0.00057,0.004251,-0.003984,0.000402,-1.7e-05
1.13093,-0.000363,0.001028,0.002465,-0.005703,-0.00273,0.00034
1.13592,-0.000845,0.00081,0.001529,-0.005086,-0.005341,0.000367
1.14091,-0.000129,0.000443,0.001507,-0.002933,-0.000928,-0.000185
1.1459,-0.00015,8.9e-05,0.001379,-0.001863,-0.000745,-0.000484
1.15091,-1.8e-05,0.000233,0.000601,-0.001471,7.3e-05,0.000164
1.15591,2.5e-05,7.1e-05,-0.000173,-0.000522,0.000324,-5.1e-05
1.16091,8.6e-05,-5.4e-05,-0.000249,-0.000281,0.000922,-7e-05
1.16591,3.1e-05,-8.1e-05,-0.000191,-4.6e-05,0.000465,-0.000289
1.17093,-2.7e-05,-0.000186,-0.000186,0.00048,-2e-05,-0.000247
1.17595,-8e-06,-1.1e-05,-0.000364,0.000205,-4.4e-05,6.9e-05
1.1809,6.1e-05,9.1e-05,-0.000543,-0.000894,0.000789,-0.000114
1.18592,0.000312,0.000128,-0.001181,-0.001798,0.002727,-0.00032
1.1909,0.000204,0.000254,-0.000826,-0.001549,0.001336,-1.2e-05
1.1959,-0.000446,0.000137,-0.000153,-0.000854,-0.002707,2e-06
1.20094,-0.000579,0.000129,6.3e-05,-0.000376,-0.003879,5.3e-05
1.2059,-0.000359,8.1e-05,-1.5e-05,-0.000379,-0.00242,-1.6e-05
1.2109,-0.000241,6e-05,-3.6e-05,-0.000261,-0.001633,-4e-05
1.2159,-0.000235,-2.9e-05,-6.7e-05,-0.000206,-0.001368,-0.000226
1.2209,-2.7e-05,-0.00012,-0.000159,-0.000122,0.000185,-0.000314
1.2259,-1e-05,-0.000287,-0.00028,-5.8e-05,0.000626,-0.000785
1.23095,8.7e-05,-8.8e-05,-0.000346,-0.000259,0.000737,-0.000315
1.23593,6e-05,2.8e-05,-0.000186,-0.00013,0.000326,-2.6e-05
1.24093,6e-05,1.4e-05,-0.000224,-0.000238,0.000524,-1.2e-05
1.24593,4.1e-05,7.1e-05,-0.000127,-0.000212,0.000197,5.8e-05
1.25093,-4.2e-05,0.000123,-7.9e-05,-0.000177,-0.000482,0.000212
1.25593,-5.7e-05,0.000125,-1.1e-05,-3.6e-05,-0.000519,0.000306
1.26093,-7e-06,-3.8e-05,1.5e-05,1e-06,-5.7e-05,-0.000138
1.26595,-9e-06,3e-06,-1.6e-05,-1.1e-05,-6.8e-05,1.8e-05
1.27092,-6e-05,-1e-06,-5.5e-05,8e-06,-0.000385,-1.8e-05
1.27596,6e-06,-2.5e-05,-0.000133,9e-05,8e-05,-4.1e-05
1.28094,-8e-06,-8.2e-05,-0.000144,0.000132,0.000125,-0.000131
