Timestamp,fx,fy,fz,mx,my,mz
0.667921,-0.332521,-0.42211,-3.14098,0.167797,0.451015,-0.014776
0.668867,-0.340229,-0.417519,-3.03564,0.167659,0.450957,-0.016182
0.669873,-0.330601,-0.422221,-3.13906,0.167154,0.450999,-0.015086
0.670854,-0.32896,-0.430814,-3.32806,0.167106,0.451015,-0.01257
0.671843,-0.320145,-0.427093,-3.52842,0.167309,0.451084,-0.009741
0.672846,-0.311343,-0.432884,-3.76049,0.167608,0.451441,-0.006519
0.673841,-0.318445,-0.438017,-3.87618,0.167895,0.451699,-0.005126
0.674845,-0.320336,-0.438015,-3.76406,0.16837,0.451793,-0.005682
0.675843,-0.322661,-0.437626,-3.57749,0.168683,0.45178,-0.007457
0.676856,-0.33095,-0.424491,-3.37838,0.168599,0.451716,-0.009853
0.677857,-0.333251,-0.415083,-3.1371,0.16865,0.451505,-0.012965
0.678847,-0.334398,-0.422372,-3.04094,0.168432,0.451206,-0.014702
0.679845,-0.333661,-0.42969,-3.15267,0.168066,0.450831,-0.014362
0.680846,-0.32468,-0.425236,-3.34799,0.167791,0.450608,-0.013126
0.681844,-0.322819,-0.434386,-3.54517,0.167578,0.450717,-0.011259
0.682841,-0.328256,-0.439094,-3.79515,0.167556,0.450793,-0.008687
0.68384,-0.327635,-0.448662,-3.89006,0.167654,0.451087,-0.007383
0.684846,-0.329022,-0.440923,-3.76847,0.168184,0.45137,-0.007716
0.685848,-0.330916,-0.440399,-3.58359,0.168498,0.451356,-0.008849
0.686844,-0.339433,-0.436092,-3.37765,0.168673,0.451483,-0.010176
0.687841,-0.333518,-0.422888,-3.12914,0.168756,0.451409,-0.012211
0.688855,-0.334172,-0.421945,-3.04651,0.168758,0.45121,-0.012782
0.689843,-0.332521,-0.421256,-3.16873,0.168288,0.450929,-0.012232
0.690856,-0.329848,-0.429471,-3.36338,0.167599,0.450744,-0.010995
0.691847,-0.327954,-0.429995,-3.54827,0.167285,0.450757,-0.009862
0.692863,-0.317925,-0.435205,-3.8051,0.166786,0.450818,-0.008254
0.693842,-0.324815,-0.440501,-3.88654,0.166749,0.451067,-0.008113
0.694843,-0.332894,-0.437205,-3.76239,0.166921,0.451393,-0.009191
0.695845,-0.33587,-0.436394,-3.56597,0.167396,0.451289,-0.010959
0.696854,-0.338174,-0.436141,-3.36114,0.167868,0.451371,-0.012079
0.697842,-0.333576,-0.431608,-3.12461,0.168372,0.451401,-0.013706
0.698842,-0.33547,-0.421727,-3.03414,0.168918,0.45112,-0.013737
0.699845,-0.328156,-0.417597,-3.1606,0.16928,0.451092,-0.012133
0.700848,-0.326167,-0.434016,-3.35769,0.168855,0.45091,-0.010156
0.701845,-0.323842,-0.434405,-3.54426,0.168543,0.450923,-0.00838
0.702841,-0.32177,-0.43436,-3.80161,0.168237,0.450755,-0.006663
0.703842,-0.319459,-0.443842,-3.88168,0.167532,0.450936,-0.00662
0.704847,-0.326516,-0.439672,-3.78619,0.167231,0.450971,-0.008033
0.705845,-0.334611,-0.43559,-3.5772,0.167082,0.451091,-0.010318
0.706841,-0.342498,-0.431568,-3.39939,0.166935,0.451215,-0.012308
0.707842,-0.336342,-0.419056,-3.14078,0.167013,0.451329,-0.014337
0.708853,-0.337406,-0.418384,-3.03821,0.167172,0.451226,-0.014894
0.709842,-0.330551,-0.422885,-3.14494,0.167633,0.451291,-0.013172
0.710844,-0.322866,-0.427239,-3.33398,0.167939,0.451266,-0.010873
0.711841,-0.322508,-0.435878,-3.52269,0.16821,0.451291,-0.008683
0.712857,-0.313504,-0.432082,-3.7725,0.168256,0.451269,-0.006215
