Timestamp,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.00682461,-3.95367e-05,14.1304,-0.546544,19.5728,-0.0285096,0.0434382,-7.27251e-06
0.00737879,-4.1953e-05,14.1304,-0.546546,19.5728,-0.0285095,0.0434382,-7.74616e-06
0.00860214,-3.93064e-05,14.1304,-0.546543,19.5728,-0.0285096,0.0434379,-7.22501e-06
0.00944543,-4.18861e-05,14.1304,-0.546545,19.5728,-0.0285096,0.0434379,-7.73341e-06
0.0106077,-3.92987e-05,14.1305,-0.546542,19.5728,-0.0285096,0.0434376,-7.22373e-06
0.0112669,-4.18854e-05,14.1305,-0.546544,19.5728,-0.0285096,0.0434375,-7.73329e-06
0.0122762,-3.93004e-05,14.1305,-0.546542,19.5728,-0.0285097,0.0434373,-7.22405e-06
0.0133101,-4.18842e-05,14.1305,-0.546543,19.5728,-0.0285097,0.0434372,-7.73307e-06
0.0142969,-3.9301e-05,14.1305,-0.546541,19.5728,-0.0285097,0.043437,-7.22419e-06
0.0152549,-4.18835e-05,14.1305,-0.546543,19.5728,-0.0285097,0.0434369,-7.73295e-06
0.016273,-3.93012e-05,14.1305,-0.54654,19.5728,-0.0285098,0.0434366,-7.22424e-06
0.0172962,-4.18826e-05,14.1305,-0.546542,19.5728,-0.0285097,0.0434366,-7.7328e-06
0.0182799,-3.93013e-05,14.1305,-0.546539,19.5728,-0.0285098,0.0434363,-7.22429e-06
0.0192891,-4.18819e-05,14.1305,-0.546541,19.5728,-0.0285098,0.0434363,-7.73267e-06
0.0204796,-3.93014e-05,14.1305,-0.546538,19.5728,-0.0285098,0.043436,-7.22432e-06
0.0214417,-4.18813e-05,14.1305,-0.54654,19.5728,-0.0285098,0.043436,-7.73257e-06
0.0223964,-3.93013e-05,14.1305,-0.546538,19.5728,-0.0285099,0.0434357,-7.22433e-06
0.0232804,-4.18808e-05,14.1305,-0.546539,19.5728,-0.0285099,0.0434356,-7.73249e-06
0.0242951,-3.93011e-05,14.1305,-0.546537,19.5728,-0.0285099,0.0434354,-7.22431e-06
0.0252692,-4.18804e-05,14.1305,-0.546539,19.5728,-0.0285099,0.0434353,-7.73244e-06
0.0263058,-3.93014e-05,14.1305,-0.546536,19.5728,-0.02851,0.0434351,-7.22437e-06
0.0272843,-4.18801e-05,14.1305,-0.546538,19.5728,-0.02851,0.043435,-7.73238e-06
0.0282759,-3.93005e-05,14.1305,-0.546535,19.5728,-0.02851,0.0434348,-7.22423e-06
0.0292554,-4.18799e-05,14.1305,-0.546537,19.5728,-0.02851,0.0434347,-7.73236e-06
0.0302941,-3.93002e-05,14.1305,-0.546534,19.5728,-0.0285101,0.0434344,-7.22417e-06
0.0312898,-4.18797e-05,14.1305,-0.546536,19.5728,-0.0285101,0.0434344,-7.73235e-06
0.032309,-3.92997e-05,14.1305,-0.546534,19.5728,-0.0285101,0.0434341,-7.22409e-06
0.033306,-4.18796e-05,14.1305,-0.546535,19.5728,-0.0285101,0.0434341,-7.73235e-06
0.0343335,-3.92992e-05,14.1305,-0.546533,19.5728,-0.0285102,0.0434338,-7.22401e-06
0.0352922,-4.18796e-05,14.1305,-0.546535,19.5728,-0.0285101,0.0434337,-7.73236e-06
0.0365379,-3.92986e-05,14.1305,-0.546532,19.5728,-0.0285102,0.0434335,-7.22392e-06
0.0373256,-4.18796e-05,14.1305,-0.546534,19.5728,-0.0285102,0.0434334,-7.73237e-06
0.0383904,-3.9298e-05,14.1305,-0.546531,19.5728,-0.0285102,0.0434332,-7.22381e-06
0.0392842,-4.18796e-05,14.1305,-0.546533,19.5728,-0.0285102,0.0434331,-7.7324e-06
0.0405511,-3.92973e-05,14.1305,-0.54653,19.5728,-0.0285103,0.0434329,-7.2237e-06
0.0413049,-4.18793e-05,14.1305,-0.546532,19.5728,-0.0285103,0.0434328,-7.73236e-06
0.0423152,-3.92968e-05,14.1305,-0.54653,19.5728,-0.0285103,0.0434325,-7.22362e-06
0.0434054,-4.18798e-05,14.1305,-0.546532,19.5728,-0.0285103,0.0434325,-7.73247e-06
0.0444703,-3.9296e-05,14.1305,-0.546529,19.5728,-0.0285104,0.0434322,-7.22347e-06
0.0453371,-4.18799e-05,14.1305,-0.546531,19.5728,-0.0285104,0.0434322,-7.7325e-06
0.046306,-3.92952e-05,14.1305,-0.546528,19.5728,-0.0285104,0.0434319,-7.22334e-06
0.0472429,-4.18797e-05,14.1305,-0.54653,19.5728,-0.0285104,0.0434319,-7.73248e-06
0.0482954,-3.61762e-05,14.1305,-0.546524,19.5728,-0.0285088,0.0434395,-7.2072e-06
0.0493128,-4.18798e-05,14.1305,-0.546529,19.5728,-0.0285105,0.0434315,-7.73252e-06
0.0503214,-3.92922e-05,14.1305,-0.546527,19.5728,-0.0285105,0.0434313,-7.22281e-06
0.0515515,-4.18766e-05,14.1305,-0.546528,19.5728,-0.0285105,0.0434312,-7.73197e-06
0.0527623,-3.92911e-05,14.1305,-0.546526,19.5728,-0.0285106,0.043431,-7.22262e-06
0.0534124,-4.18802e-05,14.1305,-0.546528,19.5728,-0.0285105,0.0434309,-7.73265e-06
0.0544626,-3.92922e-05,14.1305,-0.546525,19.5728,-0.0285106,0.0434306,-7.22282e-06
0.0554295,-4.18807e-05,14.1305,-0.546527,19.5728,-0.0285106,0.0434306,-7.73276e-06
0.0563336,-3.92914e-05,14.1305,-0.546524,19.5728,-0.0285106,0.0434303,-7.22268e-06
0.057343,-4.18809e-05,14.1305,-0.546526,19.5728,-0.0285106,0.0434303,-7.73281e-06
0.0583855,-3.92906e-05,14.1305,-0.546523,19.5728,-0.0285107,0.04343,-7.22254e-06
0.0597085,-4.18811e-05,14.1305,-0.546525,19.5728,-0.0285107,0.04343,-7.73287e-06
0.0602906,-3.92898e-05,14.1305,-0.546523,19.5728,-0.0285107,0.0434297,-7.2224e-06
0.0613466,-4.18813e-05,14.1305,-0.546524,19.5728,-0.0285107,0.0434296,-7.73292e-06
0.0623368,-4.02696e-05,14.1305,-0.546523,19.5728,-0.0285107,0.0434295,-7.41412e-06
0.0632284,-3.95298e-05,14.1305,-0.546522,19.5728,-0.0285108,0.0434292,-7.2716e-06
0.0642941,-3.88322e-05,14.1305,-0.54652,19.5728,-0.0285092,0.0434371,-7.72962e-06
0.0653199,-3.92982e-05,14.1305,-0.546521,19.5728,-0.0285108,0.0434289,-7.22389e-06
0.0663063,-4.18752e-05,14.1305,-0.546522,19.5728,-0.0285108,0.0434288,-7.7318e-06
0.0673204,-3.92894e-05,14.1305,-0.54652,19.5728,-0.0285109,0.0434286,-7.22242e-06
0.0683262,-4.18763e-05,14.1305,-0.546522,19.5728,-0.0285109,0.0434285,-7.73201e-06
0.0693622,-3.92926e-05,14.1305,-0.546519,19.5728,-0.0285109,0.0434283,-7.22302e-06
0.070328,-4.18757e-05,14.1305,-0.546521,19.5728,-0.0285109,0.0434282,-7.73191e-06
0.0712902,-3.92931e-05,14.1305,-0.546518,19.5728,-0.028511,0.043428,-7.22313e-06
0.0723144,-4.1875e-05,14.1305,-0.54652,19.5728,-0.028511,0.0434279,-7.73178e-06
0.0733042,-3.92927e-05,14.1305,-0.546517,19.5728,-0.028511,0.0434276,-7.22309e-06
0.0742893,-4.18742e-05,14.1305,-0.546519,19.5728,-0.028511,0.0434276,-7.73164e-06
0.0753134,-3.92934e-05,14.1305,-0.546517,19.5728,-0.0285111,0.0434273,-7.22324e-06
0.0762856,-4.18734e-05,14.1305,-0.546518,19.5728,-0.0285111,0.0434273,-7.7315e-06
0.0772837,-3.92929e-05,14.1305,-0.546516,19.5728,-0.0285111,0.043427,-7.22317e-06
0.0783435,-4.18729e-05,14.1305,-0.546518,19.5728,-0.0285111,0.043427,-7.73142e-06
0.079325,-3.92934e-05,14.1305,-0.546515,19.5728,-0.0285111,0.0434267,-7.22327e-06
0.0803287,-4.18723e-05,14.1306,-0.546517,19.5728,-0.0285111,0.0434266,-7.73132e-06
0.0813897,-3.92927e-05,14.1306,-0.546514,19.5728,-0.0285112,0.0434264,-7.22316e-06
0.0822949,-4.1872e-05,14.1306,-0.546516,19.5728,-0.0285112,0.0434263,-7.73128e-06
0.0835111,-3.92925e-05,14.1306,-0.546513,19.5728,-0.0285112,0.0434261,-7.22313e-06
0.0850464,-4.18714e-05,14.1306,-0.546515,19.5728,-0.0285112,0.043426,-7.73117e-06
0.0856553,-3.92923e-05,14.1306,-0.546513,19.5728,-0.0285113,0.0434257,-7.22311e-06
0.0865311,-4.18715e-05,14.1306,-0.546515,19.5728,-0.0285113,0.0434257,-7.73122e-06
0.0874833,-3.87594e-05,14.1305,-0.546512,19.5728,-0.0285096,0.0434336,-7.71584e-06
0.0883431,-4.18709e-05,14.1306,-0.546514,19.5728,-0.0285113,0.0434254,-7.73112e-06
0.0893384,-4.18709e-05,14.1306,-0.546514,19.5728,-0.0285113,0.0434254,-7.73112e-06
0.0902568,-4.18693e-05,14.1306,-0.546513,19.5728,-0.0285114,0.0434251,-7.73086e-06
0.091272,-4.24027e-05,14.1306,-0.546513,19.5728,-0.028513,0.0434169,-7.23821e-06
0.0922746,-3.61717e-05,14.1305,-0.546507,19.5728,-0.0285098,0.0434327,-7.20671e-06
0.0933142,-3.92931e-05,14.1306,-0.54651,19.5728,-0.0285115,0.0434245,-7.22328e-06
0.0942922,-4.49894e-05,14.1306,-0.546514,19.5728,-0.0285131,0.0434165,-7.74723e-06
0.0952767,-3.87584e-05,14.1305,-0.546508,19.5728,-0.0285098,0.0434323,-7.71572e-06
0.096292,-4.18727e-05,14.1306,-0.546511,19.5728,-0.0285115,0.0434241,-7.7315e-06
