Timestamp,X_obj,Y_obj
0.0836106,-0.0434768,-0.00670906,6.02087
0.163569,-0.0434768,-0.00670917,6.01714
0.183495,-0.0434768,-0.00670917,6.01714
0.243507,-0.0434771,-0.00670912,6.01937
0.324829,-0.0434771,-0.00670912,6.01942
0.343476,-0.0434771,-0.00670912,6.01942
0.403933,-0.0434766,-0.00670918,6.01628
0.42354,-0.0434766,-0.00670918,6.01628
0.483721,-0.0434767,-0.00670916,6.01714
0.503592,-0.0434767,-0.00670916,6.01714
0.583487,-0.0434768,-0.00670919,6.01645
0.663508,-0.0434767,-0.00670916,6.01714
0.743487,-0.0434771,-0.00670908,6.02077
0.763493,-0.0434771,-0.00670908,6.02077
0.823475,-0.0434768,-0.00670919,6.01645
0.843494,-0.0434768,-0.00670919,6.01645
0.903591,-0.0436585,-0.00669959,5.99165
1.00363,-0.0436562,-0.00670007,5.98304
1.02348,-0.0436562,-0.00670007,5.98304
1.0438,-0.0436562,-0.00670007,5.98304
1.06352,-0.0436562,-0.00670007,5.98304
1.08357,-0.0436563,-0.00669988,5.99368
1.10347,-0.0436563,-0.00669988,5.99368
1.12354,-0.0436563,-0.00669988,5.99368
1.14354,-0.0436528,-0.00669964,5.98001
1.16348,-0.0436528,-0.00669964,5.98001
1.18359,-0.0436528,-0.00669964,5.98001
1.20352,-0.0436528,-0.00669964,5.98001
1.22348,-0.0436528,-0.00669964,5.98001
1.24373,-0.0436599,-0.0066994,6.00364
1.2635,-0.0436599,-0.0066994,6.00364
1.28349,-0.0436599,-0.0066994,6.00364
1.3035,-0.0436599,-0.0066994,6.00364
1.32348,-0.0436594,-0.00669962,5.99977
1.34364,-0.0436594,-0.00669962,5.99977
1.36363,-0.0436594,-0.00669962,5.99977
1.3835,-0.0436594,-0.00669962,5.99977
1.40359,-0.043654,-0.00669876,6.00559
1.4235,-0.043654,-0.00669876,6.00559
1.4435,-0.043654,-0.00669876,6.00559
1.46352,-0.043654,-0.00669876,6.00559
1.48348,-0.043657,-0.00669974,5.98608
1.50349,-0.043657,-0.00669974,5.98608
1.52359,-0.043657,-0.00669974,5.98608
1.5435,-0.043657,-0.00669974,5.98608
1.56347,-0.0436567,-0.0066996,5.9853
1.58347,-0.0436567,-0.0066996,5.9853
1.60364,-0.0436567,-0.0066996,5.9853
1.62358,-0.0436567,-0.0066996,5.9853
1.64355,-0.0436583,-0.00669958,6.00226
1.66348,-0.0436583,-0.00669958,6.00226
1.6835,-0.0436583,-0.00669958,6.00226
1.70354,-0.0436583,-0.00669958,6.00226
1.72358,-0.0436555,-0.00669933,6.00426
1.7435,-0.0436555,-0.00669933,6.00426
1.7635,-0.0436555,-0.00669933,6.00426
1.7835,-0.0436555,-0.00669933,6.00426
1.80351,-0.043655,-0.00669987,5.98775
1.82341,-0.043655,-0.00669987,5.98775
1.84347,-0.043655,-0.00669987,5.98775
1.86351,-0.043655,-0.00669987,5.98775
1.8835,-0.043661,-0.00669916,6.01017
1.90365,-0.043661,-0.00669916,6.01017
1.92351,-0.043661,-0.00669916,6.01017
1.94348,-0.043661,-0.00669916,6.01017
1.9635,-0.043661,-0.00670043,5.99373
1.98347,-0.043661,-0.00670043,5.99373
2.00348,-0.043661,-0.00670043,5.99373
2.02349,-0.043661,-0.00670043,5.99373
2.04351,-0.0436538,-0.00670012,5.9934
2.06349,-0.0436538,-0.00670012,5.9934
2.08349,-0.0436538,-0.00670012,5.9934
2.10353,-0.0436538,-0.00670012,5.9934
2.12348,-0.0436606,-0.00670072,6.00693
2.14347,-0.0436606,-0.00670072,6.00693
2.16346,-0.0436606,-0.00670072,6.00693
2.18357,-0.0436606,-0.00670072,6.00693
2.20355,-0.0436628,-0.00670134,5.98724
2.2235,-0.0436628,-0.00670134,5.98724
2.24348,-0.0436628,-0.00670134,5.98724
2.26358,-0.0436628,-0.00670134,5.98724
2.28351,-0.0436588,-0.00670111,5.99149
2.30393,-0.0436588,-0.00670111,5.99149
2.32348,-0.0436588,-0.00670111,5.99149
2.34357,-0.0436588,-0.00670111,5.99149
2.36353,-0.0436498,-0.00670024,5.99483
2.38345,-0.0436498,-0.00670024,5.99483
2.40349,-0.0436498,-0.00670024,5.99483
2.4235,-0.0436498,-0.00670024,5.99483
2.44368,-0.0436577,-0.00670034,6.01127
2.46353,-0.0436577,-0.00670034,6.01127
2.48346,-0.0436577,-0.00670034,6.01127
2.50349,-0.0436577,-0.00670034,6.01127
2.52349,-0.0436608,-0.0067005,6.00159
2.54348,-0.0436608,-0.0067005,6.00159
2.56354,-0.0436608,-0.0067005,6.00159
2.58346,-0.0436608,-0.0067005,6.00159
2.60342,-0.0436547,-0.00670019,6.01894
2.62353,-0.0436547,-0.00670019,6.01894
2.64347,-0.0436547,-0.00670019,6.01894
2.66366,-0.0436547,-0.00670019,6.01894
2.68347,-0.0436531,-0.00669989,6.02141
2.70347,-0.0436531,-0.00669989,6.02141
2.72347,-0.0436531,-0.00669989,6.02141
2.74354,-0.0436531,-0.00669989,6.02141
