Timestamp,X_obj,Y_obj
0.0222791,-0.0483265,-0.00609453,238.682
0.0422328,-0.0483264,-0.00609455,238.682
0.0623043,-0.0483264,-0.00609457,238.682
0.0823048,-0.0483263,-0.00609459,238.682
0.102255,-0.0483262,-0.00609461,234.975
0.122262,-0.0483261,-0.00609463,234.975
0.142286,-0.048326,-0.00609466,234.975
0.162286,-0.048326,-0.00609466,234.975
0.182231,-0.0483258,-0.0060947,234.975
0.202222,-0.0483258,-0.00609472,235.985
0.222286,-0.0483257,-0.00609474,235.985
0.242206,-0.0483256,-0.00609476,235.985
0.262252,-0.0483255,-0.00609478,237.74
0.282237,-0.0483254,-0.0060948,237.74
0.302238,-0.0483253,-0.00609483,237.74
0.322443,-0.0483252,-0.00609486,237.74
0.342263,-0.0483251,-0.00609488,237.74
0.362221,-0.0483251,-0.00609489,238.533
0.382227,-0.048325,-0.00609491,238.533
0.40229,-0.0483249,-0.00609493,238.533
0.42229,-0.0483249,-0.00609494,238.533
0.442253,-0.0483248,-0.00609496,237.402
0.462321,-0.0483246,-0.00609501,237.402
0.482286,-0.0483246,-0.00609502,237.402
0.502315,-0.0483245,-0.00609504,237.402
0.522222,-0.0483244,-0.00609508,234.039
0.54219,-0.0483243,-0.0060951,234.039
0.562248,-0.0483242,-0.00609512,234.039
0.582329,-0.0483241,-0.00609514,234.039
0.602177,-0.048324,-0.00609516,235.22
0.622231,-0.048324,-0.00609518,235.22
0.642165,-0.0483239,-0.0060952,235.22
0.662317,-0.0483238,-0.00609521,235.22
0.682217,-0.0483237,-0.00609523,234.068
0.702309,-0.0483236,-0.00609526,234.068
0.722385,-0.0483236,-0.00609528,234.068
0.74227,-0.0483266,-0.00609653,234.068
0.762268,-0.048397,-0.00618709,234.04
0.782254,-0.048473,-0.00636583,233.786
0.802276,-0.0483298,-0.00662245,233.612
0.822228,-0.048385,-0.00688455,233.378
0.842276,-0.0481994,-0.00718625,233.107
0.862189,-0.0480022,-0.00746711,233.515
0.88244,-0.0480582,-0.00777264,233.187
0.902359,-0.04799,-0.00804978,232.878
0.922389,-0.0480555,-0.00835183,216.063
0.942274,-0.0478469,-0.00862299,215.723
0.962295,-0.0477763,-0.00890323,215.378
0.982369,-0.0475709,-0.00913775,215.048
1.00223,-0.0476403,-0.0094364,214.697
