Timestamp,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.00656893,-0.000171133,11.2258,-0.859758,19.5334,-0.0276087,0.0656335,-2.90472e-05
0.00757435,-0.000171133,11.2258,-0.859758,19.5334,-0.0276087,0.0656335,-2.90472e-05
0.00933347,-0.000170957,11.2258,-0.859757,19.5334,-0.0276087,0.0656332,-2.9011e-05
0.00973341,-0.000172998,11.2258,-0.859758,19.5334,-0.0276086,0.0656332,-2.94119e-05
0.0106616,-0.000170951,11.2258,-0.859756,19.5334,-0.0276088,0.0656329,-2.90101e-05
0.0120874,-0.000172998,11.2258,-0.859758,19.5334,-0.0276087,0.0656329,-2.94118e-05
0.0126672,-0.000170952,11.2258,-0.859755,19.5334,-0.0276088,0.0656326,-2.90103e-05
0.0135914,-0.000172997,11.2258,-0.859757,19.5334,-0.0276087,0.0656326,-2.94116e-05
0.014564,-0.000170952,11.2258,-0.859755,19.5334,-0.0276089,0.0656323,-2.90104e-05
0.0156668,-0.000172996,11.2258,-0.859756,19.5334,-0.0276088,0.0656323,-2.94115e-05
0.0164479,-0.000170953,11.2258,-0.859754,19.5334,-0.0276089,0.0656321,-2.90104e-05
0.017466,-0.000172995,11.2258,-0.859755,19.5334,-0.0276088,0.065632,-2.94114e-05
0.0184738,-0.000170952,11.2258,-0.859753,19.5334,-0.0276089,0.0656318,-2.90104e-05
0.019469,-0.000172995,11.2258,-0.859754,19.5334,-0.0276088,0.0656317,-2.94113e-05
0.020499,-0.000170952,11.2258,-0.859752,19.5334,-0.027609,0.0656315,-2.90104e-05
0.0215648,-0.000172995,11.2258,-0.859754,19.5334,-0.0276089,0.0656314,-2.94113e-05
0.02249,-0.000170952,11.2258,-0.859751,19.5334,-0.027609,0.0656312,-2.90103e-05
0.0235191,-0.000172995,11.2258,-0.859753,19.5334,-0.0276089,0.0656311,-2.94113e-05
0.0245285,-0.000170951,11.2258,-0.859751,19.5334,-0.0276091,0.0656309,-2.90102e-05
0.0255307,-0.000172995,11.2258,-0.859752,19.5334,-0.027609,0.0656308,-2.94113e-05
0.0264862,-0.00017095,11.2258,-0.85975,19.5334,-0.0276091,0.0656306,-2.901e-05
0.0276242,-0.000172995,11.2258,-0.859751,19.5334,-0.027609,0.0656305,-2.94114e-05
0.0285205,-0.000170949,11.2258,-0.859749,19.5334,-0.0276092,0.0656303,-2.90099e-05
0.0294856,-0.000172995,11.2258,-0.85975,19.5334,-0.0276091,0.0656303,-2.94114e-05
0.0304469,-0.000170948,11.2258,-0.859748,19.5334,-0.0276092,0.06563,-2.90097e-05
0.0314728,-0.000172995,11.2258,-0.85975,19.5334,-0.0276091,0.06563,-2.94115e-05
0.0324568,-0.000170947,11.2258,-0.859748,19.5334,-0.0276092,0.0656297,-2.90095e-05
0.0334495,-0.000172996,11.2258,-0.859749,19.5334,-0.0276091,0.0656297,-2.94116e-05
0.034521,-0.000170946,11.2258,-0.859747,19.5334,-0.0276093,0.0656294,-2.90093e-05
0.0354867,-0.000172996,11.2258,-0.859748,19.5334,-0.0276092,0.0656294,-2.94118e-05
0.0364468,-0.000170945,11.2258,-0.859746,19.5334,-0.0276093,0.0656291,-2.90091e-05
0.0374715,-0.000172997,11.2258,-0.859747,19.5334,-0.0276092,0.0656291,-2.94119e-05
0.0386359,-0.000171729,11.2258,-0.859746,19.5334,-0.0276093,0.0656289,-2.91619e-05
0.0394329,-0.000171125,11.2258,-0.859745,19.5334,-0.0276094,0.0656286,-2.90461e-05
0.0404726,-0.000175788,11.2258,-0.859749,19.5334,-0.0276109,0.065621,-2.90587e-05
0.0414403,-0.000170952,11.2258,-0.859744,19.5334,-0.0276094,0.0656284,-2.90104e-05
0.0424323,-0.000168158,11.2258,-0.859741,19.5333,-0.0276079,0.0656357,-2.93629e-05
0.043474,-0.000177834,11.2258,-0.859749,19.5334,-0.0276108,0.0656207,-2.94602e-05
0.0444398,-0.000172994,11.2258,-0.859745,19.5334,-0.0276094,0.065628,-2.94113e-05
