Timestamp,x,y,z,R,P,Y
0.00653503,0.376339,-0.00115139,0.895565,0.0162545,-0.0588153,0.046256
0.00743477,0.376339,-0.00115139,0.895565,0.0162545,-0.0588153,0.046256
0.00930795,0.376339,-0.00115141,0.895565,0.0162546,-0.058815,0.046256
0.00972417,0.376339,-0.00115142,0.895565,0.0162546,-0.0588149,0.0462561
0.0106305,0.376339,-0.00115143,0.895565,0.0162546,-0.0588148,0.0462561
0.0114455,0.376339,-0.00115144,0.895564,0.0162547,-0.0588147,0.0462561
0.012654,0.376339,-0.00115145,0.895564,0.0162547,-0.0588146,0.0462561
0.0135695,0.376339,-0.00115146,0.895564,0.0162547,-0.0588144,0.0462561
0.014546,0.376339,-0.00115147,0.895564,0.0162548,-0.0588143,0.0462561
0.0154942,0.376339,-0.00115149,0.895564,0.0162548,-0.0588142,0.0462561
0.0163499,0.376339,-0.0011515,0.895564,0.0162548,-0.0588141,0.0462561
0.0173466,0.376339,-0.00115151,0.895564,0.0162548,-0.058814,0.0462561
0.0183289,0.376339,-0.00115152,0.895564,0.0162549,-0.0588139,0.0462561
0.0193268,0.376339,-0.00115153,0.895564,0.0162549,-0.0588137,0.0462561
0.020489,0.376339,-0.00115154,0.895564,0.0162549,-0.0588136,0.0462561
0.0214713,0.376339,-0.00115155,0.895564,0.016255,-0.0588135,0.0462561
0.0223471,0.376339,-0.00115156,0.895564,0.016255,-0.0588134,0.0462561
0.0233797,0.376339,-0.00115157,0.895564,0.016255,-0.0588133,0.0462561
0.0244353,0.376339,-0.00115158,0.895564,0.016255,-0.0588132,0.0462561
0.0255049,0.376339,-0.00115159,0.895564,0.0162551,-0.058813,0.0462561
0.0264733,0.376339,-0.0011516,0.895564,0.0162551,-0.0588129,0.0462561
0.0274188,0.376339,-0.00115161,0.895564,0.0162551,-0.0588128,0.0462561
0.0284175,0.376339,-0.00115162,0.895564,0.0162551,-0.0588127,0.0462561
0.0293767,0.376339,-0.00115163,0.895564,0.0162552,-0.0588126,0.0462561
0.0304368,0.376339,-0.00115164,0.895564,0.0162552,-0.0588124,0.0462561
0.0313929,0.376339,-0.00115165,0.895564,0.0162552,-0.0588123,0.0462561
0.032368,0.376339,-0.00115166,0.895564,0.0162553,-0.0588122,0.0462561
0.0333717,0.376339,-0.00115167,0.895564,0.0162553,-0.0588121,0.0462561
0.034373,0.376339,-0.00115168,0.895564,0.0162553,-0.058812,0.0462561
0.0353311,0.376339,-0.00115169,0.895564,0.0162553,-0.0588119,0.0462561
0.0363374,0.376339,-0.0011517,0.895564,0.0162554,-0.0588117,0.0462561
0.0373613,0.376339,-0.00115171,0.895564,0.0162554,-0.0588116,0.0462561
0.038394,0.376339,-0.00115172,0.895564,0.0162554,-0.0588115,0.0462561
0.0393284,0.376339,-0.00115173,0.895564,0.0162555,-0.0588114,0.0462561
0.0403674,0.376339,-0.00115175,0.895564,0.0162555,-0.0588112,0.0462562
0.0413514,0.376339,-0.00115175,0.895564,0.0162555,-0.0588112,0.0462562
0.0423193,0.376339,-0.00115176,0.895564,0.0162555,-0.058811,0.0462562
0.0433849,0.376339,-0.00115178,0.895564,0.0162556,-0.0588108,0.0462562
0.044352,0.376339,-0.00115178,0.895564,0.0162556,-0.0588108,0.0462562
0.0453666,0.376339,-0.0011518,0.895564,0.0162556,-0.0588107,0.0462562
