Timestamp,X_obj,Y_obj
0.0156814,-0.0357817,0.000881519,6.29901
0.0956651,-0.0357806,0.000881777,6.30132
0.175631,-0.0357806,0.000881803,6.30233
0.195642,-0.0357806,0.000881803,6.30233
0.275682,-0.0357805,0.00088173,6.29972
0.335636,-0.0357792,0.000881364,6.28737
0.355636,-0.0357792,0.000881364,6.28737
0.435685,-0.0357805,0.00088173,6.29972
0.515614,-0.0357816,0.000881544,6.29804
0.595647,-0.0357816,0.000881544,6.29804
0.675736,-0.0357805,0.00088173,6.29972
0.755643,-0.0357804,0.000881826,6.30257
0.835765,-0.0357805,0.000881822,6.303
0.855636,-0.0357805,0.000881822,6.303
0.935625,-0.0359353,0.000876719,6.18195
1.01564,-0.0359304,0.000876981,6.19288
1.03566,-0.0359304,0.000876981,6.19288
1.05567,-0.0359304,0.000876981,6.19288
1.07565,-0.0359304,0.000876981,6.19288
1.09582,-0.0359316,0.00087697,6.19273
1.11568,-0.0359316,0.00087697,6.19273
1.13564,-0.0359316,0.00087697,6.19273
1.15614,-0.0359316,0.00087697,6.19273
1.17567,-0.0359346,0.000876706,6.18785
1.19567,-0.0359346,0.000876706,6.18785
1.21567,-0.0359346,0.000876706,6.18785
1.23577,-0.0359346,0.000876706,6.18785
1.25581,-0.0359295,0.000876567,6.1906
1.27565,-0.0359295,0.000876567,6.1906
1.29573,-0.0359295,0.000876567,6.1906
1.31571,-0.0359295,0.000876567,6.1906
1.3357,-0.035933,0.000876522,6.19094
1.35571,-0.035933,0.000876522,6.19094
1.37564,-0.035933,0.000876522,6.19094
1.39566,-0.035933,0.000876522,6.19094
1.41566,-0.0359365,0.000877645,6.22451
1.43567,-0.0359365,0.000877645,6.22451
1.45564,-0.0359365,0.000877645,6.22451
1.47566,-0.0359365,0.000877645,6.22451
1.49564,-0.0359319,0.000876028,6.19251
1.51562,-0.0359319,0.000876028,6.19251
1.53564,-0.0359319,0.000876028,6.19251
1.55577,-0.0359319,0.000876028,6.19251
1.57566,-0.0359319,0.000876028,6.19251
1.59588,-0.0359372,0.000877074,6.19583
1.61569,-0.0359372,0.000877074,6.19583
1.63565,-0.0359372,0.000877074,6.19583
1.65565,-0.0359372,0.000877074,6.19583
1.67564,-0.0359396,0.000876994,6.2202
1.69563,-0.0359396,0.000876994,6.2202
1.71577,-0.0359396,0.000876994,6.2202
1.73581,-0.0359396,0.000876994,6.2202
1.75566,-0.0359617,0.000865747,6.20969
1.7757,-0.0359617,0.000865747,6.20969
1.79594,-0.0359617,0.000865747,6.20969
1.81571,-0.0359617,0.000865747,6.20969
1.83562,-0.0361346,0.000545061,6.34599
1.85567,-0.0361346,0.000545061,6.34599
1.87563,-0.0361346,0.000545061,6.34599
1.89566,-0.0363655,-0.000576895,6.14793
1.91565,-0.0363655,-0.000576895,6.14793
1.93561,-0.0363655,-0.000576895,6.14793
1.95566,-0.0363655,-0.000576895,6.14793
1.97565,-0.0373346,-0.00304661,6.59298
1.99567,-0.0373346,-0.00304661,6.59298
2.01567,-0.0373346,-0.00304661,6.59298
2.03565,-0.0373346,-0.00304661,6.59298
2.05571,-0.0384421,-0.00695355,6.26306
2.07563,-0.0384421,-0.00695355,6.26306
2.09569,-0.0384421,-0.00695355,6.26306
2.11564,-0.0384421,-0.00695355,6.26306
2.13609,-0.0384421,-0.00695355,6.26306
2.15574,-0.0400836,-0.0122914,5.96596
2.17579,-0.0400836,-0.0122914,5.96596
2.19563,-0.0400836,-0.0122914,5.96596
2.21566,-0.0400836,-0.0122914,5.96596
2.23564,-0.0423493,-0.0193561,6.17343
2.25563,-0.0423493,-0.0193561,6.17343
2.27566,-0.0423493,-0.0193561,6.17343
2.29563,-0.0423493,-0.0193561,6.17343
2.31568,-0.0443772,-0.0258774,6.24551
2.33564,-0.0443772,-0.0258774,6.24551
2.35564,-0.0443772,-0.0258774,6.24551
2.3757,-0.0443772,-0.0258774,6.24551
2.39572,-0.0466623,-0.0329125,6.28602
2.4157,-0.0466623,-0.0329125,6.28602
2.43564,-0.0466623,-0.0329125,6.28602
2.45567,-0.0466623,-0.0329125,6.28602
2.47565,-0.0487329,-0.0396468,6.28425
2.49563,-0.0487329,-0.0396468,6.28425
2.51568,-0.0487329,-0.0396468,6.28425
2.53571,-0.0487329,-0.0396468,6.28425
2.5557,-0.0503976,-0.0448965,6.14684
2.57563,-0.0503976,-0.0448965,6.14684
2.59562,-0.0503976,-0.0448965,6.14684
2.61573,-0.0503976,-0.0448965,6.14684
2.63568,-0.0510209,-0.0473054,6.15508
2.65563,-0.0510209,-0.0473054,6.15508
2.67578,-0.0510209,-0.0473054,6.15508
2.69567,-0.0510209,-0.0473054,6.15508
2.71565,-0.0510612,-0.047458,6.1561
2.73567,-0.0510612,-0.047458,6.1561
2.75565,-0.0510612,-0.047458,6.1561
2.77567,-0.0510612,-0.047458,6.1561
2.79562,-0.0510847,-0.0474779,6.07115
2.81568,-0.0510847,-0.0474779,6.07115
2.83559,-0.0510847,-0.0474779,6.07115
2.85578,-0.0510847,-0.0474779,6.07115
2.87587,-0.0510962,-0.0474816,6.07555
2.89568,-0.0510962,-0.0474816,6.07555
2.91566,-0.0510962,-0.0474816,6.07555
2.9357,-0.0510962,-0.0474816,6.07555
2.95562,-0.0510805,-0.0474798,6.07794
2.97565,-0.0510805,-0.0474798,6.07794
2.99568,-0.0510805,-0.0474798,6.07794
3.01572,-0.0510805,-0.0474798,6.07794
3.03568,-0.051093,-0.0474828,6.07136
3.05566,-0.051093,-0.0474828,6.07136
3.07563,-0.051093,-0.0474828,6.07136
3.09568,-0.051093,-0.0474828,6.07136
3.11566,-0.0510952,-0.0474833,6.07338
3.13564,-0.0510952,-0.0474833,6.07338
3.15564,-0.0510952,-0.0474833,6.07338
3.17584,-0.0510952,-0.0474833,6.07338
3.19584,-0.0511007,-0.0474853,6.09127
3.21598,-0.0511007,-0.0474853,6.09127
3.23568,-0.0511007,-0.0474853,6.09127
3.25586,-0.0511007,-0.0474853,6.09127
3.27564,-0.0510895,-0.0474833,6.06993
3.29563,-0.0510895,-0.0474833,6.06993
3.31564,-0.0510895,-0.0474833,6.06993
3.33579,-0.0510895,-0.0474833,6.06993
3.35567,-0.05109,-0.0474824,6.06783
3.37564,-0.05109,-0.0474824,6.06783
3.39565,-0.05109,-0.0474824,6.06783
3.41566,-0.05109,-0.0474824,6.06783
3.43563,-0.0510915,-0.0474844,6.06775
3.45564,-0.0510915,-0.0474844,6.06775
3.47565,-0.0510915,-0.0474844,6.06775
3.49573,-0.0510915,-0.0474844,6.06775
3.51565,-0.0510935,-0.0474842,6.07447
3.53564,-0.0510935,-0.0474842,6.07447
3.55572,-0.0510935,-0.0474842,6.07447
3.57563,-0.0510935,-0.0474842,6.07447
3.59563,-0.0510961,-0.0474854,6.07076
3.61563,-0.0510961,-0.0474854,6.07076
3.63563,-0.0510961,-0.0474854,6.07076
3.65595,-0.0510961,-0.0474854,6.07076
3.67599,-0.0511005,-0.0474869,6.06919
3.69567,-0.0511005,-0.0474869,6.06919
3.71563,-0.0511005,-0.0474869,6.06919
3.73566,-0.0511005,-0.0474869,6.06919
3.75563,-0.0511007,-0.0474869,6.06826
3.77563,-0.0511007,-0.0474869,6.06826
3.79564,-0.0511007,-0.0474869,6.06826
3.81568,-0.0511007,-0.0474869,6.06826
3.83575,-0.0511023,-0.0474878,6.06436
3.85561,-0.0511023,-0.0474878,6.06436
3.87564,-0.0511023,-0.0474878,6.06436
3.89564,-0.0511023,-0.0474878,6.06436
3.91562,-0.0511014,-0.0474878,6.075
3.93581,-0.0511014,-0.0474878,6.075
3.95575,-0.0511014,-0.0474878,6.075
3.97571,-0.0511014,-0.0474878,6.075
3.99562,-0.0511013,-0.0474876,6.06308
4.01571,-0.0511013,-0.0474876,6.06308
4.0357,-0.0511013,-0.0474876,6.06308
4.05571,-0.0511013,-0.0474876,6.06308
4.07564,-0.0510946,-0.0474861,6.06977
4.09565,-0.0510946,-0.0474861,6.06977
4.11563,-0.0510946,-0.0474861,6.06977
4.13566,-0.0510946,-0.0474861,6.06977
4.15569,-0.0510945,-0.0474865,6.06307
4.17564,-0.0510945,-0.0474865,6.06307
4.19562,-0.0510945,-0.0474865,6.06307
4.21565,-0.0510945,-0.0474865,6.06307
4.23569,-0.0510933,-0.047486,6.06639
4.25564,-0.0510933,-0.047486,6.06639
4.27565,-0.0510933,-0.047486,6.06639
4.29565,-0.0510933,-0.047486,6.06639
4.31566,-0.051096,-0.0474868,6.06582
4.33568,-0.051096,-0.0474868,6.06582
4.35569,-0.051096,-0.0474868,6.06582
4.37566,-0.051096,-0.0474868,6.06582
4.39567,-0.0510953,-0.0474869,6.06299
4.41563,-0.0510953,-0.0474869,6.06299
4.43564,-0.0510953,-0.0474869,6.06299
4.45568,-0.0510953,-0.0474869,6.06299
4.47567,-0.0510951,-0.0474873,6.07212
4.49563,-0.0510951,-0.0474873,6.07212
4.51565,-0.0510951,-0.0474873,6.07212
4.53565,-0.0510951,-0.0474873,6.07212
4.55566,-0.0510917,-0.0474864,6.06867
4.57564,-0.0510917,-0.0474864,6.06867
4.59569,-0.0510917,-0.0474864,6.06867
4.61563,-0.0510917,-0.0474864,6.06867
4.63565,-0.0510926,-0.0474864,6.06016
4.65563,-0.0510926,-0.0474864,6.06016
4.67579,-0.0510926,-0.0474864,6.06016
4.69565,-0.0510926,-0.0474864,6.06016
4.71564,-0.0511073,-0.0474892,6.06579
4.73565,-0.0511073,-0.0474892,6.06579
4.75561,-0.0511073,-0.0474892,6.06579
4.77563,-0.0511073,-0.0474892,6.06579
4.79575,-0.0511073,-0.0474892,6.06579
4.81571,-0.0510926,-0.0474864,6.05724
4.83565,-0.0510926,-0.0474864,6.05724
4.8557,-0.0510926,-0.0474864,6.05724
4.87566,-0.0510926,-0.0474864,6.05724
4.89562,-0.0510999,-0.047488,6.06562
4.91562,-0.0510999,-0.047488,6.06562
4.93579,-0.0510999,-0.047488,6.06562
4.95567,-0.0510999,-0.047488,6.06562
4.97562,-0.051093,-0.0474859,6.064
5.0557,-0.0510871,-0.0474847,6.05512
5.13565,-0.0511016,-0.0474877,6.07197
5.21564,-0.0511018,-0.0474876,6.06475
5.29564,-0.0510999,-0.0474874,6.06803
5.3757,-0.0510903,-0.047485,6.06216
5.39565,-0.0510903,-0.047485,6.06216
5.41563,-0.0510903,-0.047485,6.06216
5.43561,-0.0510903,-0.047485,6.06216
5.45569,-0.0510903,-0.047485,6.06216
5.47566,-0.0510921,-0.0474855,6.05941
5.49561,-0.0510921,-0.0474855,6.05941
5.51563,-0.0510921,-0.0474855,6.05941
5.53577,-0.0510921,-0.0474855,6.05941
5.55562,-0.0510986,-0.0474868,6.06755
5.57563,-0.0510986,-0.0474868,6.06755
5.59567,-0.0510986,-0.0474868,6.06755
5.61563,-0.051092,-0.0474856,6.05884
5.63563,-0.051092,-0.0474856,6.05884
5.65563,-0.051092,-0.0474856,6.05884
5.6757,-0.051092,-0.0474856,6.05884
5.69605,-0.051092,-0.0474856,6.05884
5.71567,-0.051097,-0.0474866,6.06454
5.73562,-0.051097,-0.0474866,6.06454
5.75577,-0.051097,-0.0474866,6.06454
5.77561,-0.051097,-0.0474866,6.06454
5.79563,-0.0510931,-0.0474857,6.05887
5.81566,-0.0510931,-0.0474857,6.05887
5.83575,-0.0510931,-0.0474857,6.05887
5.85569,-0.0510931,-0.0474857,6.05887
5.87561,-0.0510906,-0.0474852,6.05915
5.89562,-0.0510906,-0.0474852,6.05915
5.91573,-0.0510906,-0.0474852,6.05915
5.93595,-0.0510906,-0.0474852,6.05915
5.95581,-0.051094,-0.0474862,6.05608
5.97562,-0.051094,-0.0474862,6.05608
5.99576,-0.051094,-0.0474862,6.05608
6.01592,-0.051094,-0.0474862,6.05608
6.03562,-0.0510937,-0.0474862,6.06634
6.05567,-0.0510937,-0.0474862,6.06634
6.07572,-0.0510937,-0.0474862,6.06634
6.09562,-0.0510937,-0.0474862,6.06634
6.11563,-0.0510949,-0.0474863,6.05641
6.13563,-0.0510949,-0.0474863,6.05641
6.15565,-0.0510949,-0.0474863,6.05641
6.17565,-0.0510949,-0.0474863,6.05641
6.19564,-0.051098,-0.0474876,6.05628
6.21562,-0.051098,-0.0474876,6.05628
6.2358,-0.051098,-0.0474876,6.05628
6.25564,-0.051098,-0.0474876,6.05628
6.27565,-0.0510994,-0.0474876,6.05676
6.29563,-0.0510994,-0.0474876,6.05676
6.33567,-0.0510903,-0.0474859,6.05515
6.35564,-0.0510903,-0.0474859,6.05515
6.43568,-0.0510903,-0.0474862,6.05725
6.51565,-0.0510926,-0.0474864,6.05639
6.5958,-0.0510973,-0.0474878,6.05863
