Timestamp,X_obj,Y_obj
0.014628,-0.0417921,0.000939963,248.723
0.0343863,-0.041792,0.00093993,248.723
0.0544124,-0.0417919,0.00093991,248.723
0.0743628,-0.0417918,0.00093989,248.723
0.0945794,-0.0417918,0.000939881,248.723
0.114406,-0.0417917,0.000939861,248.723
0.134336,-0.0417916,0.000939842,248.723
0.154379,-0.0417915,0.000939821,248.723
0.174446,-0.0417914,0.000939789,248.723
0.194347,-0.0417914,0.000939769,248.723
0.214743,-0.0417913,0.000939761,248.723
0.234588,-0.0417912,0.000939741,248.723
0.254683,-0.0417911,0.00093972,248.723
0.274394,-0.0417911,0.000939713,248.723
0.294515,-0.041791,0.00093968,248.723
0.314351,-0.0417909,0.000939648,248.723
0.33442,-0.0417908,0.000939629,248.723
0.354459,-0.0417908,0.000939623,248.723
0.374388,-0.0417907,0.000939606,248.723
0.394436,-0.0417906,0.000939585,248.723
0.414355,-0.0417905,0.000939566,248.723
0.434357,-0.0417905,0.000939546,248.723
0.45465,-0.0417904,0.000939514,248.723
0.474423,-0.0417903,0.000939506,248.723
0.494571,-0.0417902,0.000939474,248.723
0.51435,-0.0417901,0.000939466,248.723
0.534596,-0.0417901,0.000939446,248.723
0.554374,-0.04179,0.000939426,248.723
0.574544,-0.0417899,0.000939395,248.723
0.594383,-0.0417899,0.000939401,248.723
0.614416,-0.0417897,0.000939356,248.723
0.634408,-0.0417897,0.00093935,248.723
0.654536,-0.0417896,0.00093933,248.723
0.674444,-0.0417895,0.000939311,248.723
0.694425,-0.0417895,0.00093929,248.723
0.714372,-0.0417894,0.00093927,248.723
0.734393,-0.0417893,0.00093925,248.723
0.754449,-0.0417892,0.000939242,248.723
0.774416,-0.0418329,0.000846735,248.698
0.794359,-0.041927,0.000652366,248.569
0.814383,-0.0418654,0.000388879,248.355
0.834402,-0.0416856,9.1376e-05,248.091
0.854337,-0.0416062,-0.000214739,247.77
0.874377,-0.0416517,-0.000537799,247.399
0.894441,-0.0414473,-0.000844445,247.044
0.91435,-0.0415023,-0.0011656,246.655
0.935056,-0.041561,-0.00149576,246.256
0.954388,-0.0413566,-0.00176995,245.89
0.974396,-0.0412844,-0.00206723,245.497
0.994363,-0.041075,-0.00233539,245.101
1.01445,-0.0411386,-0.00266577,244.68
1.03438,-0.0412036,-0.00300028,244.256
1.05436,-0.0409987,-0.003233,243.874
1.0745,-0.0409256,-0.00352474,243.449
1.09444,-0.0407169,-0.00375259,243.045
1.11445,-0.0406447,-0.00403221,242.62
1.13437,-0.0405729,-0.00430741,242.197
1.15447,-0.0406411,-0.00463224,241.777
1.17452,-0.0404345,-0.00483083,241.381
1.19438,-0.0404992,-0.00516432,240.947
1.21441,-0.0404285,-0.00542287,240.539
1.23446,-0.0403578,-0.00567629,240.136
1.25447,-0.0402873,-0.00592457,239.738
1.27439,-0.0400842,-0.0060888,239.367
1.29452,-0.0400144,-0.00632523,238.982
1.31439,-0.0399444,-0.00655633,238.605
1.33465,-0.0398743,-0.0067822,238.235
1.35436,-0.0399353,-0.00707479,237.873
1.37442,-0.0398667,-0.00727998,237.537
1.3944,-0.0397937,-0.00749013,237.192
1.41441,-0.0395966,-0.00760914,236.872
1.43435,-0.0396494,-0.00788429,236.544
1.45431,-0.039574,-0.00807922,236.225
1.47466,-0.0394976,-0.00826911,235.915
1.49438,-0.0394201,-0.00845376,235.615
1.51439,-0.0393413,-0.00863307,235.325
1.53439,-0.0392614,-0.00880678,235.044
1.55444,-0.0391801,-0.00897461,234.774
1.57442,-0.0390973,-0.00913655,234.513
1.59439,-0.039013,-0.00929243,234.262
1.61442,-0.0389272,-0.00944217,234.02
1.63446,-0.0387419,-0.00950009,233.8
1.65439,-0.0387571,-0.00974286,233.566
1.67437,-0.0387961,-0.00994901,233.405
1.69432,-0.0387337,-0.0101124,233.229
1.7145,-0.0384952,-0.010162,233.05
1.73436,-0.0385449,-0.0105148,232.858
